"Acute.myeloid.leukemia"	"BladderUrothelialCarcinoma.TCGA.US."	"Breast.Cancer"	"BreastCarcinoma.WTSI.UK."	"BreastInvasiveCarcinoma.TCGA.US."	"CervicalSquamousCellCarcinoma.TCGA.US."	"Chronic.lymphocytic.leukaemia"	"ColonAdenocarcinoma.TCGA.US."	"Colorectal.adenocarcinoma"	"GastricCancer.CCGC.CN."	"Hepatocellular.carcinoma"	"Hypodiploid_ALL"	"Leukemia.T.ALL"	"LiverCancer.NCC.JP."	"LiverCancer.RIKEN.JP."	"Lung"	"MalignantMelanoma.WTSI.UK."	"Medulloblastoma"	"Melanoma"	"Myeloid.leukemia"	"Myeloma"	"Pancreatic"	"PediatricBrainTumors.DKFZ.DE."	"Prostate"	"ProstateCancer.OICR.CA."	"RectumAdenocarcinoma.TCGA.US."	"Small.cell.lung.cancer"	"T.cell.ALL"	"UterineCorpusEndometrioidCarcinoma.TCGA.US."
"hsa-miR-93-5p"	1	3	4	2	0	0	2	9	7	3	0	3	1	50	46	1	2	2	4	0	0	0	1	0	223	1	2	0	23
"hsa-miR-106a-5p"	1	2	3	2	0	0	3	8	12	3	0	2	2	61	48	2	1	3	1	0	0	0	1	0	215	1	1	0	16
"hsa-miR-520g"	0	5	7	2	0	0	3	10	5	4	0	3	0	65	61	3	2	3	6	1	0	0	1	0	172	0	2	0	27
"hsa-miR-520h"	0	5	7	2	0	0	3	10	5	4	0	3	0	65	61	3	2	3	6	1	0	0	1	0	172	0	2	0	27
"hsa-miR-106b-5p"	1	2	4	1	0	0	2	8	8	3	1	2	1	47	45	3	2	5	2	1	0	0	1	1	217	1	1	0	15
"hsa-miR-20a-5p"	1	2	4	1	0	0	2	8	8	3	1	2	1	47	45	3	2	5	2	1	0	0	1	1	217	1	1	0	15
"hsa-miR-4695-5p"	0	1	7	3	0	0	0	8	6	1	0	1	3	68	52	5	0	6	0	0	0	0	1	3	194	1	0	0	12
"hsa-miR-548t-5p"	1	4	8	3	0	0	3	10	11	2	1	4	1	77	58	4	1	3	1	0	0	0	1	1	157	1	1	0	18
"hsa-miR-5580-5p"	0	2	3	1	0	0	0	7	3	1	1	2	2	56	24	4	0	2	4	0	0	0	1	0	225	1	3	0	27
"hsa-miR-512-3p"	2	1	2	0	0	0	0	1	5	2	0	0	1	40	26	5	0	2	2	0	0	0	1	1	260	2	1	0	14
"hsa-miR-3973"	0	4	7	2	0	0	2	7	7	4	1	3	0	61	64	3	1	3	5	1	0	0	1	1	160	0	2	0	25
"hsa-miR-4438"	0	2	8	1	1	0	0	5	7	4	1	1	1	53	32	1	0	5	1	0	2	1	2	4	203	1	1	1	25
"hsa-miR-4514"	0	1	5	0	0	0	0	6	6	2	1	3	0	67	38	1	0	5	2	0	2	0	3	3	199	2	0	0	17
"hsa-miR-3163"	1	0	7	0	0	0	2	11	35	4	1	4	0	99	121	7	0	6	6	3	0	0	0	3	26	2	0	1	19
"hsa-miR-129-5p"	0	3	8	1	1	0	1	4	25	2	4	4	3	90	71	11	1	7	5	0	1	3	0	7	70	7	3	0	25
"hsa-miR-3692-5p"	1	3	2	3	0	1	0	4	2	1	1	2	0	59	20	6	0	3	1	1	0	0	0	0	221	2	3	0	21
"hsa-miR-372"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-4698"	0	0	12	2	0	0	1	9	22	3	0	3	0	94	90	9	0	7	3	1	0	0	0	6	58	3	0	2	32
"hsa-miR-520a-3p"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-520b"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-520c-3p"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-520d-3p"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-520e"	2	2	4	1	0	0	2	7	6	2	0	1	1	45	36	2	1	2	1	0	0	0	2	1	219	1	1	0	18
"hsa-miR-590-3p"	2	0	5	0	1	0	1	20	34	3	3	2	1	84	111	4	0	11	3	3	0	0	0	4	26	3	0	0	34
"hsa-miR-3065-3p"	0	1	6	2	0	2	0	10	11	6	0	2	1	39	32	1	0	2	1	0	1	1	0	2	212	0	1	1	17
"hsa-miR-3612"	1	0	9	1	0	0	0	10	4	1	0	1	3	65	48	5	0	5	2	0	1	0	1	3	175	2	0	0	14
"hsa-miR-650"	1	0	9	1	0	0	0	10	4	1	0	1	3	65	48	5	0	5	2	0	1	0	1	3	175	2	0	0	14
"hsa-miR-526b-3p"	1	3	2	1	0	0	3	7	8	3	0	1	1	45	39	1	1	5	1	0	0	0	1	0	206	1	1	0	17
"hsa-miR-3609"	0	3	5	3	0	1	2	9	6	2	0	3	0	60	51	3	2	3	4	0	0	0	1	0	167	0	2	0	20
"hsa-miR-548e"	0	1	8	3	0	0	1	9	24	3	2	4	1	112	85	9	1	7	5	0	0	0	0	6	46	1	1	1	16
"hsa-miR-548f"	0	1	8	3	0	0	1	9	24	3	2	4	1	112	85	9	1	7	5	0	0	0	0	6	46	1	1	1	16
"hsa-miR-548ah-5p"	0	2	4	3	0	1	3	8	11	2	0	2	1	71	53	4	1	4	1	0	0	0	1	0	159	0	1	0	13
"hsa-miR-634"	0	0	3	0	0	0	0	2	15	4	0	0	1	49	30	4	0	1	1	0	0	1	2	3	216	0	0	0	11
"hsa-miR-1260a"	0	1	7	0	1	0	1	6	6	3	0	4	0	55	47	3	0	3	7	1	0	0	0	6	179	0	1	0	9
"hsa-miR-1260b"	0	1	7	0	1	0	1	6	6	3	0	4	0	55	47	3	0	3	7	1	0	0	0	6	179	0	1	0	9
"hsa-miR-4673"	0	4	8	2	0	0	0	6	8	4	1	2	1	66	35	3	1	2	3	0	2	2	2	4	164	0	0	0	20
"hsa-miR-495"	0	3	4	1	0	0	0	14	26	6	1	2	0	107	81	8	0	1	6	3	0	0	0	6	46	3	1	0	18
"hsa-miR-561-3p"	0	2	3	2	0	0	1	6	7	3	1	3	0	52	77	1	1	3	4	0	0	0	1	1	144	0	2	0	23
"hsa-miR-4430"	0	1	8	3	0	0	0	5	5	1	0	2	1	64	32	4	0	2	8	0	1	0	1	4	179	0	1	0	13
"hsa-miR-1277-5p"	1	0	7	2	0	0	0	9	29	1	1	4	2	100	117	2	0	11	0	1	1	0	1	4	16	1	1	0	22
"hsa-miR-373-3p"	2	2	3	1	0	0	0	2	3	2	0	1	1	45	34	2	1	2	1	0	1	0	2	2	211	1	0	0	13
"hsa-miR-3913-5p"	0	1	4	2	0	1	0	5	6	1	0	4	0	47	33	8	0	2	3	0	0	1	1	1	193	2	0	1	14
"hsa-miR-4769-5p"	0	0	4	1	0	0	0	5	8	1	2	1	0	51	27	3	1	4	5	2	1	0	3	5	189	0	1	3	11
"hsa-miR-329"	0	1	5	1	2	0	0	5	14	5	0	1	0	73	71	3	0	2	2	0	0	1	1	5	115	0	2	0	13
"hsa-miR-335-3p"	2	2	7	0	0	0	1	13	26	2	5	3	1	86	76	10	2	5	11	1	1	0	3	3	28	7	3	1	23
"hsa-miR-362-3p"	0	1	5	1	2	0	0	5	14	5	0	1	0	73	71	3	0	2	2	0	0	1	1	5	115	0	2	0	13
"hsa-miR-4425"	0	0	1	0	0	1	0	3	5	1	0	2	0	43	21	7	0	3	3	0	0	0	0	2	212	0	0	1	16
"hsa-miR-4654"	0	2	4	2	0	0	0	4	9	2	1	3	0	51	27	2	0	3	2	1	0	0	1	1	186	0	1	2	17
"hsa-miR-4645-5p"	0	1	8	0	0	0	0	6	6	1	1	2	1	62	36	2	1	4	0	0	2	1	2	4	162	0	0	0	18
"hsa-miR-4731-3p"	2	3	8	2	1	0	1	5	12	4	1	3	0	81	66	8	0	5	1	0	1	1	2	4	87	2	3	0	17
"hsa-miR-548o-3p"	0	2	9	3	0	0	0	9	21	1	6	3	0	86	86	9	1	3	3	0	0	0	0	5	58	2	1	2	10
"hsa-miR-9-5p"	1	5	4	2	1	0	0	5	7	1	0	2	2	39	50	4	0	7	4	0	0	1	0	2	153	2	0	0	25
"hsa-miR-4325"	1	3	5	0	0	0	0	6	6	2	1	3	0	34	18	4	0	1	0	0	0	0	0	0	222	1	1	0	8
"hsa-miR-4692"	0	1	7	1	0	0	0	6	5	3	1	4	0	57	37	1	1	2	2	0	3	0	3	2	163	2	0	0	15
"hsa-miR-5095"	0	3	3	1	0	1	0	4	8	5	1	1	1	59	37	1	0	5	1	0	0	0	3	2	164	1	0	0	15
"hsa-miR-1302"	0	0	6	2	0	1	0	5	8	2	0	4	0	53	24	6	0	2	1	0	1	1	1	1	180	0	0	1	16
"hsa-miR-150-5p"	0	4	8	2	0	0	0	3	4	2	0	3	0	43	44	4	0	1	3	0	0	0	0	1	176	0	0	0	16
"hsa-miR-302a-3p"	2	1	4	0	0	0	0	1	5	1	0	1	1	43	31	2	0	2	2	0	0	0	1	1	203	1	0	0	11
"hsa-miR-302b-3p"	2	1	4	0	0	0	0	1	5	1	0	1	1	43	31	2	0	2	2	0	0	0	1	1	203	1	0	0	11
"hsa-miR-302c-3p"	2	1	4	0	0	0	0	1	5	1	0	1	1	43	31	2	0	2	2	0	0	0	1	1	203	1	0	0	11
"hsa-miR-302d-3p"	2	1	4	0	0	0	0	1	5	1	0	1	1	43	31	2	0	2	2	0	0	0	1	1	203	1	0	0	11
"hsa-miR-302e"	2	1	4	0	0	0	0	1	5	1	0	1	1	43	31	2	0	2	2	0	0	0	1	1	203	1	0	0	11
"hsa-miR-4796-3p"	0	2	5	1	0	0	2	9	5	2	1	2	0	46	44	5	2	4	3	1	1	0	1	1	159	1	1	0	15
"hsa-miR-485-5p"	1	1	11	4	0	0	0	6	5	2	1	0	2	59	35	4	0	0	3	0	2	0	1	0	167	0	0	0	9
"hsa-miR-4775"	1	1	5	0	1	0	1	17	27	3	2	3	0	70	96	4	0	8	4	3	0	0	0	5	25	5	0	0	30
"hsa-miR-548aa"	0	1	4	1	0	0	2	10	26	3	0	4	0	104	75	7	1	4	6	0	0	0	0	6	45	0	1	1	10
"hsa-miR-548ap-3p"	0	1	4	1	0	0	2	10	26	3	0	4	0	104	75	7	1	4	6	0	0	0	0	6	45	0	1	1	10
"hsa-miR-548t-3p"	0	1	4	1	0	0	2	10	26	3	0	4	0	104	75	7	1	4	6	0	0	0	0	6	45	0	1	1	10
"hsa-miR-520f"	2	2	3	0	0	0	0	3	4	1	0	0	1	36	33	5	0	1	1	0	0	0	1	3	200	1	0	0	13
"hsa-miR-186-3p"	0	1	5	2	0	1	0	7	5	1	1	4	1	58	34	4	1	1	2	0	0	1	1	2	157	0	0	1	16
"hsa-miR-3929"	0	1	12	3	0	0	0	4	3	1	0	0	2	62	35	4	0	1	3	0	1	0	1	1	164	0	0	0	8
"hsa-miR-4419b"	0	1	12	3	0	0	0	4	3	1	0	0	2	62	35	4	0	1	3	0	1	0	1	1	164	0	0	0	8
"hsa-miR-4478"	0	1	12	3	0	0	0	4	3	1	0	0	2	62	35	4	0	1	3	0	1	0	1	1	164	0	0	0	8
"hsa-miR-5688"	1	3	3	0	0	0	0	10	19	4	0	2	0	94	80	8	0	1	6	3	0	0	0	5	44	4	1	0	18
"hsa-miR-3135b"	0	1	7	3	0	0	0	4	7	1	0	4	2	61	31	5	0	2	8	0	1	0	1	4	147	0	1	0	15
"hsa-miR-3148"	0	0	10	3	0	0	0	8	18	1	2	11	1	117	66	14	0	9	11	0	0	0	0	5	14	0	0	0	15
"hsa-miR-4728-5p"	1	1	10	2	0	1	0	7	5	1	1	1	0	71	34	8	0	6	6	1	0	1	0	1	135	0	0	0	12
"hsa-miR-7-1-3p"	0	3	7	0	0	0	0	14	20	4	0	0	0	94	79	10	0	3	6	3	0	0	1	6	28	4	0	0	23
"hsa-miR-7-2-3p"	0	3	7	0	0	0	0	14	20	4	0	0	0	94	79	10	0	3	6	3	0	0	1	6	28	4	0	0	23
"hsa-miR-3662"	0	0	6	3	0	0	3	5	19	3	0	7	3	83	70	6	0	9	6	0	0	0	0	2	51	0	0	1	27
"hsa-miR-1343"	0	3	8	1	0	0	0	6	7	1	1	2	1	53	33	8	0	2	6	0	0	0	2	1	146	0	1	0	21
"hsa-miR-3122"	0	0	4	2	0	1	0	5	4	1	0	3	0	46	20	7	0	1	3	0	0	1	1	2	184	0	0	1	14
"hsa-miR-377-3p"	0	2	6	1	1	0	1	4	9	3	1	2	0	68	46	6	0	6	0	0	1	1	0	4	114	0	5	1	18
"hsa-miR-4659a-3p"	0	3	10	4	0	0	0	11	14	2	3	3	1	91	70	10	1	2	8	0	1	0	0	4	17	5	3	0	37
"hsa-miR-4659b-3p"	0	3	10	4	0	0	0	11	14	2	3	3	1	91	70	10	1	2	8	0	1	0	0	4	17	5	3	0	37
"hsa-miR-519e-3p"	2	0	2	1	0	0	0	5	5	1	1	1	1	36	28	1	0	2	1	0	0	0	0	0	201	1	0	0	11
"hsa-miR-582-5p"	0	2	7	2	0	1	1	5	9	11	2	0	2	48	52	1	0	3	1	1	0	0	2	1	136	1	1	0	11
"hsa-miR-3194-5p"	0	1	5	0	0	0	0	2	7	4	1	0	1	77	37	7	1	0	1	0	0	1	1	1	133	0	1	0	18
"hsa-miR-4254"	0	1	3	1	1	0	0	3	9	1	0	3	2	61	32	4	0	3	8	0	0	0	0	3	147	0	0	0	17
"hsa-miR-5089"	0	1	3	1	0	0	0	4	6	1	1	2	0	39	23	2	1	2	2	1	0	0	1	1	197	0	1	2	8
"hsa-miR-1321"	1	1	6	1	0	1	0	4	7	2	1	1	0	74	49	8	0	4	8	1	0	1	0	3	116	0	1	1	7
"hsa-miR-4756-5p"	1	1	6	1	0	1	0	4	7	2	1	1	0	74	49	8	0	4	8	1	0	1	0	3	116	0	1	1	7
"hsa-miR-513a-3p"	0	1	5	1	0	0	1	14	33	2	3	3	0	71	84	4	2	6	4	2	0	0	1	5	12	6	2	1	35
"hsa-miR-513c-3p"	0	1	5	1	0	0	1	14	33	2	3	3	0	71	84	4	2	6	4	2	0	0	1	5	12	6	2	1	35
"hsa-miR-3646"	1	2	4	3	0	0	3	5	15	3	1	2	3	89	70	6	1	7	5	0	0	0	1	3	44	1	0	0	28
"hsa-miR-4459"	0	2	9	3	0	0	0	7	7	3	0	0	2	67	50	5	0	5	3	0	0	0	1	2	116	1	0	0	14
"hsa-miR-2116-3p"	0	5	5	2	0	0	0	5	5	2	0	2	1	60	43	6	0	2	6	0	0	0	1	0	139	0	0	0	12
"hsa-miR-17-3p"	1	1	4	0	0	0	0	3	7	5	0	3	1	67	32	1	0	5	2	1	1	1	0	0	130	0	2	1	27
"hsa-miR-186-5p"	1	1	8	3	0	0	2	11	15	3	1	3	1	83	69	8	1	5	8	2	1	1	1	6	27	0	0	0	34
"hsa-miR-371b-3p"	2	0	5	1	0	0	0	5	5	1	2	1	2	35	23	1	0	2	1	0	0	0	1	2	194	1	0	0	11
"hsa-miR-4450"	0	3	6	1	0	0	0	5	9	2	0	2	1	42	23	5	1	1	4	0	0	1	1	5	177	0	0	2	4
"hsa-miR-532-3p"	0	4	5	1	0	0	1	3	4	2	0	3	0	60	48	5	0	2	6	1	0	0	0	0	139	0	0	0	11
"hsa-miR-661"	0	1	3	1	1	0	0	6	5	2	1	3	1	62	38	2	0	3	4	0	0	0	0	0	152	0	0	0	10
"hsa-miR-4713-5p"	0	4	6	1	0	0	0	3	7	3	0	2	0	52	44	5	0	2	3	1	0	0	0	1	145	0	1	0	14
"hsa-miR-4739"	1	1	6	1	0	0	0	4	4	1	2	1	0	72	47	8	1	5	12	1	0	1	0	2	114	0	1	0	8
"hsa-miR-4789-3p"	0	1	7	2	1	0	3	7	14	3	0	1	0	77	66	7	0	5	1	0	0	1	0	5	67	1	4	0	19
"hsa-miR-34c-5p"	1	2	9	0	0	0	0	8	8	2	0	4	0	58	39	1	0	4	2	0	1	1	1	2	137	2	0	0	9
"hsa-miR-449b-5p"	1	2	9	0	0	0	0	8	8	2	0	4	0	58	39	1	0	4	2	0	1	1	1	2	137	2	0	0	9
"hsa-miR-4763-3p"	1	3	7	1	1	0	0	9	16	1	0	3	1	73	44	2	1	5	5	0	3	0	1	7	91	2	0	0	13
"hsa-miR-5692a"	2	2	6	0	0	0	1	5	18	5	2	2	1	80	99	0	0	4	6	1	1	0	0	5	17	0	0	0	33
"hsa-miR-149-3p"	1	2	8	2	0	0	0	5	3	1	1	1	0	76	36	7	0	7	9	1	0	1	0	2	117	0	1	0	8
"hsa-miR-3065-5p"	0	3	6	0	1	0	0	9	23	5	0	0	0	89	73	8	0	4	5	3	0	0	1	6	33	4	0	0	16
"hsa-miR-605"	0	0	3	2	0	1	1	5	7	2	2	1	0	39	36	3	2	2	3	1	0	0	0	3	166	4	0	0	6
"hsa-miR-570-3p"	0	2	6	5	0	0	1	8	29	1	4	5	0	84	76	8	1	4	4	0	0	0	0	5	33	1	1	0	10
"hsa-miR-3689d"	0	2	8	2	1	0	0	4	1	3	0	1	2	59	38	6	0	6	7	1	0	1	0	3	130	0	0	0	12
"hsa-miR-520d-5p"	1	4	5	0	0	0	1	11	8	5	0	1	1	76	65	6	0	4	5	1	0	0	1	0	71	1	0	1	19
"hsa-miR-524-5p"	1	4	5	0	0	0	1	11	8	5	0	1	1	76	65	6	0	4	5	1	0	0	1	0	71	1	0	1	19
"hsa-miR-5590-3p"	0	3	9	1	0	0	1	5	14	3	2	4	0	79	86	4	1	5	6	3	0	0	1	4	28	0	0	0	27
"hsa-miR-2682-5p"	1	1	7	0	0	0	0	6	6	2	1	3	0	52	40	0	0	4	2	0	2	1	3	3	136	2	0	0	12
"hsa-miR-4722-5p"	1	3	7	3	1	0	0	9	9	1	0	1	2	67	43	2	0	4	7	0	1	1	0	3	109	1	0	0	9
"hsa-miR-4320"	0	1	7	1	0	1	0	3	5	0	0	2	0	34	23	1	1	3	0	0	0	0	2	1	184	0	0	1	12
"hsa-miR-4719"	2	5	13	0	0	0	1	13	12	3	1	1	0	68	77	6	0	5	4	0	1	0	1	2	47	2	0	0	17
"hsa-miR-2052"	0	1	6	2	0	0	0	13	25	2	5	2	2	73	70	5	0	4	3	0	1	1	1	7	34	1	0	0	21
"hsa-miR-3652"	0	0	4	2	0	0	0	4	5	2	0	3	1	59	26	3	0	2	8	0	2	0	1	4	137	0	2	0	14
"hsa-miR-3937"	0	0	0	0	0	0	0	2	5	4	1	1	0	54	21	3	0	6	2	0	0	0	1	1	158	0	0	0	20
"hsa-miR-1323"	0	1	12	3	0	0	0	9	20	1	3	2	0	83	81	8	0	5	3	0	0	0	0	4	29	3	1	1	8
"hsa-miR-371a-3p"	3	0	2	1	0	0	0	3	4	1	1	2	1	30	20	1	0	2	1	0	0	0	0	0	193	1	0	0	10
"hsa-miR-5187-5p"	0	0	2	0	0	0	0	3	7	1	0	1	0	38	19	1	0	2	4	1	0	0	1	2	181	0	1	3	9
"hsa-miR-1207-5p"	2	2	5	1	1	0	0	7	13	2	0	2	2	72	43	4	1	3	6	0	2	0	0	7	80	1	0	0	19
"hsa-miR-944"	0	1	1	3	0	0	1	14	23	4	4	2	0	67	78	3	1	8	3	4	0	0	0	2	17	2	1	1	34
"hsa-miR-4666a-3p"	1	2	3	2	0	0	0	21	15	4	0	1	1	61	71	8	0	3	0	2	0	0	1	3	57	3	1	1	12
"hsa-miR-4768-3p"	0	2	8	3	0	0	1	7	9	3	0	1	1	59	44	4	0	4	4	0	0	0	0	2	102	1	1	0	17
"hsa-miR-188-3p"	0	3	5	1	0	0	1	8	5	3	0	3	0	54	45	3	0	2	2	1	0	0	0	1	114	0	1	0	18
"hsa-miR-4736"	1	2	7	1	1	0	0	7	18	2	0	2	1	61	41	1	1	4	6	0	1	0	1	7	89	2	0	0	14
"hsa-miR-3116"	0	2	1	2	1	0	0	5	8	2	0	3	1	58	35	2	0	3	6	0	0	0	0	2	126	0	0	0	12
"hsa-miR-3686"	0	0	5	2	0	0	0	1	9	1	0	2	2	44	34	6	0	0	1	2	0	0	0	2	137	1	1	1	18
"hsa-miR-4729"	0	2	4	3	0	0	0	12	17	0	4	2	3	79	85	6	0	8	0	0	0	0	0	2	10	2	1	0	29
"hsa-miR-3133"	0	2	8	3	0	0	1	8	16	3	1	3	0	88	64	7	1	5	7	2	0	1	1	5	15	0	1	0	26
"hsa-miR-4763-5p"	0	3	3	1	0	0	1	5	7	0	0	1	2	57	33	3	0	0	1	0	0	0	0	1	137	0	1	1	11
"hsa-miR-4492"	0	0	9	4	0	0	0	4	5	1	1	2	2	68	34	3	0	2	5	0	2	0	1	4	104	0	2	1	13
"hsa-miR-660-3p"	0	4	8	0	0	0	0	8	6	1	1	4	1	48	27	9	0	2	2	1	0	0	1	2	120	0	3	0	19
