	BreastCarcinoma(WTSI,UK)	Melanoma	Chronic lymphocytic leukaemia	Acute myeloid leukemia	Leukemia/T-ALL	T-cell ALL	BladderUrothelialCarcinoma(TCGA,US)	Myeloid leukemia	Hepatocellular carcinoma	GastricCancer(CCGC,CN)	Colorectal adenocarcinoma	LiverCancer(NCC,JP)	BreastInvasiveCarcinoma(TCGA,US)	Small cell lung cancer	Low_Grade_Glioma	Breast Cancer	RectumAdenocarcinoma(TCGA,US)	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Myeloma	Medulloblastoma	CervicalSquamousCellCarcinoma(TCGA,US)	Hypodiploid_ALL	MalignantMelanoma(WTSI,UK)	Prostate	ColonAdenocarcinoma(TCGA,US)	LiverCancer(RIKEN,JP)	ccRCC	Lung	UterineCorpusEndometrioidCarcinoma(TCGA,US)	ProstateCancer(OICR,CA)	Colorectal
hsa-miR-106b-5p	0.0	1.74	-0.07	0.0	0.0	0.0	-2.63	0.0	0.0	-0.27	-6.05	-10.98	0.0	0.0	0.0	2.1	3.89	0.0	-1.68	0.0	0.0	0.0	-0.06	0.0	0.0	-6.12	0.168333333333	0.0	0.7025	-4.65	165.65	0.0
hsa-miR-107	0.0	-2.67	0.0	0.0	-7.63	0.0	-0.07	0.0	0.0	12.46	0.02	-36.8463333333	0.0	-0.82	-0.04	2.45	0.0	-7.85	0.03	3.51	9.056	-0.56	-4.95	0.0	-0.31	-6.61	5.98	0.0	0.0	23.83	-2.48	0.0
hsa-miR-10a-3p	4.12	-0.38	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.01	-0.5	-10.09	0.0	0.0	0.0	0.0	-0.34	0.0	0.0	0.0	-3.76	0.0	0.0	0.0	-0.03	-2.1	3.07	0.0	-0.08	-14.57	-0.2	0.0
hsa-miR-10a-5p	0.0	0.0	0.0	0.0	0.0	0.25	-0.04	-5.89	0.0	0.0	-0.54	5.712	1.90333333333	0.0	0.0	1.19	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.66	0.0	4.27	-0.09	1.06	-2.38	16.45	0.0
hsa-miR-10b-3p	0.0	0.0	0.0	0.0	0.0	0.0	-2.83	0.0	0.0	-8.14	0.0	-3.32	0.0	0.0	0.0	-2.392	0.0	0.0	2.94	0.0	0.0	0.0	-0.28	0.0	0.38	6.86	20.13	-2.3	0.0	3.28	-2.02	0.0
hsa-miR-10b-5p	0.0	0.0	0.0	0.0	0.0	0.12	-2.12	-5.57	0.0	0.0	-2.0	-6.7	0.05	0.0	0.0	-1.19	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.55	0.0	8.02	-0.05	0.4	-1.37	20.55	0.0
hsa-miR-1178	-0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.41	0.0	0.0	0.0	-15.507	12.69	0.0	-1.14	1.36	17.81	0.0
hsa-miR-1179	-0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.92	3.216	0.0	-0.51	0.0	0.0	1.995	0.0	0.0	0.0	1.04	-0.28	0.07	0.0	0.0	-2.33	0.5	0.0	0.0	-3.66	0.51	0.0
hsa-miR-1180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-13.86	0.0	19.65	0.0	0.0	0.0	0.0	0.0	0.0	-0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.7966666667	0.0	0.0	-4.96	0.07	0.0
hsa-miR-1181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.37	0.0	0.0	-2.74	-0.87	0.0
hsa-miR-1182	0.0	1.05	0.0	0.0	0.0	0.0	-0.9	0.0	0.0	0.0	0.0	-23.46	0.0	0.0	0.0	0.8	0.0	2.09	0.0	0.0	0.3	0.0	0.0	0.0	0.0	12.32	-15.02	0.0	-0.02	11.58	-0.02	0.0
hsa-miR-1183	0.0	0.09	0.0	0.0	-1.68	0.0	0.0	0.0	0.0	10.15	-1.64	22.12	0.0	0.0	0.0	0.0	16.26	0.0	0.0	0.0	0.0	0.0	-15.18	0.0	-8.11	4.89	-28.0066666667	2.24	-3.24	24.97	-9.625	0.0
hsa-miR-1184	-0.27	0.0	0.0	0.0	0.0	-0.24	0.0	0.0	0.0	1.06	4.01	2.335	0.0	-0.02	0.0	0.0	0.0	0.41	0.0	-1.57	0.08	0.0	-0.09	0.0	0.0	8.71	5.87428571429	0.0	-0.36	-21.78	-12.18	0.0
hsa-miR-1185-1-3p	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.79	-1.1	-8.94333333333	0.0	-5.71	0.0	10.76	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	3.03	6.75	-18.6066666667	0.0	-4.27	4.1	1.16	0.0
hsa-miR-1185-2-3p	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	1.19	-0.8	-8.9	0.0	-7.0	0.0	10.305	0.0	0.0	0.0	0.0	0.19	0.0	0.02	0.0	2.97	8.24	-27.6891666667	0.0	-4.29	0.65	0.8	0.0
hsa-miR-1185-5p	0.0	-0.21	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.5	-0.24	7.4	0.0	0.0	0.0	-3.84	0.0	0.0	0.0	-0.35	0.73	0.0	-0.02	0.0	8.14	0.0	9.95	0.0	0.1	-5.76	2.19	0.0
hsa-miR-1193	0.0	1.32	0.0	0.0	0.0	9.06	0.0	0.0	0.0	0.0	0.76	21.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.75	0.0	0.0	-2.22	0.0	17.8	9.64	4.22	0.0	0.0	6.63	-5.00428571429	0.0
hsa-miR-1197	-7.35	-3.94	0.0	0.0	0.0	0.0	-3.49	0.28	0.0	18.63	-5.89	30.55	0.0	0.0	-0.01	-2.7	0.0	0.0	0.0	0.0	-11.19	1.7	0.36	0.0	-2.79	0.36	-9.57	0.0	0.0	7.59	4.28	0.0
hsa-miR-1200	0.0	1.47	0.0	0.0	0.0	0.0	2.28	0.0	0.0	6.17	6.11	-22.36	0.0	0.01	0.0	-8.97	0.0	0.0	0.0	0.0	-0.1	-0.01	0.0	0.0	0.0	0.0	-11.7975	0.0	-8.14	5.5	-19.19	0.0
hsa-miR-1202	0.0	-0.65	0.0	-0.39	0.0	0.0	0.0	0.0	0.0	-0.78	0.0	56.0875	0.0	0.0	0.0	-0.47	0.0	0.0	0.0	-8.43	0.0	0.0	0.0	0.0	1.08	0.07	5.43	0.0	0.26	-3.35	-28.61	0.0
hsa-miR-1203	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	-0.58	0.0	0.0	-0.04	-0.05	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	-3.08	2.25	0.0	0.0	-15.07	0.0	0.0
hsa-miR-1204	0.0	0.0	0.0	0.0	-3.36	-10.785	0.0	0.0	0.0	0.0	0.12	1.99840144433e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01	0.0	0.0	0.0	0.0	4.24	1.07	0.0	-1.52	-21.76	-1.34	0.0
hsa-miR-1205	0.0	0.24	0.0	0.0	0.0	-0.09	0.0	0.0	0.0	0.62	3.16	-39.715	0.0	-0.04	0.0	-1.96	0.0	2.04	0.31	0.21	5.07	0.0	0.0	0.0	0.0	2.08	8.38333333333	0.0	2.85	-0.376666666667	-0.46	0.0
hsa-miR-1206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	-1.59	0.0	0.58	-4.302	0.0	0.0	0.0	-0.16	0.0	0.0	0.0	0.0	8.09	0.0	0.0	0.0	0.0	0.3875	-8.97	0.0	1.8425	5.96	-1.72	0.0
hsa-miR-1207-3p	0.0	-0.03	0.0	0.0	2.9775	0.0	0.0	0.0	-6.59	13.1	-0.78	27.7331428571	0.0	-0.44	0.0	-0.82	0.0	0.0	0.0	0.0	-0.07	0.0	0.0	0.0	0.0	0.0	-2.51	0.0	-2.05	-4.97	-0.8	0.0
hsa-miR-1207-5p	0.0	2.82	0.0	-7.79	-1.1	0.0	-0.13	0.0	0.0	3.21	4.37	-11.9433333333	2.07	0.0	-0.77	1.53	-0.02	0.0	0.0	0.0	14.52	0.0	0.0	0.0	1.16	-2.63	1.015	1.63	7.64	10.06	95.21	0.0
hsa-miR-1208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	16.36	0.0	0.01	0.0	-9.2	-2.01	0.0	0.0	-7.52	0.01	5.5	-0.29	0.0	0.0	-9.49	-12.07	0.0	5.1	-2.92	-22.64	0.0
hsa-miR-122-3p	-0.34	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.71	5.63	0.0	0.0	0.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	-1.13	-2.99	4.65	0.0
hsa-miR-122-5p	11.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.44666666667	0.0	0.0	0.0	-0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	-1.37	9.69142857143	0.0	-0.18	2.39	-13.05	0.0
hsa-miR-1224-3p	0.0	-4.32	0.0	0.0	0.0	0.0	-5.01	0.0	0.0	0.0	-1.57	2.79	0.0	-0.35	0.0	0.0	0.0	0.0	0.0	-1.28	18.84	1.65	-0.03	0.0	-8.94	22.995	13.94	-0.01	-4.97	11.48	7.7	0.0
hsa-miR-1224-5p	8.47	0.223333333333	0.0	0.0	-1.97	0.0	-4.17	0.0	0.0	-10.54	-0.01	22.7	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.92	0.0	-3.42	0.0	0.0	5.2	-19.85	0.0	0.33	12.79	-29.54	0.0
hsa-miR-1225-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.05	-27.97	0.0	0.0	0.0	-6.59	-3.82	-7.57	0.0	0.0	-11.1	0.0	-1.94	0.0	1.28	12.475	-6.36	-0.56	-0.82	-5.93	25.84	-0.18
hsa-miR-1225-5p	0.0	0.0	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.0	-0.02	-17.85	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	8.25	0.0	0.0	0.0	-10.06	0.22	15.53	0.0	-3.99	0.58	8.65	0.0
hsa-miR-1226-3p	-4.48	0.0	0.0	0.0	-0.01	0.0	0.0	0.0	0.0	-6.44	3.5	12.79	0.0	0.0	0.0	-1.67	0.0	0.0	-0.93	0.0	-0.24	0.0	0.0	0.0	-0.11	-5.88	-10.4371428571	0.0	6.87	4.1	22.94	0.0
hsa-miR-1226-5p	0.0	8.89666666667	0.0	0.0	0.0	0.0	-1.59	0.0	0.0	0.0	0.0	-14.085	0.0	-6.64	0.01	7.55	0.0	-20.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.33	0.0	0.0	7.73	-0.69	0.0
hsa-miR-1227	-0.25	0.0	0.0	0.0	-5.77	0.0	0.0	0.0	0.0	0.0	0.0	24.06	0.0	0.0	5.25	0.0	0.0	0.0	0.0	-8.55	0.0	0.0	-0.01	0.0	0.0	5.155	7.82	0.0	0.0	-9.2	-4.8521	0.0
hsa-miR-1228-3p	0.0	-3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.83	-0.41	35.94	0.0	0.0	-0.28	0.0	0.0	-2.77	6.25	0.0	0.0	0.0	13.34	0.0	-1.87	12.84	15.5228571429	3.1	0.0	7.74	-8.23833333333	0.0
hsa-miR-1228-5p	0.0	1.44	0.0	0.0	0.0	0.0	0.01	0.0	0.0	2.29	-0.75	-21.5575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.43	0.0	0.0	0.0	-4.78	-4.58	-17.32	-0.02	0.0	-37.27	-3.39	0.0
hsa-miR-1229	-0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06	0.0	-10.435	0.0	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	0.0	-2.71	0.0	0.0	2.925	-22.14	-0.46	-8.54	-8.21	-7.07	0.0
hsa-miR-1231	-1.615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	-7.99	0.0	0.0	0.0	-1.0	3.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	7.62	-18.04	0.0	1.91	0.0166666666667	-4.19	0.0
hsa-miR-1233	-0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21.166	0.0	0.0	0.0	0.0	-6.43	-7.07	0.0	0.0	0.0	0.0	-0.06	0.0	0.0	-0.9	-1.69	0.0	0.0	-0.77	-24.98	0.0
hsa-miR-1234	-1.83	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	-6.67	0.0	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.92	0.03	-0.05	0.0	0.73	-6.12	0.0	-0.2	-5.65	-9.945	0.0
hsa-miR-1236	8.44	-0.76	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.48	0.0	6.13	-0.81	0.0	0.0	0.0	-0.6	-3.07	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	4.16	-3.88	-3.66	0.0	-12.931	-3.26	0.0
hsa-miR-1237	4.24	0.0	0.0	0.0	0.0	0.0	-8.8	0.0	0.0	0.77	0.0	-17.45	0.0	0.0	3.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13	0.0	0.0	-1.18	12.41	0.19	-1.24	-3.545	1.02	1.24
hsa-miR-1238	0.0	-0.32	0.0	0.0	-5.98	0.0	0.0	0.0	0.0	-0.84	0.0	2.036	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.3	0.0	0.0	-3.96	22.88	6.62	-0.03	-0.644	-8.19	0.0
hsa-miR-124-3p	0.54	3.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.985	0.0	-0.22	0.0	0.0	0.0	0.0	-0.03	0.0	0.41	0.0	-2.33	0.0	0.02	9.56	-7.226	0.0	-1.9	1.89	-0.99	0.0
hsa-miR-124-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.02	-3.48	9.755	0.0	0.0	0.0	3.18	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	0.2	-0.02	-10.96	0.0	0.0	6.19	-15.26	0.0
hsa-miR-1243	0.0	-0.08	0.0	0.0	10.75	0.0	0.0	0.0	0.0	0.21	0.19	30.27	0.0	0.11	0.0	-1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	1.575	10.07	0.0	-11.68	18.92	-1.22	-2.16
hsa-miR-1244	0.0	2.32	0.0	0.0	0.0	0.0	5.575	0.0	0.0	-0.42	3.95	5.31	-0.22	0.0	0.0	-0.06	0.0	0.0	0.0	0.0	1.85	0.0	0.0	-1.09	0.0	-1.825	-1.49	0.0	-0.18	-0.03	-9.3	0.0
hsa-miR-1245a	-1.89	0.0	0.0	0.0	-0.09	0.0	9.94	0.0	0.0	0.0	0.49	-15.56	-1.2	0.43	0.0	-3.6	0.0	0.0	0.0	0.0	0.38	0.0	-0.45	0.0	0.0	0.02	-4.23	0.01	0.0	8.7	4.72	0.0
hsa-miR-1245b-3p	0.29	0.59	2.68	0.0	0.0	0.0	0.39	0.0	0.56	9.66	-0.02	-12.66988	0.0	-0.04	0.0	-0.01	0.0	0.0	0.0	0.0	9.988	0.0	0.0	0.0	-0.04	-8.88	0.32	-0.65	-0.03	-15.0	-4.3695	0.0
hsa-miR-1245b-5p	1.39	4.24	0.0	0.0	0.0	0.0	-1.78	0.0	0.0	-2.75	0.06	-10.8996666667	0.0	0.0	0.0	-4.17	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.0	0.0	0.01	-22.8	0.0	0.0	-8.42	4.11	0.0
hsa-miR-1246	0.0	-4.54	0.0	-0.3	0.0	0.0	0.0	0.0	0.11	0.0	-1.25	-8.06266666667	0.0	0.0	0.0	10.06	0.0	0.0	0.0	-0.25	0.71	0.0	-3.44	11.355	4.18	-6.3	-13.76	0.0	4.26	3.96	0.0	0.0
hsa-miR-1247-3p	0.0	-0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.81	-3.29	-7.4	0.0	-2.19	0.0	-0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.496	-3.74	-0.78	0.0	0.0	-0.03	-2.08	0.0
hsa-miR-1247-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.94	-8.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	-6.58	0.0	0.0	-8.48	17.49	0.0
hsa-miR-1248	2.45	-0.62	0.0	0.0	0.0	0.0	-8.43	0.0	0.17	5.97	0.45	-14.35	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	6.87	0.0	0.0	-5.05	35.2425	0.0	0.09	-25.1	-0.08	0.0
hsa-miR-1249	-3.0	0.0	0.0	0.0	0.0	1.54	0.07	0.0	0.0	0.0	-0.68	-11.17	0.0	0.0	0.0	0.0	0.0	0.0	-0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	-0.58	-14.04	0.0
hsa-miR-1250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.59	0.0	1.73	0.0	0.0	0.0	0.89	0.0	0.0	0.0	-8.94	0.02	0.0	0.0	0.0	0.0	0.0	-2.39	0.0	0.0	-30.82	-7.33	0.0
