	# mut. causing disruption in proto-oncogene sites	# unique proto-oncogenes mutated, causing disruptions
hsa-miR-130a-5p	14	4
hsa-miR-4759	13	3
hsa-miR-298	13	3
hsa-miR-624-3p	13	4
hsa-miR-600	13	3
hsa-miR-4284	13	3
hsa-miR-5095	13	3
hsa-miR-4762-5p	13	6
hsa-miR-877-5p	13	4
hsa-miR-485-5p	13	8
hsa-miR-514a-5p	13	4
hsa-miR-545-5p	13	3
hsa-miR-302a-3p	13	2
hsa-miR-1286	13	5
hsa-miR-302b-3p	13	2
hsa-miR-143-3p	13	4
hsa-miR-4283	13	4
hsa-miR-3064-3p	13	4
hsa-miR-302c-3p	13	2
hsa-miR-302d-3p	13	2
hsa-miR-4740-5p	13	2
hsa-miR-3919	13	7
hsa-miR-3157-3p	13	4
hsa-miR-138-5p	13	3
hsa-miR-3158-3p	13	3
hsa-miR-4671-3p	13	2
hsa-miR-4755-3p	13	5
hsa-miR-3117-3p	13	3
hsa-miR-3942-5p	13	4
hsa-miR-766-3p	13	5
hsa-miR-576-3p	13	5
hsa-miR-4690-3p	13	4
hsa-miR-5681a	13	5
hsa-miR-5587-3p	13	3
hsa-miR-3910	13	3
hsa-miR-3671	13	5
hsa-miR-367-3p	13	6
hsa-miR-4532	13	3
hsa-miR-302e	13	2
hsa-miR-5093	13	6
hsa-miR-129-5p	13	5
hsa-miR-4804-5p	13	4
hsa-miR-4730	13	4
hsa-miR-513a-5p	13	4
hsa-miR-3658	13	5
hsa-miR-4763-5p	13	6
hsa-miR-4768-3p	13	4
hsa-miR-371a-3p	13	2
hsa-miR-4524b-5p	13	2
hsa-miR-4726-3p	13	6
hsa-miR-4317	13	3
hsa-miR-3150b-3p	13	5
hsa-miR-4770	13	4
hsa-miR-363-3p	13	6
hsa-miR-3185	13	3
hsa-miR-4784	13	5
hsa-miR-211-3p	13	6
hsa-miR-4515	13	2
hsa-miR-3653	13	3
hsa-miR-4803	13	6
hsa-miR-4699-3p	13	6
hsa-miR-4524a-5p	13	2
hsa-miR-452-3p	13	4
hsa-miR-431-5p	13	5
hsa-miR-4285	12	3
hsa-miR-3646	12	6
hsa-miR-802	12	2
hsa-miR-509-5p	12	3
hsa-miR-3177-3p	12	3
hsa-miR-548as-3p	12	4
hsa-miR-3158-5p	12	3
hsa-miR-767-5p	12	4
hsa-miR-548at-3p	12	4
hsa-miR-181c-3p	12	4
hsa-miR-652-3p	12	2
hsa-miR-4269	12	7
hsa-miR-4483	12	7
hsa-miR-4441	12	3
hsa-miR-4674	12	4
hsa-miR-128	12	6
hsa-miR-759	12	5
hsa-miR-494	12	5
hsa-miR-1278	12	4
hsa-miR-3622b-5p	12	4
hsa-miR-17-3p	12	3
hsa-miR-944	12	2
hsa-miR-9-3p	12	6
hsa-miR-509-3-5p	12	3
hsa-miR-4775	12	8
hsa-miR-5010-3p	12	4
hsa-miR-488-3p	12	4
hsa-miR-599	12	5
hsa-miR-3194-3p	12	3
hsa-miR-4650-5p	12	5
hsa-miR-3162-5p	12	3
hsa-miR-602	12	4
hsa-miR-432-5p	12	4
hsa-miR-550b-2-5p	12	4
hsa-miR-5582-5p	12	4
hsa-miR-4311	12	6
hsa-miR-1913	12	3
hsa-miR-3164	12	5
hsa-miR-3147	12	4
hsa-miR-4418	12	3
hsa-miR-508-5p	12	6
hsa-miR-4502	12	4
hsa-miR-648	12	4
hsa-miR-3142	12	5
hsa-miR-4313	12	3
hsa-miR-4728-3p	12	6
hsa-miR-4649-5p	12	3
hsa-miR-1254	11	7
hsa-miR-4698	11	7
hsa-miR-4732-5p	11	3
hsa-miR-5001-3p	11	2
hsa-miR-618	11	3
hsa-miR-3686	11	5
hsa-miR-3188	11	7
hsa-miR-3149	11	6
hsa-miR-1587	11	3
hsa-miR-671-5p	11	3
hsa-miR-4693-5p	11	5
hsa-miR-3616-5p	11	7
hsa-miR-498	11	5
hsa-miR-200b-5p	11	3
hsa-miR-365a-5p	11	3
hsa-miR-548l	11	7
hsa-miR-4310	11	6
hsa-miR-4517	11	4
hsa-miR-106a-3p	11	2
hsa-miR-200a-5p	11	3
hsa-miR-570-3p	11	5
hsa-miR-16-2-3p	11	4
hsa-miR-218-2-3p	11	4
hsa-miR-217	11	2
hsa-miR-4771	11	4
hsa-miR-4486	11	4
hsa-miR-20a-3p	11	2
hsa-miR-596	11	5
hsa-miR-365b-5p	11	3
hsa-miR-33b-5p	11	3
hsa-miR-195-3p	11	4
hsa-miR-33a-5p	11	3
hsa-miR-4279	11	5
hsa-miR-1322	11	2
hsa-miR-4641	11	3
hsa-miR-1915-3p	11	6
hsa-miR-5690	11	3
hsa-miR-3065-3p	11	4
hsa-miR-18a-3p	11	3
hsa-miR-374a-5p	11	4
hsa-miR-323a-5p	11	6
hsa-miR-323a-3p	11	3
hsa-miR-4747-3p	11	4
hsa-miR-3925-3p	11	5
hsa-miR-146a-5p	10	2
hsa-miR-5701	10	4
hsa-miR-1284	10	4
hsa-miR-3184-3p	10	4
hsa-miR-5008-5p	10	5
hsa-miR-3614-5p	10	2
hsa-miR-592	10	4
hsa-miR-1306-5p	10	4
hsa-miR-3605-3p	10	2
hsa-miR-4769-3p	10	2
hsa-miR-4793-5p	10	2
hsa-miR-342-5p	10	3
hsa-miR-3662	10	6
hsa-miR-485-3p	10	6
hsa-miR-486-3p	10	3
hsa-miR-335-5p	10	3
hsa-miR-4757-5p	10	4
hsa-miR-135a-3p	10	3
hsa-miR-324-3p	10	2
hsa-miR-1281	10	2
hsa-miR-575	10	3
hsa-miR-3681-3p	10	5
hsa-miR-140-3p	10	5
hsa-miR-5000-3p	10	5
hsa-miR-4724-5p	10	5
hsa-miR-5681b	10	5
hsa-miR-370	10	5
hsa-miR-1228-3p	10	2
hsa-miR-4293	10	5
hsa-miR-4505	10	5
hsa-miR-4327	10	3
hsa-miR-4676-5p	10	3
hsa-miR-450a-3p	10	3
hsa-miR-4670-3p	10	6
hsa-miR-520a-5p	10	3
hsa-miR-4667-5p	10	3
hsa-miR-4323	10	3
hsa-miR-4666a-3p	10	4
hsa-miR-186-5p	10	4
hsa-miR-4664-5p	10	3
hsa-miR-5583-5p	10	3
hsa-miR-146b-5p	10	2
hsa-miR-302f	10	4
hsa-miR-1245b-5p	10	4
hsa-miR-425-3p	10	5
hsa-miR-525-5p	10	3
hsa-miR-4655-5p	10	2
hsa-miR-526b-5p	10	4
hsa-miR-1208	10	3
hsa-miR-548m	10	4
hsa-miR-532-3p	10	4
hsa-miR-296-5p	10	5
hsa-miR-548u	10	6
hsa-miR-1185-2-3p	10	5
hsa-miR-28-5p	10	3
hsa-miR-1185-1-3p	10	5
hsa-miR-27a-5p	10	2
hsa-miR-1178	10	3
hsa-miR-3122	10	5
hsa-miR-4530	10	4
hsa-miR-708-5p	10	3
hsa-miR-517-5p	10	4
hsa-miR-376a-3p	10	3
hsa-miR-376b	10	3
hsa-miR-2110	10	3
hsa-miR-1255b-2-3p	10	3
hsa-miR-513b	10	2
hsa-miR-3126-5p	10	4
hsa-miR-2052	10	3
hsa-miR-5684	10	2
hsa-miR-4455	10	2
hsa-let-7f-2-3p	10	5
hsa-miR-218-1-3p	10	3
hsa-miR-3619-5p	10	3
hsa-miR-4691-5p	10	4
hsa-miR-3916	10	4
hsa-miR-5193	10	4
hsa-miR-5194	10	4
hsa-miR-3129-5p	10	2
hsa-miR-3129-3p	10	3
hsa-miR-449b-3p	10	4
hsa-miR-4774-5p	9	4
hsa-miR-4459	9	5
hsa-miR-4468	9	3
hsa-miR-4301	9	4
hsa-miR-365a-3p	9	2
hsa-miR-103b	9	2
hsa-miR-4445-3p	9	2
hsa-miR-4488	9	3
hsa-miR-4436b-5p	9	2
hsa-miR-940	9	6
hsa-miR-4489	9	3
hsa-miR-4425	9	4
hsa-miR-922	9	3
hsa-miR-92b-5p	9	3
hsa-miR-4504	9	5
hsa-miR-367-5p	9	2
hsa-miR-365b-3p	9	2
hsa-miR-429	9	4
hsa-miR-4722-3p	9	6
hsa-miR-3714	9	5
hsa-miR-646	9	1
hsa-miR-4726-5p	9	5
hsa-miR-4727-5p	9	1
hsa-miR-4717-5p	9	3
hsa-miR-374c-3p	9	3
hsa-miR-4714-5p	9	3
hsa-miR-3689d	9	5
hsa-miR-671-3p	9	1
hsa-miR-4731-5p	9	4
hsa-miR-4697-5p	9	3
hsa-miR-4695-3p	9	4
hsa-miR-3907	9	5
hsa-miR-1277-5p	9	2
hsa-miR-4687-5p	9	3
hsa-miR-4678	9	4
hsa-miR-3679-3p	9	4
hsa-miR-3676-5p	9	2
hsa-miR-4675	9	3
hsa-miR-4667-3p	9	2
hsa-miR-412	9	1
hsa-miR-423-5p	9	3
hsa-miR-1202	9	3
hsa-miR-4288	9	4
hsa-miR-548c-5p	9	6
hsa-miR-3622a-5p	9	5
hsa-miR-518d-3p	9	1
hsa-miR-548w	9	6
hsa-miR-3120-5p	9	4
hsa-miR-548as-5p	9	6
hsa-miR-548ar-5p	9	6
hsa-miR-3121-3p	9	4
hsa-miR-548y	9	6
hsa-miR-512-5p	9	4
hsa-miR-214-3p	9	5
hsa-miR-548o-3p	9	3
hsa-miR-3124-5p	9	2
hsa-miR-200b-3p	9	4
hsa-miR-143-5p	9	4
hsa-miR-5192	9	2
hsa-miR-548ak	9	6
hsa-miR-3184-5p	9	3
hsa-miR-141-3p	9	1
hsa-miR-193b-5p	9	2
hsa-miR-518c-3p	9	1
hsa-miR-518b	9	1
hsa-miR-4462	9	3
hsa-miR-548ap-5p	9	6
hsa-miR-542-3p	9	5
hsa-miR-548a-5p	9	6
hsa-miR-3143	9	5
hsa-miR-219-2-3p	9	2
hsa-miR-200c-3p	9	4
hsa-miR-548o-5p	9	6
hsa-miR-4999-3p	9	4
hsa-miR-200a-3p	9	1
hsa-miR-3119	9	3
hsa-miR-548j	9	6
hsa-miR-548k	9	6
hsa-miR-548d-5p	9	6
hsa-miR-5586-5p	9	2
hsa-miR-5587-5p	9	1
hsa-miR-3614-3p	9	4
hsa-miR-548b-5p	9	6
hsa-miR-183-3p	9	2
hsa-miR-548av-5p	9	6
hsa-miR-342-3p	9	1
hsa-miR-548ab	9	6
hsa-miR-548am-5p	9	6
hsa-miR-548i	9	6
hsa-miR-562	9	2
hsa-miR-345-5p	9	2
hsa-miR-145-5p	9	5
hsa-miR-548au-5p	9	6
hsa-miR-4798-3p	9	4
hsa-miR-548h-5p	9	6
hsa-miR-3156-3p	9	4
hsa-miR-4797-3p	9	5
hsa-miR-4709-3p	8	4
hsa-miR-657	8	5
hsa-miR-659-3p	8	2
hsa-miR-4531	8	2
hsa-miR-2467-5p	8	5
hsa-miR-510	8	4
hsa-miR-10a-3p	8	4
hsa-miR-4520b-3p	8	4
hsa-miR-5696	8	4
hsa-miR-147b	8	2
hsa-miR-892b	8	4
hsa-miR-378g	8	3
hsa-miR-1225-3p	8	2
hsa-miR-122-3p	8	4
hsa-miR-4254	8	6
hsa-miR-185-3p	8	3
hsa-miR-1231	8	4
hsa-miR-3972	8	2
hsa-miR-4668-5p	8	5
hsa-miR-1825	8	3
hsa-miR-4261	8	5
hsa-miR-551b-5p	8	4
hsa-miR-181b-3p	8	4
hsa-miR-3940-3p	8	2
hsa-miR-564	8	4
hsa-miR-3120-3p	8	6
hsa-miR-4268	8	3
hsa-miR-758	8	5
hsa-miR-568	8	4
hsa-miR-181a-2-3p	8	3
hsa-miR-3127-5p	8	4
hsa-miR-4640-5p	8	4
hsa-miR-107	8	4
hsa-miR-3913-5p	8	5
hsa-miR-4638-3p	8	5
hsa-miR-541-5p	8	3
hsa-miR-26b-3p	8	5
hsa-miR-4307	8	2
hsa-miR-302c-5p	8	4
hsa-miR-3670	8	4
hsa-let-7f-1-3p	8	4
hsa-miR-597	8	5
hsa-miR-4797-5p	8	5
hsa-miR-587	8	3
hsa-miR-4744	8	4
hsa-miR-586	8	2
hsa-miR-218-5p	8	5
hsa-miR-4749-3p	8	4
hsa-miR-216b	8	4
hsa-miR-93-3p	8	5
hsa-let-7a-3p	8	4
hsa-miR-323b-3p	8	5
hsa-miR-548at-5p	8	7
hsa-miR-326	8	5
hsa-miR-491-3p	8	3
hsa-miR-4493	8	3
hsa-miR-941	8	2
hsa-miR-576-5p	8	5
hsa-miR-4490	8	4
hsa-miR-4767	8	4
hsa-miR-1293	8	5
hsa-miR-1295a	8	2
hsa-let-7b-3p	8	4
hsa-miR-103a-3p	8	4
hsa-miR-4509	8	4
hsa-miR-4457	8	2
hsa-miR-3177-5p	8	4
hsa-miR-2113	8	4
hsa-miR-5702	8	3
hsa-miR-1295b-3p	8	2
hsa-miR-5581-5p	7	3
hsa-miR-875-3p	7	4
hsa-miR-204-3p	7	3
hsa-miR-99b-3p	7	3
hsa-miR-4436a	7	5
hsa-miR-20b-3p	7	5
hsa-miR-4266	7	5
hsa-miR-4444	7	2
hsa-miR-4652-3p	7	4
hsa-miR-4259	7	3
hsa-miR-2115-3p	7	4
hsa-miR-876-3p	7	4
hsa-miR-4646-5p	7	2
hsa-miR-299-5p	7	2
hsa-miR-99a-3p	7	3
hsa-miR-4446-3p	7	4
hsa-miR-4649-3p	7	3
hsa-miR-556-3p	7	1
hsa-miR-942	7	4
hsa-miR-4435	7	3
hsa-miR-522-3p	7	3
hsa-miR-4492	7	2
hsa-miR-4518	7	3
hsa-miR-4508	7	2
hsa-miR-548al	7	2
hsa-miR-25-5p	7	2
hsa-miR-224-3p	7	3
hsa-miR-548ai	7	3
hsa-miR-548ag	7	3
hsa-miR-4314	7	4
hsa-miR-548q	7	2
hsa-miR-4303	7	4
hsa-miR-23a-3p	7	4
hsa-miR-106b-3p	7	3
hsa-miR-4522	7	1
hsa-miR-23b-3p	7	4
hsa-miR-23c	7	4
hsa-miR-4536-3p	7	3
hsa-miR-4506	7	3
hsa-miR-4642	7	3
hsa-miR-194-3p	7	3
hsa-miR-539-3p	7	5
hsa-miR-4520a-3p	7	4
hsa-miR-4430	7	5
hsa-miR-4640-3p	7	4
hsa-miR-885-3p	7	3
hsa-miR-92a-2-5p	7	5
hsa-miR-26b-5p	7	3
hsa-miR-4330	7	4
hsa-miR-92a-1-5p	7	3
hsa-miR-1183	7	5
hsa-miR-26a-5p	7	3
hsa-miR-543	7	4
hsa-miR-4501	7	4
hsa-miR-4289	7	2
hsa-miR-3941	7	2
hsa-miR-4465	7	3
hsa-miR-4661-3p	7	3
hsa-miR-3673	7	4
hsa-miR-491-5p	7	4
hsa-miR-643	7	5
hsa-miR-581	7	1
hsa-miR-3160-5p	7	2
hsa-miR-654-3p	7	3
hsa-miR-5100	7	4
hsa-miR-5697	7	3
hsa-miR-582-3p	7	5
hsa-miR-668	7	3
hsa-miR-377-5p	7	2
hsa-miR-489	7	4
hsa-miR-5688	7	4
hsa-miR-3152-3p	7	1
hsa-miR-584-5p	7	2
hsa-miR-3151	7	5
hsa-miR-3664-5p	7	1
hsa-miR-4742-3p	7	4
hsa-miR-3167	7	4
hsa-miR-147a	7	1
hsa-miR-3145-5p	7	3
hsa-miR-3170	7	3
hsa-miR-3680-5p	7	3
hsa-miR-32-3p	7	3
hsa-miR-139-5p	7	4
hsa-miR-617	7	2
hsa-miR-1273g-5p	7	4
hsa-miR-5007-5p	7	4
hsa-miR-3189-5p	7	5
hsa-miR-5704	7	2
hsa-miR-5705	7	6
hsa-miR-144-3p	7	4
hsa-miR-628-5p	7	4
hsa-miR-573	7	4
hsa-miR-5011-3p	7	3
hsa-miR-570-5p	7	3
hsa-miR-574-3p	7	3
hsa-miR-632	7	3
hsa-miR-188-5p	7	1
hsa-miR-3150a-3p	7	4
hsa-miR-4700-3p	7	4
hsa-miR-486-5p	7	5
hsa-miR-5196-3p	7	2
hsa-miR-1296	7	2
hsa-miR-5585-5p	7	4
hsa-miR-1297	7	3
hsa-miR-1299	7	5
hsa-miR-184	7	1
hsa-miR-4774-3p	7	5
hsa-miR-766-5p	7	5
hsa-miR-3943	7	1
hsa-miR-762	7	2
hsa-miR-3937	7	3
hsa-miR-761	7	3
hsa-miR-3144-5p	7	4
hsa-miR-3121-5p	7	3
hsa-miR-4768-5p	7	4
hsa-miR-3607-3p	7	5
hsa-miR-154-5p	7	2
hsa-miR-3911	7	1
hsa-miR-483-5p	7	1
hsa-miR-1290	7	4
hsa-miR-3140-3p	7	4
hsa-miR-1289	7	3
hsa-miR-4693-3p	7	2
hsa-miR-382-5p	7	4
hsa-miR-130b-5p	7	4
hsa-miR-4690-5p	7	4
hsa-miR-4778-3p	6	3
hsa-miR-484	6	3
hsa-miR-4785	6	3
hsa-miR-4745-3p	6	3
hsa-miR-595	6	4
hsa-miR-493-5p	6	3
hsa-miR-4793-3p	6	4
hsa-miR-4475	6	3
hsa-miR-96-3p	6	4
hsa-miR-609	6	1
hsa-miR-483-3p	6	2
hsa-miR-4789-5p	6	2
hsa-miR-943	6	1
hsa-miR-4495	6	3
hsa-miR-939	6	3
hsa-miR-548aq-5p	6	3
hsa-miR-4478	6	4
hsa-miR-4790-3p	6	2
hsa-miR-589-5p	6	1
hsa-miR-495	6	4
hsa-miR-5088	6	3
hsa-miR-924	6	3
hsa-miR-548an	6	3
hsa-miR-7-1-3p	6	1
hsa-miR-4691-3p	6	2
hsa-miR-4689	6	4
hsa-miR-7-2-3p	6	1
hsa-miR-4681	6	2
hsa-miR-877-3p	6	4
hsa-miR-760	6	3
hsa-miR-4644	6	1
hsa-miR-4673	6	3
hsa-miR-4778-5p	6	5
hsa-miR-876-5p	6	3
hsa-miR-4669	6	4
hsa-miR-5589-5p	6	3
