	Genesymbol	miRNA	Cancertype	Targetsiteclass
873	DMTF1	hsa-miR-452-3p	Lung	Disrupted
874	DMTF1	hsa-miR-452-3p	Lung	Disrupted
875	DMTF1	hsa-miR-642a-3p	Lung	Created
876	DMTF1	hsa-miR-642b-3p	Lung	Created
877	DMTF1	hsa-miR-642a-3p	Lung	Created
878	DMTF1	hsa-miR-642b-3p	Lung	Created
879	DMTF1	hsa-miR-642a-3p	Lung	Created
880	DMTF1	hsa-miR-642b-3p	Lung	Created
948	EPB41	hsa-miR-5579-3p	Prostate	Disrupted
949	EPB41	hsa-miR-5579-3p	Prostate	Disrupted
950	EPB41	hsa-miR-5579-3p	Prostate	Disrupted
951	EPB41	hsa-miR-5579-3p	Prostate	Disrupted
952	EPB41	hsa-miR-5579-3p	Prostate	Disrupted
953	EPB41	hsa-miR-657	Prostate	Disrupted
954	EPB41	hsa-miR-657	Prostate	Disrupted
955	EPB41	hsa-miR-657	Prostate	Disrupted
956	EPB41	hsa-miR-657	Prostate	Disrupted
957	EPB41	hsa-miR-657	Prostate	Disrupted
1438	ING5	hsa-miR-4723-3p	Lung	Disrupted
1439	ING5	hsa-miR-3183	Lung	Disrupted
1440	ING5	hsa-miR-4287	Lung	Disrupted
1441	ING5	hsa-miR-4685-3p	Lung	Disrupted
1442	ING5	hsa-miR-4469	Lung	Disrupted
1443	ING5	hsa-miR-4755-5p	Lung	Created
1444	ING5	hsa-miR-4446-5p	Lung	Created
1445	ING5	hsa-miR-5006-3p	Lung	Created
1547	KDM3B	hsa-miR-5192	Prostate	Disrupted
1548	KDM3B	hsa-miR-185-5p	Prostate	Disrupted
1549	KDM3B	hsa-miR-4306	Prostate	Disrupted
1550	KDM3B	hsa-miR-4644	Prostate	Disrupted
1551	KDM3B	hsa-miR-3135b	Prostate	Disrupted
1552	KDM3B	hsa-miR-3175	Prostate	Created
1553	KDM3B	hsa-miR-3150a-3p	Prostate	Created
1554	KDM3B	hsa-miR-4667-5p	Prostate	Created
1555	KDM3B	hsa-miR-4700-5p	Prostate	Created
1556	KDM3B	hsa-miR-4731-5p	Prostate	Created
1557	KDM3B	hsa-miR-939	Prostate	Created
1592	KIF1B	hsa-miR-1827	Prostate	Disrupted
1593	KIF1B	hsa-miR-3714	Prostate	Created
1594	KIF1B	hsa-miR-4695-5p	Prostate	Disrupted
1595	KIF1B	hsa-miR-665	Prostate	Disrupted
1596	KIF1B	hsa-miR-3612	Prostate	Disrupted
1597	KIF1B	hsa-miR-650	Prostate	Disrupted
1598	KIF1B	hsa-miR-4459	Prostate	Disrupted
1929	MN1	hsa-miR-942	Prostate	Created
1930	MN1	hsa-miR-4768-5p	Prostate	Disrupted
1931	MN1	hsa-miR-130b-5p	Prostate	Disrupted
1932	MN1	hsa-miR-1237	Prostate	Created
1933	MN1	hsa-miR-4753-3p	Prostate	Disrupted
1934	MN1	hsa-miR-1248	Prostate	Created
1935	MN1	hsa-miR-4279	Prostate	Created
1972	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1973	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1974	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1975	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1976	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1977	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1978	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1979	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1980	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1981	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
2098	NEO1	hsa-miR-518a-5p	Prostate	Created
2099	NEO1	hsa-miR-527	Prostate	Created
2100	NEO1	hsa-miR-518a-5p	Prostate	Created
2101	NEO1	hsa-miR-527	Prostate	Created
2102	NEO1	hsa-miR-518a-5p	Prostate	Created
2103	NEO1	hsa-miR-527	Prostate	Created
2283	PAX6	hsa-miR-10a-3p	Small cell lung cancer	Created
2284	PAX6	hsa-miR-10a-3p	Small cell lung cancer	Created
2285	PAX6	hsa-miR-10a-3p	Small cell lung cancer	Created
2286	PAX6	hsa-miR-302a-5p	Small cell lung cancer	Disrupted
2287	PAX6	hsa-miR-302a-5p	Small cell lung cancer	Disrupted
2288	PAX6	hsa-miR-302a-5p	Small cell lung cancer	Disrupted
2289	PAX6	hsa-miR-371a-5p	Small cell lung cancer	Created
2290	PAX6	hsa-miR-371b-5p	Small cell lung cancer	Created
2291	PAX6	hsa-miR-373-5p	Small cell lung cancer	Created
2292	PAX6	hsa-miR-616-5p	Small cell lung cancer	Created
2293	PAX6	hsa-miR-371a-5p	Small cell lung cancer	Created
2294	PAX6	hsa-miR-371b-5p	Small cell lung cancer	Created
2295	PAX6	hsa-miR-373-5p	Small cell lung cancer	Created
2296	PAX6	hsa-miR-616-5p	Small cell lung cancer	Created
2297	PAX6	hsa-miR-371a-5p	Small cell lung cancer	Created
2298	PAX6	hsa-miR-371b-5p	Small cell lung cancer	Created
2299	PAX6	hsa-miR-373-5p	Small cell lung cancer	Created
2300	PAX6	hsa-miR-616-5p	Small cell lung cancer	Created
2475	PRDM1	hsa-miR-4778-3p	Prostate	Created
2476	PRDM1	hsa-miR-4778-3p	Prostate	Created
2477	PRDM1	hsa-miR-4659a-3p	Prostate	Disrupted
2478	PRDM1	hsa-miR-4659b-3p	Prostate	Disrupted
2479	PRDM1	hsa-miR-4659a-3p	Prostate	Disrupted
2480	PRDM1	hsa-miR-4659b-3p	Prostate	Disrupted
2481	PRDM1	hsa-miR-103a-2-5p	Prostate	Created
2482	PRDM1	hsa-miR-3977	Prostate	Created
2483	PRDM1	hsa-miR-103a-2-5p	Prostate	Created
2484	PRDM1	hsa-miR-3977	Prostate	Created
2945	SHPRH	hsa-miR-548u	Melanoma	Created
2946	SHPRH	hsa-miR-186-5p	Melanoma	Disrupted
2947	SHPRH	hsa-miR-548u	Melanoma	Created
2948	SHPRH	hsa-miR-186-5p	Melanoma	Disrupted
2990	SMAD2	hsa-miR-3613-3p	Prostate	Disrupted
2991	SMAD2	hsa-miR-3613-3p	Prostate	Disrupted
2992	SMAD2	hsa-miR-3613-3p	Prostate	Disrupted
2993	SMAD2	hsa-miR-1302	Melanoma	Disrupted
2994	SMAD2	hsa-miR-1302	Melanoma	Disrupted
2995	SMAD2	hsa-miR-1302	Melanoma	Disrupted
2996	SMAD2	hsa-miR-4298	Melanoma	Disrupted
2997	SMAD2	hsa-miR-4298	Melanoma	Disrupted
2998	SMAD2	hsa-miR-4298	Melanoma	Disrupted
2999	SMAD2	hsa-miR-3913-5p	Melanoma	Disrupted
3000	SMAD2	hsa-miR-3913-5p	Melanoma	Disrupted
3001	SMAD2	hsa-miR-3913-5p	Melanoma	Disrupted
3002	SMAD2	hsa-miR-3122	Melanoma	Disrupted
3003	SMAD2	hsa-miR-3122	Melanoma	Disrupted
3004	SMAD2	hsa-miR-3122	Melanoma	Disrupted
3005	SMAD2	hsa-miR-4524a-3p	Melanoma	Created
3006	SMAD2	hsa-miR-4524a-3p	Melanoma	Created
3007	SMAD2	hsa-miR-4524a-3p	Melanoma	Created
3008	SMAD2	hsa-miR-3672	Melanoma	Created
3009	SMAD2	hsa-miR-3672	Melanoma	Created
3010	SMAD2	hsa-miR-3672	Melanoma	Created
3067	SP100	hsa-miR-5196-3p	Melanoma	Disrupted
3068	SP100	hsa-miR-4691-5p	Melanoma	Disrupted
3844	AIP	hsa-miR-4757-5p	Breast Cancer	Created
3867	ALDH1A2	hsa-miR-644b-3p	Breast Cancer	Disrupted
3868	ALDH1A2	hsa-miR-5696	Breast Cancer	Disrupted
3869	ALDH1A2	hsa-miR-579	Breast Cancer	Disrupted
3870	ALDH1A2	hsa-miR-4760-3p	Breast Cancer	Disrupted
3871	ALDH1A2	hsa-miR-664-3p	Breast Cancer	Disrupted
3872	ALDH1A2	hsa-miR-4729	Breast Cancer	Disrupted
3873	ALDH1A2	hsa-miR-644b-3p	Breast Cancer	Disrupted
3874	ALDH1A2	hsa-miR-5696	Breast Cancer	Disrupted
3875	ALDH1A2	hsa-miR-579	Breast Cancer	Disrupted
3876	ALDH1A2	hsa-miR-4760-3p	Breast Cancer	Disrupted
3877	ALDH1A2	hsa-miR-664-3p	Breast Cancer	Disrupted
3878	ALDH1A2	hsa-miR-4729	Breast Cancer	Disrupted
3879	ALDH1A2	hsa-miR-644b-3p	Breast Cancer	Disrupted
3880	ALDH1A2	hsa-miR-5696	Breast Cancer	Disrupted
3881	ALDH1A2	hsa-miR-579	Breast Cancer	Disrupted
3882	ALDH1A2	hsa-miR-4760-3p	Breast Cancer	Disrupted
3883	ALDH1A2	hsa-miR-664-3p	Breast Cancer	Disrupted
3884	ALDH1A2	hsa-miR-4729	Breast Cancer	Disrupted
3885	ALDH1A2	hsa-miR-644b-3p	Breast Cancer	Disrupted
3886	ALDH1A2	hsa-miR-5696	Breast Cancer	Disrupted
3887	ALDH1A2	hsa-miR-579	Breast Cancer	Disrupted
3888	ALDH1A2	hsa-miR-4760-3p	Breast Cancer	Disrupted
3889	ALDH1A2	hsa-miR-664-3p	Breast Cancer	Disrupted
3890	ALDH1A2	hsa-miR-4729	Breast Cancer	Disrupted
4627	CADM1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Disrupted
4628	CADM1	hsa-miR-126-5p	Colorectal adenocarcinoma	Disrupted
4629	CADM1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Disrupted
4630	CADM1	hsa-miR-126-5p	Colorectal adenocarcinoma	Disrupted
4706	CAV1	hsa-miR-302c-5p	Breast Cancer	Created
4707	CAV1	hsa-miR-302c-5p	Breast Cancer	Created
4708	CAV1	hsa-miR-302c-5p	Breast Cancer	Created
4709	CAV1	hsa-miR-302c-5p	Breast Cancer	Created
5059	CNTNAP2	hsa-miR-4726-3p	Colorectal adenocarcinoma	Created
5060	CNTNAP2	hsa-miR-3974	Colorectal adenocarcinoma	Disrupted
5072	COL4A3	hsa-miR-3121-5p	Colorectal adenocarcinoma	Created
5073	COL4A3	hsa-miR-330-5p	Colorectal adenocarcinoma	Disrupted
5074	COL4A3	hsa-miR-326	Colorectal adenocarcinoma	Disrupted
5075	COL4A3	hsa-miR-3909	Colorectal adenocarcinoma	Disrupted
5170	CTBP1	hsa-miR-3613-3p	Colorectal adenocarcinoma	Disrupted
5171	CTBP1	hsa-miR-3613-3p	Colorectal adenocarcinoma	Disrupted
5172	CTCF	hsa-miR-1298	Breast Cancer	Created
5173	CTCF	hsa-miR-335-3p	Breast Cancer	Created
5174	CTCF	hsa-miR-1298	Breast Cancer	Created
5175	CTCF	hsa-miR-335-3p	Breast Cancer	Created
5176	CTDSPL	hsa-miR-3662	Colorectal adenocarcinoma	Disrupted
5177	CTDSPL	hsa-miR-4758-5p	Colorectal adenocarcinoma	Disrupted
5178	CTDSPL	hsa-miR-4745-5p	Colorectal adenocarcinoma	Disrupted
5179	CTDSPL	hsa-miR-3662	Colorectal adenocarcinoma	Disrupted
5180	CTDSPL	hsa-miR-4758-5p	Colorectal adenocarcinoma	Disrupted
5181	CTDSPL	hsa-miR-4745-5p	Colorectal adenocarcinoma	Disrupted
5189	CYLD	hsa-miR-5683	Breast Cancer	Created
5190	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5191	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5192	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5193	CYLD	hsa-miR-5683	Breast Cancer	Created
5194	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5195	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5196	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5197	CYLD	hsa-miR-5683	Breast Cancer	Created
5198	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5199	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5200	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5351	E2F1	hsa-miR-4662a-5p	Colorectal adenocarcinoma	Created
5352	E2F1	hsa-miR-4321	Colorectal adenocarcinoma	Disrupted
5359	EHF	hsa-miR-490-5p	Breast Cancer	Created
5360	EHF	hsa-miR-490-5p	Breast Cancer	Created
5361	EHF	hsa-miR-490-5p	Breast Cancer	Created
5571	ERBB4	hsa-let-7a-2-3p	Acute myeloid leukemia	Created
5572	ERBB4	hsa-let-7g-3p	Acute myeloid leukemia	Created
5573	ERBB4	hsa-miR-557	Acute myeloid leukemia	Disrupted
5574	ERBB4	hsa-miR-507	Acute myeloid leukemia	Disrupted
5575	ERBB4	hsa-miR-493-5p	Acute myeloid leukemia	Created
5576	ERBB4	hsa-miR-4719	Acute myeloid leukemia	Disrupted
5577	ERBB4	hsa-let-7a-2-3p	Acute myeloid leukemia	Created
5578	ERBB4	hsa-let-7g-3p	Acute myeloid leukemia	Created
5579	ERBB4	hsa-miR-557	Acute myeloid leukemia	Disrupted
5580	ERBB4	hsa-miR-507	Acute myeloid leukemia	Disrupted
5581	ERBB4	hsa-miR-493-5p	Acute myeloid leukemia	Created
5582	ERBB4	hsa-miR-4719	Acute myeloid leukemia	Disrupted
5583	ERBB4	hsa-miR-432-3p	Colorectal adenocarcinoma	Disrupted
5584	ERBB4	hsa-miR-1193	Colorectal adenocarcinoma	Created
5585	ERBB4	hsa-miR-92a-1-5p	Colorectal adenocarcinoma	Created
5586	ERBB4	hsa-miR-3134	Colorectal adenocarcinoma	Disrupted
5587	ERBB4	hsa-miR-1246	Colorectal adenocarcinoma	Disrupted
5588	ERBB4	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
5589	ERBB4	hsa-miR-432-3p	Colorectal adenocarcinoma	Disrupted
5590	ERBB4	hsa-miR-1193	Colorectal adenocarcinoma	Created
5591	ERBB4	hsa-miR-92a-1-5p	Colorectal adenocarcinoma	Created
5592	ERBB4	hsa-miR-3134	Colorectal adenocarcinoma	Disrupted
5593	ERBB4	hsa-miR-1246	Colorectal adenocarcinoma	Disrupted
5594	ERBB4	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
5737	FBXO31	hsa-miR-106a-3p	Breast Cancer	Created
5738	FBXO31	hsa-miR-4649-3p	Breast Cancer	Disrupted
5739	FBXO32	hsa-miR-642a-5p	Breast Cancer	Created
5740	FBXO32	hsa-miR-5002-5p	Breast Cancer	Disrupted
5741	FBXO32	hsa-miR-9-5p	Breast Cancer	Created
5742	FBXO32	hsa-miR-454-5p	Breast Cancer	Disrupted
5743	FBXO32	hsa-miR-642a-5p	Breast Cancer	Created
5744	FBXO32	hsa-miR-5002-5p	Breast Cancer	Disrupted
5745	FBXO32	hsa-miR-9-5p	Breast Cancer	Created
5746	FBXO32	hsa-miR-454-5p	Breast Cancer	Disrupted
5747	FBXO32	hsa-miR-642a-5p	Breast Cancer	Created
5748	FBXO32	hsa-miR-5002-5p	Breast Cancer	Disrupted
5749	FBXO32	hsa-miR-9-5p	Breast Cancer	Created
5750	FBXO32	hsa-miR-454-5p	Breast Cancer	Disrupted
5845	FOXC1	hsa-miR-3175	Colorectal adenocarcinoma	Disrupted
5846	FOXC1	hsa-miR-3132	Colorectal adenocarcinoma	Created
5847	FOXC1	hsa-miR-197-5p	Colorectal adenocarcinoma	Created
5848	FOXC1	hsa-miR-3529-5p	Colorectal adenocarcinoma	Created
5849	FOXC1	hsa-miR-379-5p	Colorectal adenocarcinoma	Created
6426	ING5	hsa-miR-1247-5p	Breast Cancer	Disrupted
6427	ING5	hsa-miR-4281	Breast Cancer	Disrupted
6763	LHX6	hsa-miR-18a-3p	Colorectal adenocarcinoma	Created
6764	LHX6	hsa-miR-4290	Colorectal adenocarcinoma	Created
6765	LHX6	hsa-miR-18a-3p	Colorectal adenocarcinoma	Created
6766	LHX6	hsa-miR-4290	Colorectal adenocarcinoma	Created
6767	LHX6	hsa-miR-18a-3p	Colorectal adenocarcinoma	Created
6768	LHX6	hsa-miR-4290	Colorectal adenocarcinoma	Created
6769	LHX6	hsa-miR-18a-3p	Colorectal adenocarcinoma	Created
6770	LHX6	hsa-miR-4290	Colorectal adenocarcinoma	Created
6771	LHX6	hsa-miR-18a-3p	Colorectal adenocarcinoma	Created
6772	LHX6	hsa-miR-4290	Colorectal adenocarcinoma	Created
7069	MCPH1	hsa-miR-362-3p	Breast Cancer	Disrupted
7070	MCPH1	hsa-miR-329	Breast Cancer	Disrupted
7071	MCPH1	hsa-miR-140-3p	Breast Cancer	Created
7072	MCPH1	hsa-miR-362-3p	Breast Cancer	Disrupted
7073	MCPH1	hsa-miR-329	Breast Cancer	Disrupted
7074	MCPH1	hsa-miR-140-3p	Breast Cancer	Created
7222	MTUS1	hsa-miR-3686	Breast Cancer	Created
7223	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7224	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7225	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7226	MTUS1	hsa-miR-3686	Breast Cancer	Created
7227	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7228	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7229	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7230	MTUS1	hsa-miR-3686	Breast Cancer	Created
7231	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7232	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7233	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7234	MTUS1	hsa-miR-3686	Breast Cancer	Created
7235	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7236	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7237	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7238	MTUS1	hsa-miR-3686	Breast Cancer	Created
7239	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7240	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7241	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7401	NF2	hsa-miR-142-5p	Breast Cancer	Created
7402	NF2	hsa-miR-5590-3p	Breast Cancer	Created
7403	NF2	hsa-miR-340-5p	Breast Cancer	Created
7404	NF2	hsa-miR-142-5p	Breast Cancer	Created
7405	NF2	hsa-miR-5590-3p	Breast Cancer	Created
7406	NF2	hsa-miR-340-5p	Breast Cancer	Created
7589	OPCML	hsa-miR-141-5p	Colorectal adenocarcinoma	Created
7590	OPCML	hsa-miR-4727-5p	Colorectal adenocarcinoma	Disrupted
7591	OPCML	hsa-miR-4769-3p	Colorectal adenocarcinoma	Disrupted
7592	OPCML	hsa-miR-141-5p	Colorectal adenocarcinoma	Created
7593	OPCML	hsa-miR-4727-5p	Colorectal adenocarcinoma	Disrupted
7594	OPCML	hsa-miR-4769-3p	Colorectal adenocarcinoma	Disrupted
7661	PARK2	hsa-miR-4783-5p	Colorectal adenocarcinoma	Disrupted
7662	PARK2	hsa-miR-933	Colorectal adenocarcinoma	Disrupted
7663	PARK2	hsa-miR-4783-5p	Colorectal adenocarcinoma	Disrupted
7664	PARK2	hsa-miR-933	Colorectal adenocarcinoma	Disrupted
7665	PARK2	hsa-miR-4783-5p	Colorectal adenocarcinoma	Disrupted
7666	PARK2	hsa-miR-933	Colorectal adenocarcinoma	Disrupted
7866	PHLPP2	hsa-miR-3665	Colorectal adenocarcinoma	Disrupted
7867	PHLPP2	hsa-miR-2861	Colorectal adenocarcinoma	Created
7868	PHLPP2	hsa-miR-1909-3p	Colorectal adenocarcinoma	Created
7869	PHLPP2	hsa-miR-1271-3p	Colorectal adenocarcinoma	Disrupted
7870	PHLPP2	hsa-miR-550a-3-5p	Colorectal adenocarcinoma	Disrupted
7871	PHLPP2	hsa-miR-550a-5p	Colorectal adenocarcinoma	Disrupted
7872	PHLPP2	hsa-miR-764	Colorectal adenocarcinoma	Disrupted
7873	PHLPP2	hsa-miR-214-5p	Colorectal adenocarcinoma	Disrupted
8153	RB1CC1	hsa-miR-656	Colorectal adenocarcinoma	Created
8154	RB1CC1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Created
8155	RB1CC1	hsa-miR-126-5p	Colorectal adenocarcinoma	Created
8156	RB1CC1	hsa-miR-656	Colorectal adenocarcinoma	Created
8157	RB1CC1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Created
8158	RB1CC1	hsa-miR-126-5p	Colorectal adenocarcinoma	Created
8281	RNASEL	hsa-miR-514b-5p	Breast Cancer	Created
8282	RNASEL	hsa-miR-105-5p	Breast Cancer	Created
8283	RNASEL	hsa-miR-513c-5p	Breast Cancer	Created
8284	RNASEL	hsa-miR-371a-5p	Breast Cancer	Created
8285	RNASEL	hsa-miR-373-5p	Breast Cancer	Created
8286	RNASEL	hsa-miR-371b-5p	Breast Cancer	Created
8287	RNASEL	hsa-miR-616-5p	Breast Cancer	Created
8288	RNASEL	hsa-miR-2116-5p	Breast Cancer	Disrupted
8289	RNASEL	hsa-miR-4694-3p	Breast Cancer	Created
8290	RNASEL	hsa-miR-302a-5p	Breast Cancer	Disrupted
8350	RPS6KA6	hsa-miR-21-3p	Colorectal adenocarcinoma	Disrupted
8351	RPS6KA6	hsa-miR-3591-3p	Colorectal adenocarcinoma	Disrupted
8539	SH3GLB1	hsa-miR-802	Colorectal adenocarcinoma	Created
8540	SH3GLB1	hsa-miR-802	Colorectal adenocarcinoma	Created
8541	SH3GLB1	hsa-miR-802	Colorectal adenocarcinoma	Created
8542	SH3GLB1	hsa-miR-802	Colorectal adenocarcinoma	Created
8779	SMAD4	hsa-miR-4783-5p	Colorectal adenocarcinoma	Disrupted
8780	SMAD4	hsa-miR-933	Colorectal adenocarcinoma	Disrupted
8877	SOX11	hsa-miR-3646	Colorectal adenocarcinoma	Created
8878	SOX11	hsa-miR-3662	Colorectal adenocarcinoma	Created
8888	SOX7	hsa-miR-3160-3p	Colorectal adenocarcinoma	Created
8889	SOX7	hsa-miR-3920	Colorectal adenocarcinoma	Created
8890	SOX7	hsa-miR-3670	Colorectal adenocarcinoma	Disrupted
8891	SP100	hsa-miR-4481	Breast Cancer	Created
8892	SP100	hsa-miR-4745-5p	Breast Cancer	Created
8893	SP100	hsa-miR-4758-5p	Breast Cancer	Created
8894	SP100	hsa-miR-4460	Breast Cancer	Disrupted
8895	SP100	hsa-miR-4727-3p	Breast Cancer	Disrupted
8896	SP100	hsa-miR-1245b-3p	Breast Cancer	Created
8995	SPTBN1	hsa-miR-647	Colorectal adenocarcinoma	Created
