	Genesymbol	miRNA	Targetsiteclass	Cancertype	Genetype
31	CHD3	hsa-miR-4773	Disrupted	Melanoma	Tumor Suppressor Gene
32	CHD3	hsa-miR-4773	Disrupted	Melanoma	Tumor Suppressor Gene
33	CHD3	hsa-miR-4773	Disrupted	Melanoma	Tumor Suppressor Gene
34	CSNK1G3	hsa-miR-1272	Created	Prostate	Tumor Suppressor Gene
35	CSNK1G3	hsa-miR-1272	Created	Prostate	Tumor Suppressor Gene
36	CSNK1G3	hsa-miR-1272	Created	Prostate	Tumor Suppressor Gene
37	CSNK1G3	hsa-miR-1272	Created	Prostate	Tumor Suppressor Gene
38	FCRL4	hsa-miR-2054	Created	Lung	Not Classified
39	FCRL4	hsa-miR-380-3p	Created	Lung	Not Classified
40	MYH11	hsa-miR-4649-3p	Disrupted	Prostate	Oncogene
41	MYH11	hsa-miR-4649-3p	Disrupted	Prostate	Oncogene
42	MYH11	hsa-miR-4649-3p	Disrupted	Prostate	Oncogene
43	MYH11	hsa-miR-4649-3p	Disrupted	Prostate	Oncogene
44	MYH11	hsa-miR-573	Created	Prostate	Oncogene
45	MYH11	hsa-miR-573	Created	Prostate	Oncogene
46	MYH11	hsa-miR-3616-5p	Created	Prostate	Oncogene
47	MYH11	hsa-miR-3616-5p	Created	Prostate	Oncogene
48	MYH11	hsa-miR-4795-5p	Created	Prostate	Oncogene
49	MYH11	hsa-miR-595	Created	Prostate	Oncogene
50	MYH11	hsa-miR-4795-5p	Created	Prostate	Oncogene
51	MYH11	hsa-miR-595	Created	Prostate	Oncogene
52	MYH11	hsa-miR-3616-5p	Created	Prostate	Oncogene
53	MYH11	hsa-miR-4795-5p	Created	Prostate	Oncogene
54	MYH11	hsa-miR-573	Created	Prostate	Oncogene
55	MYH11	hsa-miR-595	Created	Prostate	Oncogene
56	MYH11	hsa-miR-3616-5p	Created	Prostate	Oncogene
57	MYH11	hsa-miR-4795-5p	Created	Prostate	Oncogene
58	MYH11	hsa-miR-573	Created	Prostate	Oncogene
59	MYH11	hsa-miR-595	Created	Prostate	Oncogene
60	PIK3C2B	hsa-miR-7-2-3p	Created	Prostate	Not Classified
61	PIK3C2B	hsa-miR-7-1-3p	Created	Prostate	Not Classified
62	PIK3C2B	hsa-miR-495	Created	Prostate	Not Classified
63	PIK3C2B	hsa-miR-5688	Disrupted	Prostate	Not Classified
64	PLCG1	hsa-miR-4722-3p	Disrupted	Prostate	Oncogene
65	PLCG1	hsa-miR-4722-3p	Disrupted	Prostate	Oncogene
66	PLCG1	hsa-miR-1224-3p	Disrupted	Prostate	Oncogene
67	PLCG1	hsa-miR-1224-3p	Disrupted	Prostate	Oncogene
68	PLCG1	hsa-miR-3943	Created	Prostate	Oncogene
69	PLCG1	hsa-miR-3943	Created	Prostate	Oncogene
70	RASGRP1	hsa-miR-3652	Disrupted	Prostate	Not Classified
71	RASGRP1	hsa-miR-3652	Disrupted	Prostate	Not Classified
72	RASGRP1	hsa-miR-4430	Disrupted	Prostate	Not Classified
73	RASGRP1	hsa-miR-4430	Disrupted	Prostate	Not Classified
74	RASGRP1	hsa-miR-494	Created	Prostate	Not Classified
75	RASGRP1	hsa-miR-494	Created	Prostate	Not Classified
76	SMAD2	hsa-miR-3613-3p	Disrupted	Prostate	Tumor Suppressor Gene
77	SMAD2	hsa-miR-3613-3p	Disrupted	Prostate	Tumor Suppressor Gene
78	SMAD2	hsa-miR-3613-3p	Disrupted	Prostate	Tumor Suppressor Gene
79	SMAD2	hsa-miR-1302	Disrupted	Melanoma	Tumor Suppressor Gene
80	SMAD2	hsa-miR-1302	Disrupted	Melanoma	Tumor Suppressor Gene
81	SMAD2	hsa-miR-1302	Disrupted	Melanoma	Tumor Suppressor Gene
82	SMAD2	hsa-miR-4298	Disrupted	Melanoma	Tumor Suppressor Gene
83	SMAD2	hsa-miR-4298	Disrupted	Melanoma	Tumor Suppressor Gene
84	SMAD2	hsa-miR-4298	Disrupted	Melanoma	Tumor Suppressor Gene
85	SMAD2	hsa-miR-3913-5p	Disrupted	Melanoma	Tumor Suppressor Gene
86	SMAD2	hsa-miR-3913-5p	Disrupted	Melanoma	Tumor Suppressor Gene
87	SMAD2	hsa-miR-3913-5p	Disrupted	Melanoma	Tumor Suppressor Gene
88	SMAD2	hsa-miR-3122	Disrupted	Melanoma	Tumor Suppressor Gene
89	SMAD2	hsa-miR-3122	Disrupted	Melanoma	Tumor Suppressor Gene
90	SMAD2	hsa-miR-3122	Disrupted	Melanoma	Tumor Suppressor Gene
91	SMAD2	hsa-miR-4524a-3p	Created	Melanoma	Tumor Suppressor Gene
92	SMAD2	hsa-miR-4524a-3p	Created	Melanoma	Tumor Suppressor Gene
93	SMAD2	hsa-miR-4524a-3p	Created	Melanoma	Tumor Suppressor Gene
94	SMAD2	hsa-miR-3672	Created	Melanoma	Tumor Suppressor Gene
95	SMAD2	hsa-miR-3672	Created	Melanoma	Tumor Suppressor Gene
96	SMAD2	hsa-miR-3672	Created	Melanoma	Tumor Suppressor Gene
97	SYNCRIP	hsa-miR-4642	Created	Small cell lung cancer	Not Classified
98	SYNCRIP	hsa-miR-4642	Created	Small cell lung cancer	Not Classified
99	SYNCRIP	hsa-miR-4642	Created	Small cell lung cancer	Not Classified
100	SYNCRIP	hsa-miR-4642	Created	Small cell lung cancer	Not Classified
101	SYNCRIP	hsa-miR-4642	Created	Small cell lung cancer	Not Classified
102	TCF12	hsa-miR-1909-3p	Created	Lung	Tumor Suppressor Gene
103	TCF12	hsa-miR-1909-3p	Created	Lung	Tumor Suppressor Gene
104	TCF12	hsa-miR-1909-3p	Created	Lung	Tumor Suppressor Gene
105	TCF12	hsa-miR-1909-3p	Created	Lung	Tumor Suppressor Gene
106	TCF12	hsa-miR-1909-3p	Created	Lung	Tumor Suppressor Gene
107	ACSL3	hsa-miR-5004-3p	Created	Colorectal adenocarcinoma	Not Classified
108	ACSL3	hsa-miR-1290	Created	Colorectal adenocarcinoma	Not Classified
109	ACSL3	hsa-miR-876-5p	Created	Colorectal adenocarcinoma	Not Classified
110	ACSL3	hsa-miR-3167	Created	Colorectal adenocarcinoma	Not Classified
111	ACSL3	hsa-miR-129-5p	Disrupted	Colorectal adenocarcinoma	Not Classified
112	ACSL3	hsa-miR-5004-3p	Created	Colorectal adenocarcinoma	Not Classified
113	ACSL3	hsa-miR-1290	Created	Colorectal adenocarcinoma	Not Classified
114	ACSL3	hsa-miR-876-5p	Created	Colorectal adenocarcinoma	Not Classified
115	ACSL3	hsa-miR-3167	Created	Colorectal adenocarcinoma	Not Classified
116	ACSL3	hsa-miR-129-5p	Disrupted	Colorectal adenocarcinoma	Not Classified
117	ACSL3	hsa-miR-129-5p	Created	Colorectal adenocarcinoma	Not Classified
118	ACSL3	hsa-miR-129-5p	Created	Colorectal adenocarcinoma	Not Classified
119	ADCY1	hsa-miR-193b-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
120	ADCY1	hsa-miR-3170	Disrupted	Colorectal adenocarcinoma	Oncogene
121	AFF4	hsa-miR-4257	Disrupted	Breast Cancer	Not Classified
122	AFF4	hsa-miR-548an	Created	Breast Cancer	Not Classified
123	AFF4	hsa-miR-361-5p	Disrupted	Breast Cancer	Not Classified
124	AFF4	hsa-miR-2115-3p	Disrupted	Breast Cancer	Not Classified
125	AHR	hsa-miR-522-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
126	AHR	hsa-miR-224-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
127	AHR	hsa-miR-4803	Created	Colorectal adenocarcinoma	Oncogene
128	AHR	hsa-miR-7-1-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
129	AHR	hsa-miR-7-2-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
130	AHR	hsa-miR-495	Disrupted	Colorectal adenocarcinoma	Oncogene
131	AHR	hsa-miR-5688	Disrupted	Colorectal adenocarcinoma	Oncogene
132	ARFGEF2	hsa-miR-455-3p	Created	Breast Cancer	Oncogene
133	ARFGEF2	hsa-miR-105-5p	Disrupted	Breast Cancer	Oncogene
134	BCL11A	hsa-miR-5680	Created	Breast Cancer	Oncogene
135	BCL11A	hsa-miR-548c-3p	Disrupted	Breast Cancer	Oncogene
136	BCL11A	hsa-miR-5680	Created	Breast Cancer	Oncogene
137	BCL11A	hsa-miR-548c-3p	Disrupted	Breast Cancer	Oncogene
138	BRWD1	hsa-miR-1305	Disrupted	Colorectal adenocarcinoma	Oncogene
139	BRWD1	hsa-miR-5003-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
140	CRNKL1	hsa-miR-361-5p	Created	Myeloid leukemia	Oncogene
141	CRNKL1	hsa-miR-374a-3p	Created	Myeloid leukemia	Oncogene
142	CRNKL1	hsa-miR-4494	Created	Myeloid leukemia	Oncogene
143	CRNKL1	hsa-miR-499b-5p	Created	Myeloid leukemia	Oncogene
144	CRNKL1	hsa-miR-2115-3p	Created	Myeloid leukemia	Oncogene
145	CRNKL1	hsa-miR-126-5p	Disrupted	Myeloid leukemia	Oncogene
146	CRNKL1	hsa-miR-151a-3p	Disrupted	Myeloid leukemia	Oncogene
147	CTCF	hsa-miR-1298	Created	Breast Cancer	Tumor Suppressor Gene
148	CTCF	hsa-miR-335-3p	Created	Breast Cancer	Tumor Suppressor Gene
149	CTCF	hsa-miR-1298	Created	Breast Cancer	Tumor Suppressor Gene
150	CTCF	hsa-miR-335-3p	Created	Breast Cancer	Tumor Suppressor Gene
151	CYLD	hsa-miR-5683	Created	Breast Cancer	Tumor Suppressor Gene
152	CYLD	hsa-miR-3942-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
153	CYLD	hsa-miR-1245b-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
154	CYLD	hsa-miR-5100	Disrupted	Breast Cancer	Tumor Suppressor Gene
155	CYLD	hsa-miR-5683	Created	Breast Cancer	Tumor Suppressor Gene
156	CYLD	hsa-miR-3942-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
157	CYLD	hsa-miR-1245b-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
158	CYLD	hsa-miR-5100	Disrupted	Breast Cancer	Tumor Suppressor Gene
159	CYLD	hsa-miR-5683	Created	Breast Cancer	Tumor Suppressor Gene
160	CYLD	hsa-miR-3942-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
161	CYLD	hsa-miR-1245b-3p	Disrupted	Breast Cancer	Tumor Suppressor Gene
162	CYLD	hsa-miR-5100	Disrupted	Breast Cancer	Tumor Suppressor Gene
163	EGFR	hsa-miR-4668-3p	Created	Myeloid leukemia	Oncogene
164	EGFR	hsa-miR-4722-3p	Disrupted	Colorectal adenocarcinoma	Oncogene
165	EIF1AX	hsa-miR-4489	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
166	EIF1AX	hsa-miR-4640-5p	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
167	EIF1AX	hsa-miR-4726-5p	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
168	EP300	hsa-miR-5194	Created	Breast Cancer	Tumor Suppressor Gene
169	EP300	hsa-miR-1914-3p	Created	Breast Cancer	Tumor Suppressor Gene
170	EP300	hsa-miR-423-5p	Created	Breast Cancer	Tumor Suppressor Gene
171	EP300	hsa-miR-3184-5p	Created	Breast Cancer	Tumor Suppressor Gene
172	EP300	hsa-miR-4481	Disrupted	Breast Cancer	Tumor Suppressor Gene
173	EP300	hsa-miR-4745-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
174	EP300	hsa-miR-4447	Disrupted	Breast Cancer	Tumor Suppressor Gene
175	EP300	hsa-miR-4472	Disrupted	Breast Cancer	Tumor Suppressor Gene
176	EP300	hsa-miR-4758-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
177	EP300	hsa-miR-4447	Created	Breast Cancer	Tumor Suppressor Gene
178	EP300	hsa-miR-4472	Created	Breast Cancer	Tumor Suppressor Gene
179	EP300	hsa-miR-92a-2-5p	Created	Breast Cancer	Tumor Suppressor Gene
180	EP300	hsa-miR-1293	Created	Breast Cancer	Tumor Suppressor Gene
181	EP300	hsa-miR-4483	Created	Breast Cancer	Tumor Suppressor Gene
182	EP300	hsa-miR-363-5p	Created	Breast Cancer	Tumor Suppressor Gene
183	EP300	hsa-miR-4481	Disrupted	Breast Cancer	Tumor Suppressor Gene
184	EP300	hsa-miR-4745-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
185	EP300	hsa-miR-4758-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
186	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
187	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
188	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
189	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
190	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
191	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
192	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
193	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
194	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
195	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
196	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
197	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
198	FGFR2	hsa-miR-4302	Created	Colorectal adenocarcinoma	Oncogene
199	FGFR2	hsa-miR-3664-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
200	FUBP1	hsa-miR-3148	Disrupted	Breast Cancer	Tumor Suppressor Gene
201	FUBP1	hsa-miR-3662	Created	Breast Cancer	Tumor Suppressor Gene
202	G3BP2	hsa-miR-4672	Created	Breast Cancer	Oncogene
203	G3BP2	hsa-miR-3941	Created	Breast Cancer	Oncogene
204	G3BP2	hsa-miR-466	Created	Breast Cancer	Oncogene
205	G3BP2	hsa-miR-4801	Created	Breast Cancer	Oncogene
206	G3BP2	hsa-miR-4731-3p	Created	Breast Cancer	Oncogene
207	G3BP2	hsa-miR-302a-5p	Disrupted	Breast Cancer	Oncogene
208	G3BP2	hsa-miR-4672	Created	Breast Cancer	Oncogene
209	G3BP2	hsa-miR-3941	Created	Breast Cancer	Oncogene
210	G3BP2	hsa-miR-466	Created	Breast Cancer	Oncogene
211	G3BP2	hsa-miR-4801	Created	Breast Cancer	Oncogene
212	G3BP2	hsa-miR-4731-3p	Created	Breast Cancer	Oncogene
213	G3BP2	hsa-miR-302a-5p	Disrupted	Breast Cancer	Oncogene
214	G3BP2	hsa-miR-4672	Created	Breast Cancer	Oncogene
215	G3BP2	hsa-miR-3941	Created	Breast Cancer	Oncogene
216	G3BP2	hsa-miR-466	Created	Breast Cancer	Oncogene
217	G3BP2	hsa-miR-4801	Created	Breast Cancer	Oncogene
218	G3BP2	hsa-miR-4731-3p	Created	Breast Cancer	Oncogene
219	G3BP2	hsa-miR-302a-5p	Disrupted	Breast Cancer	Oncogene
220	KALRN	hsa-miR-5585-3p	Created	Myeloid leukemia	Oncogene
221	KALRN	hsa-miR-4790-3p	Disrupted	Myeloid leukemia	Oncogene
222	KALRN	hsa-miR-5585-3p	Created	Myeloid leukemia	Oncogene
223	KALRN	hsa-miR-4790-3p	Disrupted	Myeloid leukemia	Oncogene
224	LRP6	hsa-miR-548aw	Disrupted	Breast Cancer	Oncogene
225	LRP6	hsa-miR-548aj-5p	Disrupted	Breast Cancer	Oncogene
226	LRP6	hsa-miR-548g-5p	Disrupted	Breast Cancer	Oncogene
227	LRP6	hsa-miR-548x-5p	Disrupted	Breast Cancer	Oncogene
228	LRP6	hsa-miR-551b-5p	Disrupted	Breast Cancer	Oncogene
229	MLH3	hsa-miR-495	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
230	MLH3	hsa-miR-5688	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
231	MLH3	hsa-miR-495	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
232	MLH3	hsa-miR-5688	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
233	MSR1	hsa-miR-3136-3p	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
234	MSR1	hsa-miR-3136-3p	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
235	MSR1	hsa-miR-4433-5p	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
236	MSR1	hsa-miR-1260a	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
237	MSR1	hsa-miR-1260b	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
238	MSR1	hsa-miR-1280	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
239	MSR1	hsa-miR-1224-3p	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
240	MSR1	hsa-miR-4258	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
241	NF2	hsa-miR-142-5p	Created	Breast Cancer	Tumor Suppressor Gene
242	NF2	hsa-miR-5590-3p	Created	Breast Cancer	Tumor Suppressor Gene
243	NF2	hsa-miR-340-5p	Created	Breast Cancer	Tumor Suppressor Gene
244	NF2	hsa-miR-142-5p	Created	Breast Cancer	Tumor Suppressor Gene
245	NF2	hsa-miR-5590-3p	Created	Breast Cancer	Tumor Suppressor Gene
246	NF2	hsa-miR-340-5p	Created	Breast Cancer	Tumor Suppressor Gene
247	NTRK2	hsa-miR-541-5p	Disrupted	Breast Cancer	Oncogene
248	NTRK2	hsa-miR-3646	Created	Breast Cancer	Oncogene
249	NTRK2	hsa-miR-541-5p	Disrupted	Breast Cancer	Oncogene
250	NTRK2	hsa-miR-3646	Created	Breast Cancer	Oncogene
251	NTRK2	hsa-miR-1324	Created	Colorectal adenocarcinoma	Oncogene
252	NTRK2	hsa-miR-3942-3p	Created	Colorectal adenocarcinoma	Oncogene
253	NTRK2	hsa-miR-30d-3p	Created	Colorectal adenocarcinoma	Oncogene
254	NTRK2	hsa-miR-30a-3p	Created	Colorectal adenocarcinoma	Oncogene
255	NTRK2	hsa-miR-30e-3p	Created	Colorectal adenocarcinoma	Oncogene
256	NTRK2	hsa-miR-1324	Created	Colorectal adenocarcinoma	Oncogene
257	NTRK2	hsa-miR-3942-3p	Created	Colorectal adenocarcinoma	Oncogene
258	NTRK2	hsa-miR-30d-3p	Created	Colorectal adenocarcinoma	Oncogene
259	NTRK2	hsa-miR-30a-3p	Created	Colorectal adenocarcinoma	Oncogene
260	NTRK2	hsa-miR-30e-3p	Created	Colorectal adenocarcinoma	Oncogene
261	PIK3R3	hsa-miR-323a-3p	Disrupted	Breast Cancer	Oncogene
262	PIK3R3	hsa-miR-603	Created	Breast Cancer	Oncogene
263	PIK3R3	hsa-miR-323a-3p	Disrupted	Breast Cancer	Oncogene
264	PIK3R3	hsa-miR-603	Created	Breast Cancer	Oncogene
265	PTGS1	hsa-miR-4778-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
266	PTGS1	hsa-miR-3664-5p	Created	Breast Cancer	Tumor Suppressor Gene
267	PTGS1	hsa-miR-4778-5p	Disrupted	Breast Cancer	Tumor Suppressor Gene
268	PTGS1	hsa-miR-3664-5p	Created	Breast Cancer	Tumor Suppressor Gene
269	SCAI	hsa-miR-4698	Disrupted	Breast Cancer	Oncogene
270	SCAI	hsa-miR-4662a-3p	Created	Breast Cancer	Oncogene
271	SCAI	hsa-miR-3121-3p	Disrupted	Breast Cancer	Oncogene
272	SCAI	hsa-miR-616-5p	Disrupted	Breast Cancer	Oncogene
273	SCAI	hsa-miR-371b-5p	Disrupted	Breast Cancer	Oncogene
274	SCAI	hsa-miR-373-5p	Disrupted	Breast Cancer	Oncogene
275	SCAI	hsa-miR-4698	Disrupted	Breast Cancer	Oncogene
276	SCAI	hsa-miR-4662a-3p	Created	Breast Cancer	Oncogene
277	SCAI	hsa-miR-3121-3p	Disrupted	Breast Cancer	Oncogene
278	SCAI	hsa-miR-616-5p	Disrupted	Breast Cancer	Oncogene
279	SCAI	hsa-miR-371b-5p	Disrupted	Breast Cancer	Oncogene
280	SCAI	hsa-miR-373-5p	Disrupted	Breast Cancer	Oncogene
281	SCAI	hsa-miR-216b	Created	Colorectal adenocarcinoma	Oncogene
282	SCAI	hsa-miR-3675-3p	Created	Colorectal adenocarcinoma	Oncogene
283	SCAI	hsa-miR-4668-3p	Created	Colorectal adenocarcinoma	Oncogene
284	SCAI	hsa-miR-216b	Created	Colorectal adenocarcinoma	Oncogene
285	SCAI	hsa-miR-3675-3p	Created	Colorectal adenocarcinoma	Oncogene
286	SCAI	hsa-miR-4668-3p	Created	Colorectal adenocarcinoma	Oncogene
287	SMAD4	hsa-miR-4783-5p	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
288	SMAD4	hsa-miR-933	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
289	SMC1A	hsa-miR-218-2-3p	Disrupted	Breast Cancer	Oncogene
290	SMC1A	hsa-miR-182-3p	Disrupted	Breast Cancer	Oncogene
291	SMC1A	hsa-miR-4474-3p	Created	Breast Cancer	Oncogene
292	SMC1A	hsa-miR-3688-5p	Created	Breast Cancer	Oncogene
293	SMC1A	hsa-miR-183-5p	Disrupted	Breast Cancer	Oncogene
294	SMC1A	hsa-miR-4691-3p	Created	Colorectal adenocarcinoma	Oncogene
295	SMC1A	hsa-miR-1226-3p	Created	Colorectal adenocarcinoma	Oncogene
296	SMC1A	hsa-miR-3591-3p	Created	Colorectal adenocarcinoma	Oncogene
297	SMC1A	hsa-miR-21-3p	Created	Colorectal adenocarcinoma	Oncogene
298	SOX17	hsa-miR-3192	Created	Acute myeloid leukemia	Oncogene
299	SOX17	hsa-miR-920	Created	Acute myeloid leukemia	Oncogene
300	SOX17	hsa-miR-4300	Created	Acute myeloid leukemia	Oncogene
301	SOX17	hsa-miR-5591-5p	Created	Acute myeloid leukemia	Oncogene
302	SOX17	hsa-miR-637	Disrupted	Acute myeloid leukemia	Oncogene
303	SOX17	hsa-miR-4697-5p	Disrupted	Acute myeloid leukemia	Oncogene
304	SOX17	hsa-miR-4488	Disrupted	Acute myeloid leukemia	Oncogene
305	SOX17	hsa-miR-486-3p	Disrupted	Acute myeloid leukemia	Oncogene
306	SOX17	hsa-miR-4736	Disrupted	Acute myeloid leukemia	Oncogene
307	STARD13	hsa-miR-619	Created	Colorectal adenocarcinoma	Oncogene
308	STARD13	hsa-miR-4254	Created	Colorectal adenocarcinoma	Oncogene
309	STARD13	hsa-miR-432-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
310	STARD13	hsa-miR-890	Disrupted	Colorectal adenocarcinoma	Oncogene
311	STARD13	hsa-miR-619	Created	Colorectal adenocarcinoma	Oncogene
312	STARD13	hsa-miR-4254	Created	Colorectal adenocarcinoma	Oncogene
313	STARD13	hsa-miR-432-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
314	STARD13	hsa-miR-890	Disrupted	Colorectal adenocarcinoma	Oncogene
315	STARD13	hsa-miR-619	Created	Colorectal adenocarcinoma	Oncogene
316	STARD13	hsa-miR-4254	Created	Colorectal adenocarcinoma	Oncogene
317	STARD13	hsa-miR-432-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
318	STARD13	hsa-miR-890	Disrupted	Colorectal adenocarcinoma	Oncogene
319	STARD13	hsa-miR-619	Created	Colorectal adenocarcinoma	Oncogene
320	STARD13	hsa-miR-4254	Created	Colorectal adenocarcinoma	Oncogene
321	STARD13	hsa-miR-432-5p	Disrupted	Colorectal adenocarcinoma	Oncogene
322	STARD13	hsa-miR-890	Disrupted	Colorectal adenocarcinoma	Oncogene
323	SUZ12	hsa-miR-16-1-3p	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
324	SUZ12	hsa-miR-4302	Disrupted	Colorectal adenocarcinoma	Tumor Suppressor Gene
325	SVEP1	hsa-miR-224-3p	Disrupted	Colorectal adenocarcinoma	Not Classified
326	SVEP1	hsa-miR-522-3p	Disrupted	Colorectal adenocarcinoma	Not Classified
327	SVEP1	hsa-miR-3662	Disrupted	Colorectal adenocarcinoma	Not Classified
328	SVEP1	hsa-miR-3163	Disrupted	Colorectal adenocarcinoma	Not Classified
329	SYNCRIP	hsa-miR-4637	Disrupted	Colorectal adenocarcinoma	Not Classified
330	SYNCRIP	hsa-miR-4637	Disrupted	Colorectal adenocarcinoma	Not Classified
331	SYNCRIP	hsa-miR-4637	Disrupted	Colorectal adenocarcinoma	Not Classified
332	SYNCRIP	hsa-miR-4637	Disrupted	Colorectal adenocarcinoma	Not Classified
333	SYNCRIP	hsa-miR-4637	Disrupted	Colorectal adenocarcinoma	Not Classified
334	TP53	hsa-miR-3148	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
335	TP53	hsa-miR-3148	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
336	TP53	hsa-miR-3148	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
337	TP53	hsa-miR-3148	Created	Colorectal adenocarcinoma	Tumor Suppressor Gene
338	ZMYM2	hsa-miR-340-5p	Created	Acute myeloid leukemia	Tumor Suppressor Gene
