	Genesymbol	miRNA	Cancertype	Targetsiteclass
7235	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7236	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7237	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7238	MTUS1	hsa-miR-3686	Breast Cancer	Created
7239	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7240	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7241	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7401	NF2	hsa-miR-142-5p	Breast Cancer	Created
7402	NF2	hsa-miR-5590-3p	Breast Cancer	Created
7403	NF2	hsa-miR-340-5p	Breast Cancer	Created
7404	NF2	hsa-miR-142-5p	Breast Cancer	Created
7405	NF2	hsa-miR-5590-3p	Breast Cancer	Created
7406	NF2	hsa-miR-340-5p	Breast Cancer	Created
7866	PHLPP2	hsa-miR-3665	Colorectal adenocarcinoma	Disrupted
7867	PHLPP2	hsa-miR-2861	Colorectal adenocarcinoma	Created
7868	PHLPP2	hsa-miR-1909-3p	Colorectal adenocarcinoma	Created
7869	PHLPP2	hsa-miR-1271-3p	Colorectal adenocarcinoma	Disrupted
7870	PHLPP2	hsa-miR-550a-3-5p	Colorectal adenocarcinoma	Disrupted
7871	PHLPP2	hsa-miR-550a-5p	Colorectal adenocarcinoma	Disrupted
7872	PHLPP2	hsa-miR-764	Colorectal adenocarcinoma	Disrupted
7873	PHLPP2	hsa-miR-214-5p	Colorectal adenocarcinoma	Disrupted
8153	RB1CC1	hsa-miR-656	Colorectal adenocarcinoma	Created
8154	RB1CC1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Created
8155	RB1CC1	hsa-miR-126-5p	Colorectal adenocarcinoma	Created
8156	RB1CC1	hsa-miR-656	Colorectal adenocarcinoma	Created
8157	RB1CC1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Created
8158	RB1CC1	hsa-miR-126-5p	Colorectal adenocarcinoma	Created
9141	STARD13	hsa-miR-619	Colorectal adenocarcinoma	Created
9142	STARD13	hsa-miR-4254	Colorectal adenocarcinoma	Created
9143	STARD13	hsa-miR-432-5p	Colorectal adenocarcinoma	Disrupted
9144	STARD13	hsa-miR-890	Colorectal adenocarcinoma	Disrupted
9145	STARD13	hsa-miR-619	Colorectal adenocarcinoma	Created
9146	STARD13	hsa-miR-4254	Colorectal adenocarcinoma	Created
9147	STARD13	hsa-miR-432-5p	Colorectal adenocarcinoma	Disrupted
9148	STARD13	hsa-miR-890	Colorectal adenocarcinoma	Disrupted
9149	STARD13	hsa-miR-619	Colorectal adenocarcinoma	Created
9150	STARD13	hsa-miR-4254	Colorectal adenocarcinoma	Created
9151	STARD13	hsa-miR-432-5p	Colorectal adenocarcinoma	Disrupted
9152	STARD13	hsa-miR-890	Colorectal adenocarcinoma	Disrupted
9153	STARD13	hsa-miR-619	Colorectal adenocarcinoma	Created
9154	STARD13	hsa-miR-4254	Colorectal adenocarcinoma	Created
9155	STARD13	hsa-miR-432-5p	Colorectal adenocarcinoma	Disrupted
9156	STARD13	hsa-miR-890	Colorectal adenocarcinoma	Disrupted
9309	TEP1	hsa-miR-3613-3p	Colorectal adenocarcinoma	Disrupted
9487	TP53	hsa-miR-3148	Colorectal adenocarcinoma	Created
9488	TP53	hsa-miR-3148	Colorectal adenocarcinoma	Created
9489	TP53	hsa-miR-3148	Colorectal adenocarcinoma	Created
9490	TP53	hsa-miR-3148	Colorectal adenocarcinoma	Created
9883	VWA5A	hsa-miR-1305	Colorectal adenocarcinoma	Created
9884	VWA5A	hsa-miR-421	Colorectal adenocarcinoma	Created
9885	VWA5A	hsa-miR-4310	Colorectal adenocarcinoma	Disrupted
9886	VWA5A	hsa-miR-4291	Colorectal adenocarcinoma	Disrupted
10048	ZMYND11	hsa-miR-548t-5p	Colorectal adenocarcinoma	Disrupted
10049	ZMYND11	hsa-miR-548t-5p	Colorectal adenocarcinoma	Disrupted
10050	ZMYND11	hsa-miR-548t-5p	Colorectal adenocarcinoma	Disrupted
10051	ZMYND11	hsa-miR-548t-5p	Colorectal adenocarcinoma	Disrupted
10539	C10orf99	hsa-miR-1292	T-cell ALL	Created
10540	C10orf99	hsa-miR-4471	T-cell ALL	Created
10541	C10orf99	hsa-miR-3144-5p	T-cell ALL	Disrupted
10542	C10orf99	hsa-miR-3191-3p	T-cell ALL	Disrupted
10543	C10orf99	hsa-miR-4652-5p	T-cell ALL	Disrupted
10544	C10orf99	hsa-miR-2110	T-cell ALL	Disrupted
10545	C10orf99	hsa-miR-450a-3p	T-cell ALL	Disrupted
10546	C10orf99	hsa-miR-3150a-3p	T-cell ALL	Disrupted
10694	CREBL2	hsa-miR-543	Medulloblastoma	Created
10695	CREBL2	hsa-miR-2117	Medulloblastoma	Disrupted
10754	CYLD	hsa-miR-129-1-3p	Medulloblastoma	Disrupted
10755	CYLD	hsa-miR-129-2-3p	Medulloblastoma	Disrupted
10756	CYLD	hsa-miR-938	Medulloblastoma	Disrupted
10757	CYLD	hsa-miR-129-1-3p	Medulloblastoma	Disrupted
10758	CYLD	hsa-miR-129-2-3p	Medulloblastoma	Disrupted
10759	CYLD	hsa-miR-938	Medulloblastoma	Disrupted
10760	CYLD	hsa-miR-129-1-3p	Medulloblastoma	Disrupted
10761	CYLD	hsa-miR-129-2-3p	Medulloblastoma	Disrupted
10762	CYLD	hsa-miR-938	Medulloblastoma	Disrupted
11608	PLK2	hsa-miR-95	Medulloblastoma	Created
11609	PLK2	hsa-miR-4644	Medulloblastoma	Created
11610	PLK2	hsa-miR-185-5p	Medulloblastoma	Created
11611	PLK2	hsa-miR-4306	Medulloblastoma	Created
11612	PLK2	hsa-miR-421	Medulloblastoma	Disrupted
11613	PLK2	hsa-miR-4709-5p	Medulloblastoma	Disrupted
11614	PLK2	hsa-miR-95	Medulloblastoma	Created
11615	PLK2	hsa-miR-4644	Medulloblastoma	Created
11616	PLK2	hsa-miR-185-5p	Medulloblastoma	Created
11617	PLK2	hsa-miR-4306	Medulloblastoma	Created
11618	PLK2	hsa-miR-421	Medulloblastoma	Disrupted
11619	PLK2	hsa-miR-4709-5p	Medulloblastoma	Disrupted
11819	RPS6KA2	hsa-miR-337-5p	Hepatocellular carcinoma	Disrupted
11820	RPS6KA2	hsa-miR-4496	Hepatocellular carcinoma	Disrupted
11821	RPS6KA2	hsa-miR-337-5p	Hepatocellular carcinoma	Disrupted
11822	RPS6KA2	hsa-miR-4496	Hepatocellular carcinoma	Disrupted
12205	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12206	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12207	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12208	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12209	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12210	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12211	NF2	hsa-miR-1273d	ProstateCancer(OICR,CA)	Created
12220	EPHB2	hsa-miR-181a-3p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
12221	EPHB2	hsa-miR-181a-3p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
12223	TP73	hsa-miR-4323	LiverCancer(NCC,JP)	Created
12580	MUC1	hsa-miR-3650	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
12581	MUC1	hsa-miR-3650	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
12582	MUC1	hsa-miR-3650	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
12688	RASSF5	hsa-miR-502-3p	LiverCancer(NCC,JP)	Disrupted
12770	RBL2	hsa-miR-1224-3p	ColonAdenocarcinoma(TCGA,US)	Created
12863	DMP1	hsa-miR-4725-5p	LiverCancer(RIKEN,JP)	Created
12864	DMP1	hsa-miR-4725-5p	LiverCancer(RIKEN,JP)	Created
12998	PML	hsa-miR-4792	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
13028	TP53	hsa-miR-4424	LiverCancer(NCC,JP)	Created
13029	TP53	hsa-miR-4424	LiverCancer(NCC,JP)	Created
13043	PML	hsa-miR-4792	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
13302	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
13355	VHL	hsa-miR-3660	LiverCancer(RIKEN,JP)	Created
13356	VHL	hsa-miR-3660	LiverCancer(RIKEN,JP)	Created
13783	DMP1	hsa-miR-504	LiverCancer(RIKEN,JP)	Created
13784	DMP1	hsa-miR-504	LiverCancer(RIKEN,JP)	Created
14152	EPHB2	hsa-miR-587	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
14153	EPHB2	hsa-miR-587	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
14227	ERRFI1	hsa-miR-556-3p	LiverCancer(RIKEN,JP)	Created
14419	XAF1	hsa-miR-4641	ProstateCancer(OICR,CA)	Created
14420	XAF1	hsa-miR-4641	ProstateCancer(OICR,CA)	Created
14553	VHL	hsa-miR-4526	LiverCancer(RIKEN,JP)	Created
14554	VHL	hsa-miR-4526	LiverCancer(RIKEN,JP)	Created
14596	MAFB	hsa-miR-4678	LiverCancer(RIKEN,JP)	Created
14623	RASSF2	hsa-miR-379-5p	LiverCancer(NCC,JP)	Created
14624	RASSF2	hsa-miR-379-5p	LiverCancer(NCC,JP)	Created
14794	MUC1	hsa-miR-4455	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
14795	MUC1	hsa-miR-4455	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
14796	MUC1	hsa-miR-4455	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
14841	RBL2	hsa-miR-532-3p	ColonAdenocarcinoma(TCGA,US)	Created
14872	RBL2	hsa-miR-1260a	ColonAdenocarcinoma(TCGA,US)	Created
15256	MAF	hsa-miR-3613-3p	LiverCancer(NCC,JP)	Created
15654	TEP1	hsa-miR-5095	ProstateCancer(OICR,CA)	Created
15753	PHLPP1	hsa-miR-4636	LiverCancer(RIKEN,JP)	Created
16036	CDKN2A	hsa-miR-1973	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
16264	CDKN2A	hsa-miR-1973	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
16493	RASSF5	hsa-miR-487a	LiverCancer(NCC,JP)	Created
16534	RASSF5	hsa-miR-487a	LiverCancer(NCC,JP)	Created
16535	RASSF5	hsa-miR-487a	LiverCancer(NCC,JP)	Created
16748	CDKN2A	hsa-miR-125a-3p	BladderUrothelialCarcinoma(TCGA,US)	Created
16805	ATM	hsa-miR-1224-3p	ProstateCancer(OICR,CA)	Created
16887	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
16888	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
16889	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
16890	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
16904	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
16919	HPGD	hsa-miR-3616-5p	LiverCancer(RIKEN,JP)	Created
17596	TP53	hsa-miR-652-5p	BladderUrothelialCarcinoma(TCGA,US)	Created
17597	TP53	hsa-miR-652-5p	BladderUrothelialCarcinoma(TCGA,US)	Created
17598	TP53	hsa-miR-652-5p	BladderUrothelialCarcinoma(TCGA,US)	Created
17599	TP53	hsa-miR-652-5p	BladderUrothelialCarcinoma(TCGA,US)	Created
18450	FHIT	hsa-miR-193a-5p	LiverCancer(NCC,JP)	Created
18568	RASSF5	hsa-miR-154-3p	LiverCancer(NCC,JP)	Created
19050	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19051	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19052	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19053	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19054	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19055	HPGD	hsa-miR-548ao-5p	LiverCancer(RIKEN,JP)	Created
19566	XAF1	hsa-miR-3940-5p	ProstateCancer(OICR,CA)	Created
19567	XAF1	hsa-miR-3940-5p	ProstateCancer(OICR,CA)	Created
19580	CDKN2B	hsa-miR-4286	BladderUrothelialCarcinoma(TCGA,US)	Created
19718	RASSF5	hsa-miR-154-3p	LiverCancer(NCC,JP)	Created
19719	RASSF5	hsa-miR-154-3p	LiverCancer(NCC,JP)	Created
19970	PLEKHG2	hsa-miR-1273g-3p	ProstateCancer(OICR,CA)	Created
20140	FHIT	hsa-miR-193a-5p	LiverCancer(NCC,JP)	Created
20641	MSH2	hsa-miR-5583-5p	LiverCancer(NCC,JP)	Created
20934	CTCF	hsa-miR-4755-5p	BreastCarcinoma(WTSI,UK)	Created
20935	CTCF	hsa-miR-4755-5p	BreastCarcinoma(WTSI,UK)	Created
20943	MUC1	hsa-miR-545-5p	LiverCancer(NCC,JP)	Created
20976	TET2	hsa-miR-423-3p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
21271	PML	hsa-miR-4316	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
21656	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
21657	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
21658	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
21659	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
21660	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
21661	NF2	hsa-miR-4666b	LiverCancer(NCC,JP)	Created
22329	PDCD4	hsa-miR-3937	ProstateCancer(OICR,CA)	Created
22330	PDCD4	hsa-miR-3937	ProstateCancer(OICR,CA)	Created
22331	PDCD4	hsa-miR-3937	ProstateCancer(OICR,CA)	Created
22383	SUSD2	hsa-miR-4688	LiverCancer(NCC,JP)	Created
22705	TP53	hsa-miR-624-3p	LiverCancer(NCC,JP)	Created
22706	TP53	hsa-miR-624-3p	LiverCancer(NCC,JP)	Created
22857	DPH1	hsa-miR-1294	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
22914	FHIT	hsa-miR-3196	LiverCancer(NCC,JP)	Disrupted
23004	TP63	hsa-miR-4666b	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
23005	TP63	hsa-miR-4666b	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
23716	ING1	hsa-miR-299-5p	LiverCancer(NCC,JP)	Created
23717	ING1	hsa-miR-299-5p	LiverCancer(NCC,JP)	Created
23718	ING1	hsa-miR-299-5p	LiverCancer(NCC,JP)	Created
23719	ING1	hsa-miR-299-5p	LiverCancer(NCC,JP)	Created
23854	MUC1	hsa-miR-609	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
23855	MUC1	hsa-miR-609	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
23856	MUC1	hsa-miR-609	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
24232	PML	hsa-miR-4689	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
24382	PML	hsa-miR-4689	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
24390	XAF1	hsa-miR-4312	ProstateCancer(OICR,CA)	Created
24391	XAF1	hsa-miR-4312	ProstateCancer(OICR,CA)	Created
24395	MTSS1	hsa-miR-505-3p	LiverCancer(RIKEN,JP)	Created
24581	TEP1	hsa-miR-1827	ProstateCancer(OICR,CA)	Created
24717	RBL2	hsa-miR-16-2-3p	ColonAdenocarcinoma(TCGA,US)	Created
24824	FHIT	hsa-miR-3196	LiverCancer(NCC,JP)	Disrupted
25228	XAF1	hsa-miR-452-3p	LiverCancer(NCC,JP)	Created
25229	XAF1	hsa-miR-452-3p	LiverCancer(NCC,JP)	Created
25232	CDKN2A	hsa-miR-3937	LiverCancer(NCC,JP)	Created
25473	MUC1	hsa-miR-599	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
25474	MUC1	hsa-miR-599	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
25475	MUC1	hsa-miR-599	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
25583	TP53	hsa-miR-1178	LiverCancer(NCC,JP)	Created
25584	TP53	hsa-miR-1178	LiverCancer(NCC,JP)	Created
25637	TEP1	hsa-miR-4419b	ProstateCancer(OICR,CA)	Created
25740	CDKN2A	hsa-miR-4671-3p	LiverCancer(NCC,JP)	Created
25960	NKX3-1	hsa-miR-5706	LiverCancer(RIKEN,JP)	Created
25961	NKX3-1	hsa-miR-5706	LiverCancer(RIKEN,JP)	Created
26275	PML	hsa-miR-4316	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
26380	TP53	hsa-miR-624-3p	LiverCancer(NCC,JP)	Created
26381	TP53	hsa-miR-624-3p	LiverCancer(NCC,JP)	Created
26491	STARD13	hsa-miR-3150a-3p	LiverCancer(RIKEN,JP)	Created
26492	STARD13	hsa-miR-3150a-3p	LiverCancer(RIKEN,JP)	Created
26493	STARD13	hsa-miR-3150a-3p	LiverCancer(RIKEN,JP)	Created
26494	STARD13	hsa-miR-3150a-3p	LiverCancer(RIKEN,JP)	Created
26554	RASSF5	hsa-miR-20a-3p	LiverCancer(NCC,JP)	Created
26555	RASSF5	hsa-miR-20a-3p	LiverCancer(NCC,JP)	Created
26690	HPGD	hsa-miR-409-3p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
26921	NF1	hsa-miR-10b-3p	LiverCancer(RIKEN,JP)	Created
26922	NF1	hsa-miR-10b-3p	LiverCancer(RIKEN,JP)	Created
27003	TP53	hsa-miR-1178	LiverCancer(NCC,JP)	Created
27004	TP53	hsa-miR-1178	LiverCancer(NCC,JP)	Created
27040	CDKN2D	hsa-miR-4649-3p	LiverCancer(NCC,JP)	Disrupted
27041	CDKN2D	hsa-miR-4649-3p	LiverCancer(NCC,JP)	Disrupted
27086	PDCD4	hsa-miR-3646	LiverCancer(NCC,JP)	Created
27087	PDCD4	hsa-miR-3646	LiverCancer(NCC,JP)	Created
27088	PDCD4	hsa-miR-3646	LiverCancer(NCC,JP)	Created
27217	CDKN2A	hsa-miR-510	LiverCancer(NCC,JP)	Created
27227	PML	hsa-miR-4299	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
27456	XAF1	hsa-miR-4424	ProstateCancer(OICR,CA)	Created
27457	XAF1	hsa-miR-4424	ProstateCancer(OICR,CA)	Created
27714	PDCD4	hsa-miR-127-5p	LiverCancer(NCC,JP)	Created
27715	PDCD4	hsa-miR-127-5p	LiverCancer(NCC,JP)	Created
27716	PDCD4	hsa-miR-127-5p	LiverCancer(NCC,JP)	Created
27717	RASSF5	hsa-miR-4641	LiverCancer(NCC,JP)	Created
27718	RASSF5	hsa-miR-4641	LiverCancer(NCC,JP)	Created
27719	RASSF5	hsa-miR-4641	LiverCancer(NCC,JP)	Created
27978	PML	hsa-miR-4299	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
28023	FRK	hsa-miR-3529-3p	LiverCancer(RIKEN,JP)	Created
28137	PDCD4	hsa-miR-640	LiverCancer(RIKEN,JP)	Created
28138	PDCD4	hsa-miR-640	LiverCancer(RIKEN,JP)	Created
28139	PDCD4	hsa-miR-640	LiverCancer(RIKEN,JP)	Created
28330	TMEM127	hsa-miR-3198	LiverCancer(RIKEN,JP)	Disrupted
28331	TMEM127	hsa-miR-3198	LiverCancer(RIKEN,JP)	Disrupted
28347	TP53	hsa-miR-4424	LiverCancer(NCC,JP)	Created
28348	TP53	hsa-miR-4424	LiverCancer(NCC,JP)	Created
28644	RASSF5	hsa-miR-539-3p	LiverCancer(NCC,JP)	Created
28645	RASSF5	hsa-miR-539-3p	LiverCancer(NCC,JP)	Created
28953	TEP1	hsa-miR-4478	ProstateCancer(OICR,CA)	Created
29098	PML	hsa-miR-138-5p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
29338	MCC	hsa-miR-31-5p	LiverCancer(RIKEN,JP)	Created
29339	MCC	hsa-miR-31-5p	LiverCancer(RIKEN,JP)	Created
29387	TET2	hsa-miR-3921	LiverCancer(NCC,JP)	Disrupted
29455	PML	hsa-miR-4710	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
29591	MTSS1	hsa-miR-4681	LiverCancer(NCC,JP)	Created
29602	ARID3B	hsa-miR-4419a	LiverCancer(NCC,JP)	Created
29610	PML	hsa-miR-4710	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
29784	RASSF5	hsa-miR-539-3p	LiverCancer(NCC,JP)	Created
29799	PML	hsa-miR-138-5p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
29987	TP63	hsa-miR-4263	LiverCancer(RIKEN,JP)	Created
29988	TP63	hsa-miR-4263	LiverCancer(RIKEN,JP)	Created
29989	TP63	hsa-miR-4263	LiverCancer(RIKEN,JP)	Created
29990	TP63	hsa-miR-4263	LiverCancer(RIKEN,JP)	Created
30225	MSH2	hsa-miR-374c-5p	LiverCancer(NCC,JP)	Created
30503	XAF1	hsa-miR-1257	ProstateCancer(OICR,CA)	Created
30504	XAF1	hsa-miR-1257	ProstateCancer(OICR,CA)	Created
30685	TP63	hsa-miR-4789-3p	ProstateCancer(OICR,CA)	Disrupted
30686	TP63	hsa-miR-4789-3p	ProstateCancer(OICR,CA)	Disrupted
30760	IRF1	hsa-miR-3149	ProstateCancer(OICR,CA)	Created
30876	RECK	hsa-miR-5582-3p	LiverCancer(NCC,JP)	Created
31101	HPGD	hsa-miR-5682	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
31356	PLEKHG2	hsa-miR-4768-3p	ProstateCancer(OICR,CA)	Created
31746	FRK	hsa-miR-7-2-3p	LiverCancer(RIKEN,JP)	Created
31820	TMEM127	hsa-miR-4768-3p	ProstateCancer(OICR,CA)	Created
31821	TMEM127	hsa-miR-4768-3p	ProstateCancer(OICR,CA)	Created
31916	PML	hsa-miR-181b-3p	LiverCancer(NCC,JP)	Created
31925	HPGD	hsa-miR-382-5p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
32133	DPH1	hsa-miR-4731-5p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Created
32180	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32181	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32182	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32183	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32184	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32185	HPGD	hsa-miR-5585-5p	LiverCancer(RIKEN,JP)	Created
32432	HPGD	hsa-miR-382-5p	UterineCorpusEndometrioidCarcinoma(TCGA,US)	Disrupted
32512	XRN1	hsa-miR-499b-3p	LiverCancer(RIKEN,JP)	Created
32513	XRN1	hsa-miR-499b-3p	LiverCancer(RIKEN,JP)	Created
32554	PDCD4	hsa-miR-205-3p	LiverCancer(NCC,JP)	Created
32555	PDCD4	hsa-miR-205-3p	LiverCancer(NCC,JP)	Created
32556	PDCD4	hsa-miR-205-3p	LiverCancer(NCC,JP)	Created
