	Genesymbol	miRNA	Cancertype	Targetsiteclass
3180	TCF12	hsa-miR-1909-3p	Lung	Created
3181	TCF12	hsa-miR-1909-3p	Lung	Created
3182	TCF12	hsa-miR-1909-3p	Lung	Created
3183	TCF12	hsa-miR-1909-3p	Lung	Created
3762	ACSL3	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
3763	ACSL3	hsa-miR-1290	Colorectal adenocarcinoma	Created
3764	ACSL3	hsa-miR-876-5p	Colorectal adenocarcinoma	Created
3765	ACSL3	hsa-miR-3167	Colorectal adenocarcinoma	Created
3766	ACSL3	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
3767	ACSL3	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
3768	ACSL3	hsa-miR-1290	Colorectal adenocarcinoma	Created
3769	ACSL3	hsa-miR-876-5p	Colorectal adenocarcinoma	Created
3770	ACSL3	hsa-miR-3167	Colorectal adenocarcinoma	Created
3771	ACSL3	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
3772	ACSL3	hsa-miR-129-5p	Colorectal adenocarcinoma	Created
3773	ACSL3	hsa-miR-129-5p	Colorectal adenocarcinoma	Created
3817	AFF4	hsa-miR-4257	Breast Cancer	Disrupted
3818	AFF4	hsa-miR-548an	Breast Cancer	Created
3819	AFF4	hsa-miR-361-5p	Breast Cancer	Disrupted
3820	AFF4	hsa-miR-2115-3p	Breast Cancer	Disrupted
4255	BCL11A	hsa-miR-5680	Breast Cancer	Created
4256	BCL11A	hsa-miR-548c-3p	Breast Cancer	Disrupted
4257	BCL11A	hsa-miR-5680	Breast Cancer	Created
4258	BCL11A	hsa-miR-548c-3p	Breast Cancer	Disrupted
4285	BRD3	hsa-miR-539-3p	Colorectal adenocarcinoma	Disrupted
4286	BRD3	hsa-miR-485-3p	Colorectal adenocarcinoma	Disrupted
4287	BRD3	hsa-miR-3613-3p	Colorectal adenocarcinoma	Disrupted
4788	CD74	hsa-miR-4504	Acute myeloid leukemia	Created
4789	CD74	hsa-miR-4504	Acute myeloid leukemia	Created
5357	EGFR	hsa-miR-4668-3p	Myeloid leukemia	Created
5358	EGFR	hsa-miR-4722-3p	Colorectal adenocarcinoma	Disrupted
5535	EP300	hsa-miR-5194	Breast Cancer	Created
5536	EP300	hsa-miR-1914-3p	Breast Cancer	Created
5537	EP300	hsa-miR-423-5p	Breast Cancer	Created
5538	EP300	hsa-miR-3184-5p	Breast Cancer	Created
5539	EP300	hsa-miR-4481	Breast Cancer	Disrupted
5540	EP300	hsa-miR-4745-5p	Breast Cancer	Disrupted
5541	EP300	hsa-miR-4447	Breast Cancer	Disrupted
5542	EP300	hsa-miR-4472	Breast Cancer	Disrupted
5543	EP300	hsa-miR-4758-5p	Breast Cancer	Disrupted
5544	EP300	hsa-miR-4447	Breast Cancer	Created
5545	EP300	hsa-miR-4472	Breast Cancer	Created
5546	EP300	hsa-miR-92a-2-5p	Breast Cancer	Created
5547	EP300	hsa-miR-1293	Breast Cancer	Created
5548	EP300	hsa-miR-4483	Breast Cancer	Created
5549	EP300	hsa-miR-363-5p	Breast Cancer	Created
5550	EP300	hsa-miR-4481	Breast Cancer	Disrupted
5551	EP300	hsa-miR-4745-5p	Breast Cancer	Disrupted
5552	EP300	hsa-miR-4758-5p	Breast Cancer	Disrupted
5595	ERCC4	hsa-miR-1909-3p	Colorectal adenocarcinoma	Created
5596	ERCC4	hsa-miR-939	Colorectal adenocarcinoma	Created
5597	ERCC4	hsa-miR-5591-5p	Colorectal adenocarcinoma	Created
5598	ERCC4	hsa-miR-4300	Colorectal adenocarcinoma	Created
5599	ERCC4	hsa-miR-920	Colorectal adenocarcinoma	Created
5600	ERCC4	hsa-miR-4792	Colorectal adenocarcinoma	Disrupted
5601	ERCC4	hsa-miR-3665	Colorectal adenocarcinoma	Disrupted
5602	ERCC4	hsa-miR-125a-3p	Colorectal adenocarcinoma	Disrupted
5603	ERCC4	hsa-miR-5007-3p	Colorectal adenocarcinoma	Created
5604	ERCC4	hsa-miR-1279	Colorectal adenocarcinoma	Created
5611	ETNK1	hsa-miR-548p	Colorectal adenocarcinoma	Disrupted
5612	ETNK1	hsa-miR-3613-3p	Colorectal adenocarcinoma	Disrupted
5613	ETNK1	hsa-miR-548p	Colorectal adenocarcinoma	Disrupted
5614	ETNK1	hsa-miR-570-3p	Colorectal adenocarcinoma	Created
5615	ETNK1	hsa-miR-3613-3p	Colorectal adenocarcinoma	Created
5616	ETNK1	hsa-miR-590-3p	Colorectal adenocarcinoma	Disrupted
5617	ETNK1	hsa-miR-4775	Colorectal adenocarcinoma	Disrupted
5779	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5780	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5781	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5782	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5783	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5784	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5785	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5786	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5787	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5788	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5789	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5790	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5791	FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
5792	FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
5882	FUBP1	hsa-miR-3148	Breast Cancer	Disrupted
5883	FUBP1	hsa-miR-3662	Breast Cancer	Created
6300	HMGA2	hsa-miR-4436a	Breast Cancer	Created
6301	HMGA2	hsa-miR-5000-3p	Breast Cancer	Created
6449	ITK	hsa-miR-5692a	Colorectal adenocarcinoma	Created
6491	KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
6492	KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
6493	KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
6494	KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
6495	KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
6496	KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
6497	KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
6498	KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
6499	KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
6605	KDM5A	hsa-miR-3681-5p	Breast Cancer	Disrupted
6606	KDM5A	hsa-miR-4796-3p	Breast Cancer	Disrupted
6607	KDM5A	hsa-miR-548t-5p	Breast Cancer	Disrupted
6608	KDM5A	hsa-miR-1261	Breast Cancer	Disrupted
6638	KIAA1549	hsa-miR-548ao-3p	Colorectal adenocarcinoma	Disrupted
6639	KIAA1549	hsa-miR-548ao-3p	Colorectal adenocarcinoma	Disrupted
6708	KLK2	hsa-miR-338-3p	Colorectal adenocarcinoma	Disrupted
6709	KLK2	hsa-miR-4530	Colorectal adenocarcinoma	Disrupted
6710	KLK2	hsa-miR-338-3p	Colorectal adenocarcinoma	Disrupted
6711	KLK2	hsa-miR-4530	Colorectal adenocarcinoma	Disrupted
6712	KLK2	hsa-miR-338-3p	Colorectal adenocarcinoma	Disrupted
6713	KLK2	hsa-miR-4530	Colorectal adenocarcinoma	Disrupted
6773	LIFR	hsa-miR-4427	Breast Cancer	Created
6774	LIFR	hsa-miR-4427	Breast Cancer	Created
6874	LPP	hsa-miR-124-5p	Breast Cancer	Created
6875	LPP	hsa-miR-4679	Breast Cancer	Disrupted
6876	LPP	hsa-miR-4263	Breast Cancer	Created
6877	LPP	hsa-miR-124-5p	Breast Cancer	Created
6878	LPP	hsa-miR-4679	Breast Cancer	Disrupted
6879	LPP	hsa-miR-4263	Breast Cancer	Created
6880	LPP	hsa-miR-124-5p	Breast Cancer	Created
6881	LPP	hsa-miR-4679	Breast Cancer	Disrupted
6882	LPP	hsa-miR-4263	Breast Cancer	Created
7122	MLLT6	hsa-miR-603	Colorectal adenocarcinoma	Disrupted
7123	MLLT6	hsa-miR-329	Colorectal adenocarcinoma	Disrupted
7124	MLLT6	hsa-miR-362-3p	Colorectal adenocarcinoma	Disrupted
7125	MLLT6	hsa-miR-3941	Colorectal adenocarcinoma	Created
7126	MLLT6	hsa-miR-4789-3p	Colorectal adenocarcinoma	Created
7201	MSN	hsa-miR-561-5p	Colorectal adenocarcinoma	Created
7202	MSN	hsa-miR-205-5p	Colorectal adenocarcinoma	Created
7203	MSN	hsa-miR-155-3p	Colorectal adenocarcinoma	Disrupted
7204	MSN	hsa-miR-624-3p	Colorectal adenocarcinoma	Disrupted
7343	NBN	hsa-miR-4775	Myeloid leukemia	Disrupted
7344	NBN	hsa-miR-590-3p	Myeloid leukemia	Disrupted
7505	NT5C2	hsa-miR-4535	Colorectal adenocarcinoma	Disrupted
7506	NT5C2	hsa-miR-3684	Colorectal adenocarcinoma	Created
7507	NT5C2	hsa-miR-4776-5p	Colorectal adenocarcinoma	Disrupted
7508	NT5C2	hsa-miR-3619-3p	Colorectal adenocarcinoma	Disrupted
7509	NT5C2	hsa-miR-4529-3p	Colorectal adenocarcinoma	Disrupted
7510	NT5C2	hsa-miR-4520b-3p	Colorectal adenocarcinoma	Disrupted
7511	NT5C2	hsa-miR-4535	Colorectal adenocarcinoma	Disrupted
7512	NT5C2	hsa-miR-3684	Colorectal adenocarcinoma	Created
7513	NT5C2	hsa-miR-4776-5p	Colorectal adenocarcinoma	Disrupted
7514	NT5C2	hsa-miR-3619-3p	Colorectal adenocarcinoma	Disrupted
7515	NT5C2	hsa-miR-4529-3p	Colorectal adenocarcinoma	Disrupted
7516	NT5C2	hsa-miR-4520b-3p	Colorectal adenocarcinoma	Disrupted
7682	PAX8	hsa-miR-4318	Breast Cancer	Disrupted
7683	PAX8	hsa-miR-892a	Breast Cancer	Disrupted
7684	PAX8	hsa-miR-4693-5p	Breast Cancer	Disrupted
7685	PAX8	hsa-miR-4778-5p	Breast Cancer	Created
7686	PAX8	hsa-miR-4318	Breast Cancer	Disrupted
7687	PAX8	hsa-miR-892a	Breast Cancer	Disrupted
7688	PAX8	hsa-miR-4693-5p	Breast Cancer	Disrupted
7689	PAX8	hsa-miR-4778-5p	Breast Cancer	Created
7690	PAX8	hsa-miR-4318	Breast Cancer	Disrupted
7691	PAX8	hsa-miR-892a	Breast Cancer	Disrupted
7692	PAX8	hsa-miR-4693-5p	Breast Cancer	Disrupted
7693	PAX8	hsa-miR-4778-5p	Breast Cancer	Created
7694	PAX8	hsa-miR-4318	Breast Cancer	Disrupted
7695	PAX8	hsa-miR-892a	Breast Cancer	Disrupted
7696	PAX8	hsa-miR-4693-5p	Breast Cancer	Disrupted
7697	PAX8	hsa-miR-4778-5p	Breast Cancer	Created
7727	PDE4DIP	hsa-miR-1282	Breast Cancer	Created
7728	PDE4DIP	hsa-miR-450b-5p	Breast Cancer	Created
7729	PDE4DIP	hsa-miR-4766-3p	Breast Cancer	Disrupted
7730	PDE4DIP	hsa-miR-1282	Breast Cancer	Created
7731	PDE4DIP	hsa-miR-450b-5p	Breast Cancer	Created
7732	PDE4DIP	hsa-miR-4766-3p	Breast Cancer	Disrupted
7733	PDE4DIP	hsa-miR-1282	Breast Cancer	Created
7734	PDE4DIP	hsa-miR-450b-5p	Breast Cancer	Created
7735	PDE4DIP	hsa-miR-4766-3p	Breast Cancer	Disrupted
7736	PDE4DIP	hsa-miR-548p	Breast Cancer	Created
7737	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7738	PDE4DIP	hsa-miR-548p	Breast Cancer	Created
7739	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7740	PDE4DIP	hsa-miR-548p	Breast Cancer	Created
7741	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7742	PDE4DIP	hsa-miR-5011-5p	Breast Cancer	Created
7743	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7744	PDE4DIP	hsa-miR-5011-5p	Breast Cancer	Created
7745	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7746	PDE4DIP	hsa-miR-5011-5p	Breast Cancer	Created
7747	PDE4DIP	hsa-miR-1277-5p	Breast Cancer	Created
7879	PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
7880	PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
7881	PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
7882	PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
7883	PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
7884	PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
7885	PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
7886	PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
8322	RNF213	hsa-miR-607	Breast Cancer	Disrupted
8323	RNF213	hsa-miR-3613-3p	Breast Cancer	Disrupted
8968	SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
8969	SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
8970	SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
8971	SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
8972	SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
8973	SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
8974	SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
8975	SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
8976	SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
8977	SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
8978	SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
8979	SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
8980	SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
8981	SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
8982	SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
8983	SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
8984	SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
8985	SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
9194	SUZ12	hsa-miR-16-1-3p	Colorectal adenocarcinoma	Created
9195	SUZ12	hsa-miR-4302	Colorectal adenocarcinoma	Disrupted
9603	TRIP11	hsa-miR-3919	Myeloid leukemia	Disrupted
9604	TRIP11	hsa-miR-4786-3p	Myeloid leukemia	Disrupted
9689	TSHR	hsa-miR-4753-3p	Breast Cancer	Disrupted
9690	TSHR	hsa-miR-130b-5p	Breast Cancer	Disrupted
9691	TSHR	hsa-miR-10b-3p	Breast Cancer	Disrupted
9882	VTI1A	hsa-miR-5705	Breast Cancer	Disrupted
10118	ZNF331	hsa-miR-4707-5p	Breast Cancer	Disrupted
10119	ZNF331	hsa-miR-5587-3p	Breast Cancer	Disrupted
10120	ZNF331	hsa-miR-4707-5p	Breast Cancer	Disrupted
10121	ZNF331	hsa-miR-5587-3p	Breast Cancer	Disrupted
10122	ZNF331	hsa-miR-4707-5p	Breast Cancer	Disrupted
10123	ZNF331	hsa-miR-5587-3p	Breast Cancer	Disrupted
10124	ZNF331	hsa-miR-4707-5p	Breast Cancer	Disrupted
