	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
KCNH3																						0.039716312								0.039716312
KRT25										0.002032176											0.037572254									0.03960443
ERG												0.038536395		0.000922239	9.91E-05															0.039557749
PDP1											0.038779731			0.000754559																0.03953429
PPHLN1										0.038103302					0.000297346										0.000805721					0.03920637
ACOT11						0.036832413																							0.002041318	0.038873731
MINA		0.033414833												0.000398239															0.005017216	0.038830288
ALDH3A2																				0.038216561					0.000276247					0.038492808
MC1R														0.000160693						0.038216561										0.038377254
ARHGEF7																				0.038216561										0.038216561
SYT4							0.036553525		0.000859845						0.000165192															0.037578562
KRTAP4-4																					0.037572254									0.037572254
NDUFC2-KCTD14														0.00023056													0.030064424		0.007009346	0.037304329
GABRB2			0.002511635								0.032057911			0.000335359	0.000528615	0.001419321									0.000383677					0.037236518
CYFIP2											0.037228542																			0.037228542
HSPA1L																						0.036879433								0.036879433
SCN3B			0.002363892						0.002101844						0.00064425								0.030042918		0.001273807					0.036426711
KRBOX4						0.018416206						0.016348774																	0.001623217	0.036388197
KIR3DL2										0.011854361	0.023784902			0.000670719																0.036309981
ERBB4	0.033285094								0.00171969						0.001156346															0.036161131
VEGFA										0.030482642					0.005649578															0.036132219
KRT33B																					0.036127168									0.036127168
KRTAP1-5																					0.036127168									0.036127168
FAM193A																											0.035790981		0.000270536	0.036061517
TMED7-TICAM2		0.005433306				0.027624309									0.000759885														0.002213478	0.036030978
HYAL2								0.000451697																		0.035281147				0.035732843
IRS2				0.004110528											4.13E-05			0.001763047				0.029787234								0.035702106
SOX17	0.035455861																													0.035455861
DKK2							0.035248042																							0.035248042
FBXW7				0.00342544									0.031758327																	0.035183766
ZNF644																				0.035031847										0.035031847
SYNPO2							0.023498695					0.003697937		0.000195626									0.00751073							0.034902987
DIO2	0.025325615								0.002149613						0.002395289														0.004820462	0.034690979
KRTAP4-5																					0.034682081									0.034682081
RANGAP1																					0.034682081									0.034682081
SYNCRIP									0.000716538			0.013623978			0.000578173	0.001774151											0.01789549			0.03458833
SYT12			0.006352959											0.000139733						0.027600849										0.034093541
FCAR																			0.03105504						0.002440185				0.000221348	0.033716572
GFRA1									0.003009458			0.029778124		0.00025152	0.000247788										0.00036833					0.03365522
C1orf21								0.003387725	0.001241999						0.00021475			0.002350729		0.018046709				0.008281972						0.033523884
KRT15														9.78E-05							0.033236994									0.033334807
KRTAP1-1																					0.033236994									0.033236994
UBE2V1																0.033176617														0.033176617
ZDHHC16				0.033112583																										0.033112583
QKI			0.005909729							0.010838273				0.001362398	0.001428914	0.013483545														0.033022858
PTCH1													0.030725536	0.001320478	0.000520356															0.032566369
FGFR3													0.03253292																	0.03253292
HNRNPUL1							0.031331593							0.000628799																0.031960392
IPO8					0.031551271									0.000139733																0.031691004
MYH11			0.002216148																					0.029275809						0.031491957
GAB1			0.003841324	0.02420644														0.00329102												0.031338784
CCR4																						0.031205674								0.031205674
EGFR									0.001003153				0.007745933		0.000123894					0.022292994										0.031165974
KRTAP4-1																			0.003465964		0.027456647									0.030922612
SLC7A14							0.03002611									0.000887075														0.030913185
GNAS		0.022819886												0.000447146															0.007624201	0.030891233
CCDC82																				0.030785563										0.030785563
GLYCTK		0.00407498				0.025782689								0.000139733															0.000664043	0.030661445
UBE2K								0.007961154						0.000565919												0.022050717				0.03057779
ULK3																												0.030499076		0.030499076
GSTT1																					0.030346821									0.030346821
PAX6														8.38E-05				0.011988717									0.0182534			0.030325957
NAV2				0.013701758					0.005732302					0.003185915				0.007522332												0.030142307
PAX3		0.008964955								0.00508044				0.000419199	0.000619471			0.014104372							0.000306941				0.000639449	0.030134829
GSG1												0.025885559		8.38E-05											0.003008027				0.001131333	0.030108758
AGTRAP												0.008758272												0.021186441						0.029944712
CCDC113		0.015756588		0.012331583										0.000265493											0.000138124				0.001426463	0.02991825
RORA											0.02688728			0.000363306	0.002477885															0.029728471
SLC26A5																				0.029723992										0.029723992
MAPRE2										0.027773074					0.001156346														0.000787014	0.029716434
C9orf150	0.029667149																													0.029667149
DISC1									0.000764307					0.000754559	0.000495577			0.010813352	0.013863857						0.002578308					0.02926996
GCOM1									0.001433075														0.019313305	0.008089368	0.000245553					0.029081302
POLR2M									0.001433075														0.019313305	0.008089368	0.000245553					0.029081302
KRTAP4-11																					0.028901734									0.028901734
NUDT9									0.002579536						0.000396462										0.001035928		0.024695777			0.028707701
FAM171A1							0.026109661												0.002495494											0.028605155
RAD17				0.027403517										0.000391253	0.000528615															0.028323385
MITF																								0.028312789						0.028312789
PTPRB														0.001145812	0.000264308				0.004990988						0.00162679		0.015748031		0.004525332	0.028301261
NF2			0.00827362										0.014459076	0.00229861	0.000809442										0.001933731					0.027774479
C10orf99																												0.027726433		0.027726433
KRTAP4-12														0.000181653							0.027456647									0.0276383
CCZ1																						0.026950355								0.026950355
DNAJC21														8.38E-05									0.026824034							0.026907874
MAGEC1															7.43E-05		0.026690391													0.026764728
PCDH11X		0.010051616	0.001551304			0.011049724									0.000999414														0.003025086	0.026677144
REG3A																			0.026618605											0.026618605
ZNF276		0.013583265																						0.011171032	0.001703525					0.026457823
MRE11A											0.025853154				0.000594692															0.026447846
DAG1															0.001825375			0.024447579												0.026272954
AGPAT4														0.00012576	0.00021475													0.025878004		0.026218514
SMARCB1													0.025819778																	0.025819778
HTR2A																											0.025769506			0.025769506
CYP4A11																							0.025751073							0.025751073
FAM13C																							0.025751073							0.025751073
RPTOR																							0.025751073							0.025751073
SORBS2										0.025740898																				0.025740898
FBXW2									0.000477692											0.021231423				0.00385208						0.025561194
NAA35																						0.025531915								0.025531915
TUBB	0.02170767													0.000118773	0.000189971									0.003466872						0.025483286
GEMIN7								0.024730394						0.00027248																0.025002873
SLC26A11											0.024819028																			0.024819028
GARS							0.024804178							6.99E-06																0.024811164
HNRNPR								0.003387725														0.021276596								0.024664321
ANKRD28			0.003989067											0.00027248													0.020400859			0.024662406
KRTAP4-3															8.26E-05						0.024566474									0.02464907
ARHGAP12														0.000181653						0.024416136										0.024597789
KRTAP4-6										0.004064352				0.00027248							0.020231214									0.024568046
KRT34																					0.024566474									0.024566474
CDK19																				0.024416136					0.000138124					0.02455426
SEC23IP																				0.024416136										0.024416136
APBB2									0.002675074			0.019073569		0.000684692	0.001965789															0.024399124
YY1AP1		0.023906547												0.000174666															0.00029513	0.024376344
BDNF														0.000950185	0.00688026				0.01649799											0.024328435
NFIA											0.020682523			0.001676797	0.001916231															0.024275552
SMAD2														0.00014672	0.001461952				0.00873423					0.013289676	0.000414371					0.024046949
SCN2A														0.000482079	0.000396462				0.00582282					0.017334361						0.024035721
CD74	0.023878437																													0.023878437
CLEC7A										0.022692633					0.000454279										0.000728986					0.023875898
SIGLEC6		0.021189894													0.000702067														0.001918347	0.023810309
CBX5								0.012365197						0.000314399	0.001461952	0.003193471		0.004583921							0.00188769					0.023806631
EHBP1										0.023708721																				0.023708721
CNTN1	0.023154848													0.000489066																0.023643914
BTN2A2		0.006791633		0.013473396											0.000693808														0.002631579	0.023590415
DUSP4				0.00867778										0.000419199	0.00021475		0.014234875													0.023546605
FAM199X							0.023498695																							0.023498695
SYS1				0.011874857										0.000391253											0.000207186		0.009663565		0.001082145	0.023219005
EPS8															0.000388202				0.002634133	0.020169851										0.023192186
GXYLT1								0.004516967						0.001578984	0.000330385										0.000567842	0.016170526				0.023164703
DGKD												0.017127287		0.000181653					0.00582282											0.02313176
KRT36																					0.023121387									0.023121387
LACC1											0.022750776																			0.022750776
LPGAT1															0.000239529					0.022292994					0.000199512					0.022732034
ATXN3															0.005451347										0.017219417					0.022670764
PRMT8														0.000111786									0.022532189							0.022643975
ANAPC7					0.021910605									0.000181653	0.000322125										0.000191838					0.022606221
SCN4B								0.016261081	0.002006306					0.001278558															0.003025086	0.02257103
UGT2A3																							0.022532189							0.022532189
TOM1											0.020682523																		0.001770782	0.022453305
FGF1				0.022379539																										0.022379539
SLC15A2											0.021716649			0.000153706	0.000181712										0.000306941					0.022359009
KIF24																												0.022181146		0.022181146
CNR1									0.002866151					0.000419199	0.001569327	0.001774151								0.01540832						0.022037148
C1orf233					0.021910605									8.38E-05																0.021994445
MAP2K4													0.021688613												0.000253227					0.02194184
FMNL3		0.015213257							0.003152766					0.000195626															0.003295622	0.021857272
XKR6																									9.21E-05			0.021256932		0.021349014
KLK3																								0.020801233					0.000541072	0.021342305
RGS6														0.001089918		0.020225317														0.021315235
SLC7A6		0.015756588														0.005499867														0.021256455
TRIP11																				0.021231423										0.021231423
ILF3			0.002363892					0.014002597						0.000377279		0.004435377														0.021179145
AMPD3																		0.021156559												0.021156559
HLA-DQB1										0.019644369				0.001453224																0.021097594
SH3BP2			0.002659378											0.000614826	0.000825962									0.013867488	0.003100109					0.021067763
ZMYM2	0.020260492													0.000698666																0.020959158
SNRK														0.000307413	0.000313865													0.020332717		0.020953995
CAMK2G			0.020831794																											0.020831794
SMARCC2																			0.020795785											0.020795785
RABL5																			0.0194094						0.001319848					0.020729248
STK11													0.020655822																	0.020655822
RAB43								0.018180792																					0.002434825	0.020615617
ELP5		0.019559902												0.000349333															0.000541072	0.020450307
KCNMA1														0.000817439	0.0004295	0.019160827														0.020407765
PTH2R															0.00021475					0.020169851										0.020384601
KRT17																					0.020231214									0.020231214
KRT19																					0.020231214									0.020231214
COL5A1																				0.020169851										0.020169851
KIR2DL4														8.38E-05					0.019963954											0.020047794
POLR3H		0.013854931							0.002292921					0.000775519															0.003098869	0.020022239
PCDH9														0.000433173													0.01932713			0.019760302
PTPRM											0.019648397																			0.019648397
ABL2									0.00234069						0.003122135			0.013164081							0.00102058					0.019647486
ST7L																0.001330613											0.0182534			0.019584013
FRAS1														0.000118773														0.019408503		0.019527276
MICAL3				0.004110528										0.000202613	0.000189971			0.003526093						0.004622496			0.006800286			0.019451987
C2CD2L											0.019131334																			0.019131334
TIGIT								0.000959855																	0.000153471	0.018008085				0.019121411
EYA1														0.000335359	0.000825962	0.001774151								0.016178737						0.019114208
RTP1																				0.01910828										0.01910828
PLCH1		0.014398261												0.000286453	0.000165192														0.004156419	0.019006326
CYP2C8										0.018966977																				0.018966977
TAF1C										0.018966977																				0.018966977
ADRA1A														4.19E-05								0.018439716							0.000418101	0.018899738
PI15									0.000716538						0.000107375					0.018046709										0.018870622
SPI1											0.018614271			0.00016768																0.018781951
ZNF365														0.000314399	0.000594692	0.003193471											0.014674302			0.018776865
N4BP3																0.001596736							0.017167382							0.018764118
SPOCK3												0.017127287			0.001585846															0.018713133
FAM46A															0.000140413													0.018484288		0.018624702
CMIP											0.018614271																			0.018614271
LCK													0.01859024																	0.01859024
LYRM2											0.017580145			0.000579892											0.000383677					0.018543714
GCNT1								0.004516967						0.000908265											0.000230206	0.012862918				0.018518356
ALKBH2		0.018473241																												0.018473241
C16orf80																						0.018439716								0.018439716
NDUFB9																						0.018439716								0.018439716
CRTC1														0.000754559	0.0004295												0.017179671			0.01836373
GULP1												0.018100428			0.000247788															0.018348217
NRXN1										0.016765453					0.000817702										0.000552495					0.01813565
MS4A6A								0.001468014							0.000479058											0.016170526				0.018117598
PEX1														6.99E-06						0.018046709										0.018053696
SCAMP5												0.016932659		0.001068958																0.018001617
ANK1															0.001585846	0.016322186														0.017908032
AKT2											0.015511892			0.000607839	0.000718587										0.001035928					0.017874246
AKT1														0.000482079										0.017334361						0.01781644
AURKA				0.017812286																										0.017812286
CDKN2A		0.008964955												0.00029344									0.006437768						0.001967536	0.017663699
PCDHB13																				0.016985138									0.000664043	0.017649181
NCOA7								0.015244763																	0.002348102					0.017592865
TPR											0.017580145																			0.017580145
DOCK8	0.017366136													0.0001048																0.017470936
IKZF2				0.016898835											0.000545135															0.01744397
PEG3																		0.015279737											0.002090507	0.017370243
UQCC														0.000398239	0.000346904			0.016572638												0.017317781
ZNF74						0.014732965								0.000118773															0.00245942	0.017311158
JAK3													0.012651691					0.003996239							0.000621557					0.017269487
PIH1D3												0.017127287													0.00010743					0.017234716
NDUFC2														0.00029344										0.016178737	0.00075968					0.017231856
C6orf47														5.59E-05								0.017021277								0.01707717
CD59															0.003898539			0.013164081												0.01706262
FASTKD2									0.00114646						0.000495577				0.015388881											0.017030918
CCSER1															0.000371683								0.016630901							0.017002584
RERGL							0.016971279																							0.016971279
ERCC1		0.010866612																											0.006000984	0.016867596
LRRC20									0.006162224							0.010644904														0.016807128
PTPRT									0.001910767						0.001040712	0.013838375														0.016789854
RASSF6							0.015665796								0.000115635										0.000982213					0.016763644
FGFRL1														0.000817439				0.015867419												0.016684858
ZNF618									0.000668769			0.010509926		6.99E-06	9.91E-05												0.005368647			0.016653444
ATP6V0E1	0.015918958														0.000611212															0.01653017
LRRC27												0.014791748			0.000859										0.000859436					0.016510184
ACOX1									0.005159071					0.000523999	0.000123894	0.010378781									0.000322289					0.016508034
ZNF701									0.002101844	0.013547841				0.000265493											0.000567842					0.016483019
GIMAP6										0.005588484									0.007070567										0.003713724	0.016372775
KRAS					0.015775635										0.000363423										0.000168818					0.016307876
TBC1D15				0.006165791											0.000148673										0.002440185		0.007516106			0.016270755
HRAS													0.016008262	0.0002096																0.016217862
EML1	0.015918958														0.000181712															0.01610067
G6PC2										0.012701101				0.000586879	0.000479058										0.000337636				0.00199213	0.016096803
AMACR																										0.015435502			0.000639449	0.016074951
KSR2			0.002142277									0.006811989			0.000487317	0.001508028		0.002585802	0.002495494											0.016030907
SLC6A4											0.016028956																			0.016028956
IPO9															0.000181712									0.00096302	0.001465646			0.012939002	0.00046729	0.016016669
SMARCC1														5.59E-05						0.015923567										0.01597946
KRTAP1-3																					0.015895954									0.015895954
SLC38A1												0.009731413			0.000280827	0.005854697														0.015866937
VASH2				0.015757022										0.0001048																0.015861822
OR2H1																0.00106449												0.014787431		0.015851921
SYT13												0.008174387													0.001227766		0.006442377			0.015844529
SETD8									0.001098691					0.00018864									0.014484979							0.015772309
PNPLA4															0.000247788			0.01551481												0.015762598
TENC1										0.015749365																				0.015749365
CTSC									0.001815229					0.000705652	0.000693808			0.004701457							0.007827008					0.015743154
TMPRSS11F																												0.015711645		0.015711645
ADORA3																							0.01555794		0.000153471					0.015711411
BPTF											0.015511892														0.000199512					0.015711404
TNNI1				0.01210322					0.001385306										0.002079579						0.00010743					0.015675534
ZNF559-ZNF177		0.005704971		0.00433889					0.002579536																0.000276247				0.002729956	0.0156296
PSIP1																						0.015602837								0.015602837
NOS1				0.012788308										0.000447146	0.001189385										0.001166378					0.015591216
ATP2B3										0.004064352													0.010729614						0.000713232	0.015507198
CEP85											0.014994829				0.000470798															0.015465627
STMN1			0.015291424											0.00016768																0.015459103
LRPAP1									0.001003153					0.000181653	0.000148673				0.003188687				0.010729614		0.000207186					0.015458965
CSRNP3									0.002006306					0.000265493	0.00064425				0.012477471											0.01539352
RBBP4																								0.015023112	0.00036833					0.015391442
PSTPIP2										0.00508044		0.009926041																	0.000319725	0.015326206
DCP2									0.001241999			0.003503309		0.00016768										0.010400616						0.015313603
TMEM37									0.000812076														0.014484979							0.015297055
SLITRK2														0.000223573				0.015044664												0.015268237
HLA-DOA																			0.00291141				0.012339056							0.015250466
KAZN			0.001034203		0.013146363									0.000642772	0.000363423															0.015186761
ZNF704			0.001477432									0.00330868		0.00016768										0.0096302	0.000590862					0.015174855
GGT5				0.015071934																										0.015071934
KDM3B				0.006622517																				0.008281972	0.000161144					0.015065633
BTN3A2														0.000384266										0.014637904						0.015022171
JMJD8		0.014126596												0.000223573															0.000664043	0.015014212
TBC1D26																			0.003327326	0.011677282										0.015004608
OSMR														0.00012576	9.09E-05													0.014787431		0.015004046
IQSEC3								0.014680142						0.000321386																0.015001528
PIK3R5														0.000712639	0.000941596	0.01330613														0.014960365
GRIA4									0.000668769					0.000307413				0.001175364				0.012765957								0.014917503
THTPA		0.013583265																											0.001328087	0.014911352
LRSAM1														0.001034025					0.013863857											0.014897882
KIAA0825							0.014360313							0.000160693		0.00035483														0.014875837
AGO2				0.014615209										0.000223573																0.014838782
EDA2R				0.013701758											0.001090269															0.014792028
MDM4														0.000607839		0.008782046		0.002468265							0.002900597					0.014758747
SLA										0.014733277																				0.014733277
ESYT1																			0.014695688											0.014695688
XIRP1		0.011138278												0.000412213															0.003098869	0.014649359
PDP2														0.000132746									0.013948498		0.000491106					0.014572351
TLK2									0.003152766						0.0004295									0.010785824	0.000199512					0.014567602
EPM2AIP1								0.005307436						9.08E-05	0.000305606											0.008820287				0.014524155
CELF2				0.010961407											0.002378769	0.001153198														0.014493374
BCL2L10																							0.014484979							0.014484979
EPB41																								0.01348228	0.00099756					0.01447984
PCMTD2															0.000198231									0.014252696						0.014450927
KRTAP4-2																					0.014450867									0.014450867
CD84												0.011677696			0.000792923										0.001964425					0.014435044
MR1			0.009455566																						0.004941758					0.014397324
NDUFA10															0.000132154		0.014234875													0.014367029
POLK							0.014360313																							0.014360313
MAP3K3									0.001624152					0.000223573		0.002483811			0.009981977											0.014313513
SETDB2												0.013234722			0.000264308										0.000798048					0.014297077
NUB1				0.011874857					0.001910767					0.000489066																0.01427469
RPUSD4				0.014158484																										0.014158484
TPM3		0.013583265													0.000165192										0.00036833					0.014116788
BCL2L11														0.000181653	0.001585846														0.012321692	0.014089191
ZFYVE28											0.013960703			0.00012576																0.014086463
ZNF585A														8.38E-05									0.013948498							0.014032338
RNASE6																											0.013958482			0.013958482
RET													0.01394268																	0.01394268
CRNKL1															9.09E-05					0.013800425										0.01389128
DNAJC19																									0.000951519			0.012939002		0.01389052
RARG																			0.013863857											0.013863857
AGFG1															0.001057231	0.012773885														0.013831115
IKZF3														0.001998183	0.00365075										0.00817999					0.013828924
GTF2H5														1.40E-05						0.013800425										0.013814398
PLEKHA7	0.013748191																													0.013748191
ARL4A									0.004394764			0.009342156																		0.013736921
LPPR2														8.38E-05														0.012939002	0.000664043	0.013686885
BID												0.013623978																		0.013623978
PRDM16																		0.005171603	0.008318314											0.013489917
ATG7			0.005983601									0.007006617		8.38E-05	0.000396462															0.013470519
PLXDC1											0.008790072			0.000258506				0.004231312							0.000176491					0.013456382
RELN				0.013245033											0.000148673															0.013393706
CLEC2D														0.000454133	0.001693221			0.011165961												0.013313315
PPP2R2C																			0.013309303											0.013309303
GADD45A																								0.013289676						0.013289676
NSL1		0.004889976	0.004432297						0.002675074					0.000503039	0.000743365															0.013243751
YIF1B														0.002543143															0.010673881	0.013217024
NR3C1														0.003702927	0.0021475														0.007353665	0.013204092
TMPRSS13														0.000181653	0.000247788				0.012754748											0.01318419
LRFN2	0.013024602													0.000139733																0.013164335
TMEM155				0.005709066								0.007395874																		0.01310494
HDHD2	0.013024602													6.99E-05																0.013094469
ZNF780A														0.00014672														0.012939002		0.013085722
PPARA				0.012788308																					0.000291594					0.013079902
CLMN				0.005937429							0.005170631			4.89E-05	0.00022301	0.001685443														0.013065419
EPHA4							0.01305483																							0.01305483
OVOL2							0.01305483																							0.01305483
MYO18A		0.013039935																												0.013039935
XPNPEP1	0.013024602																													0.013024602
MS4A7														2.79E-05	0.001090269			0.009402915							0.002486226					0.013007357
DCLK1	0.008683068							0.000621083	0.000286615					0.000314399	0.00086726														0.002213478	0.012985903
BAALC															0.000313865												0.012168933		0.000491884	0.012974683
ZDHHC15											0.012409514				0.000561654															0.012971168
SHB																												0.012939002		0.012939002
TRAF3			0.011819458											0.001117865																0.012937323
PCDH15		0.003531649												0.000195626	0.000148673				0.00485235						7.67E-05				0.004131825	0.012936859
CNNM1											0.012926577																			0.012926577
CSRP1								0.012647507						0.00025152																0.012899027
TRIM2				0.012331583										0.000139733	0.000396462															0.012867777
TRIOBP																								0.012326656	0.000537148					0.012863804
ADAMTS5	0.011577424								0.000668769						0.000528615															0.012774808
GTF2F2																						0.012765957								0.012765957
PBX1														0.00012576	0.000949856			0.010578279							0.000345309				0.00076242	0.012761624
ASAP1											0.012409514			0.000181653	0.000148673															0.01273984
WBP2NL																				0.012738854										0.012738854
CALN1									0.005445686						0.000925077										0.000598536		0.005726557			0.012695856
ITIH1								0.012647507																						0.012647507
MED9	0.012301013																												0.000344319	0.012645332
PEX2				0.011874857																					0.000767354					0.012642211
IGSF3			0.000738716									0.005449591		0.000237546		0.006209527														0.012635381
CENPO		0.005433306												0.000852372															0.006345303	0.012630981
