	Unnamed: 0	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
10	hsa-let-7f-1-3p	1.0	1.0	1.0	2.0				29.0	19.0	3.0	1.0	1.0	1.0	107	106	8.0		5.0		1.0			1.0	1.0	59.0	6.0		1.0	28.0
11	hsa-let-7f-2-3p		1.0	3.0	1.0				5.0	14.0	5.0	1.0	1.0	1.0	83	104	3.0		4.0		1.0			1.0	2.0	7.0		2.0		18.0
12	hsa-let-7f-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
13	hsa-let-7g-3p	2.0		1.0						15.0	7.0	1.0	2.0		66	61	3.0		1.0	2.0	3.0				7.0	57.0				15.0
14	hsa-let-7g-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
15	hsa-let-7i-3p		2.0	1.0					3.0	7.0			2.0		34	16			1.0							3.0				17.0
16	hsa-let-7i-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
17	hsa-miR-1			2.0	1.0	6.0			4.0	15.0			3.0		74	66	6.0			6.0				1.0		72.0				21.0
18	hsa-miR-100-3p			4.0	1.0	1.0		1.0	13.0	2.0	5.0		1.0		56	56	6.0		5.0	4.0				1.0		33.0	8.0	1.0		25.0
19	hsa-miR-100-5p		3.0							1.0			3.0		9	11										24.0		1.0		9.0
20	hsa-miR-101-3p		1.0	1.0	5.0				17.0	10.0	17.0	1.0		1.0	83	83	3.0		2.0	1.0	1.0		1.0			61.0	4.0	1.0		19.0
21	hsa-miR-101-5p		1.0	3.0	1.0				8.0	16.0					58	69	3.0			1.0					4.0	7.0				15.0
22	hsa-miR-103a-2-5p		6.0	9.0					25.0	8.0	2.0		2.0		85	61	2.0		2.0	5.0				1.0	2.0	16.0	1.0	2.0		38.0
23	hsa-miR-103a-3p		2.0	12.0	3.0		1.0		4.0	17.0	8.0		6.0	2.0	108	35	4.0		6.0	5.0		1.0	1.0	2.0	2.0	77.0	2.0	8.0		34.0
24	hsa-miR-103b	5.0		1.0					2.0	4.0	6.0	1.0			46	44	3.0		1.0				2.0	1.0		17.0		2.0		16.0
25	hsa-miR-105-3p	1.0	1.0	4.0	3.0					3.0	1.0				52	18	3.0			5.0		2.0	1.0			1.0			2.0	21.0
26	hsa-miR-105-5p		1.0	4.0				1.0	11.0	13.0	4.0	1.0	7.0	7.0	112	110	5.0		6.0	1.0	3.0				3.0	71.0	12.0	3.0		20.0
27	hsa-miR-106a-3p		1.0	4.0	1.0				11.0	12.0	1.0		4.0		60	58	6.0		2.0					1.0	9.0	72.0		3.0		22.0
28	hsa-miR-106a-5p	5.0	2.0	6.0	3.0			4.0	20.0	26.0	9.0		3.0	3.0	89	95	4.0	2.0	4.0	1.0				1.0		349.0	1.0	1.0		23.0
29	hsa-miR-106b-3p		3.0	1.0	1.0		1.0		4.0	10.0	2.0	2.0	3.0	2.0	36	28	9.0		2.0						1.0	28.0	1.0	4.0		9.0
30	hsa-miR-106b-5p	5.0	2.0	7.0	2.0			3.0	23.0	18.0	10.0	1.0	3.0	2.0	71	103	9.0	4.0	11.0	6.0	1.0			1.0	2.0	355.0	1.0	1.0		25.0
31	hsa-miR-107		2.0	12.0	3.0		1.0		4.0	17.0	8.0		6.0	2.0	108	35	4.0		6.0	5.0		1.0	1.0	2.0	2.0	77.0	2.0	8.0		34.0
32	hsa-miR-10a-3p				3.0			1.0	47.0	17.0	4.0		1.0		68	84	1.0	1.0	3.0	1.0				2.0	7.0	34.0	12.0	5.0		42.0
33	hsa-miR-10a-5p		1.0	5.0		6.0			3.0	14.0	3.0				47	47	8.0		3.0		1.0		1.0		1.0	41.0	2.0		1.0	14.0
34	hsa-miR-10b-3p		2.0	15.0	1.0				14.0	11.0	4.0		1.0		86	107			1.0	3.0				1.0	1.0	12.0				19.0
35	hsa-miR-10b-5p		1.0	5.0		6.0			3.0	14.0	3.0				47	47	8.0		3.0		1.0		1.0		1.0	41.0	2.0		1.0	14.0
36	hsa-miR-1178	4.0	1.0	4.0	1.0		2.0		7.0	6.0			1.0		59	49	6.0		1.0	1.0	1.0		1.0		1.0	158.0		1.0		20.0
37	hsa-miR-1179		2.0		1.0		1.0		8.0	8.0	1.0		1.0		75	58	3.0		2.0						5.0	81.0	6.0	8.0		24.0
38	hsa-miR-1180			9.0	1.0				4.0	9.0	2.0				19	19			10.0					4.0	1.0	5.0		2.0		25.0
39	hsa-miR-1181									1.0	1.0				11	6			1.0							11.0			1.0	4.0
40	hsa-miR-1182		2.0	15.0					10.0	6.0					44	54	4.0		4.0	11.0			1.0			16.0			4.0	17.0
41	hsa-miR-1183			1.0	5.0		1.0		2.0	3.0	3.0		6.0	2.0	62	76	9.0		2.0	2.0		1.0			3.0	73.0	12.0			15.0
42	hsa-miR-1184			1.0	1.0				6.0	7.0	4.0		2.0	9.0	91	64	3.0		3.0	2.0	2.0	1.0	1.0			74.0		6.0	5.0	46.0
43	hsa-miR-1185-1-3p		1.0	3.0					5.0	14.0	5.0		1.0	1.0	87	122	4.0		5.0		1.0			1.0	2.0	17.0		2.0		20.0
44	hsa-miR-1185-2-3p		1.0	3.0					5.0	14.0	5.0		1.0	1.0	87	122	4.0		5.0		1.0			1.0	2.0	17.0		2.0		20.0
45	hsa-miR-1185-5p		2.0	4.0	1.0		1.0	1.0	11.0	7.0	4.0		2.0		91	61	5.0		6.0	6.0	2.0	1.0	2.0		4.0	10.0			2.0	25.0
46	hsa-miR-1193			2.0					6.0	14.0	2.0		3.0		73	31	4.0		4.0	9.0	1.0	2.0	1.0	6.0	1.0	38.0			9.0	10.0
47	hsa-miR-1197		3.0	7.0	3.0		1.0		5.0	3.0	1.0		5.0		106	46	2.0		4.0	11.0	1.0				2.0	7.0				23.0
48	hsa-miR-1200		8.0	8.0			2.0		9.0	9.0	1.0		2.0	1.0	105	99	16.0		1.0	5.0				1.0	2.0	159.0		2.0		18.0
49	hsa-miR-1202	1.0		23.0	5.0				7.0	4.0	1.0				84	58	10.0		3.0	2.0		1.0	1.0	8.0	3.0	48.0		1.0		27.0
50	hsa-miR-1203		1.0	5.0		1.0			3.0	1.0	1.0		1.0		31	16	1.0		2.0	3.0						3.0				13.0
51	hsa-miR-1204			5.0					2.0	11.0	4.0		1.0	1.0	69	23	30.0		2.0							6.0			2.0	29.0
52	hsa-miR-1205		7.0	1.0					5.0	10.0	6.0		2.0	9.0	89	75	12.0		5.0	2.0	2.0	1.0	2.0	1.0		60.0		6.0	5.0	43.0
53	hsa-miR-1206			5.0					8.0	9.0		1.0			62	44	7.0		9.0	1.0	3.0	1.0				10.0		1.0		25.0
54	hsa-miR-1207-3p		1.0	12.0					3.0	3.0	7.0	2.0		13.0	111	74	3.0		6.0	8.0						99.0		4.0		24.0
55	hsa-miR-1207-5p	7.0	3.0	13.0	2.0	1.0			9.0	25.0	3.0		3.0	2.0	107	84	10.0	3.0	5.0	9.0		2.0			14.0	124.0	3.0			31.0
56	hsa-miR-1208	1.0	3.0	1.0	1.0		1.0		6.0	17.0	1.0	2.0	1.0		59	65	12.0		5.0			1.0		2.0		59.0	10.0	1.0		25.0
57	hsa-miR-122-3p			1.0	3.0					7.0			1.0		12	16	2.0			3.0						49.0				16.0
58	hsa-miR-122-5p			6.0	2.0				2.0	6.0			1.0		49	41	7.0			7.0					4.0	126.0				28.0
59	hsa-miR-1224-3p		5.0	6.0			2.0	2.0	6.0	13.0	2.0		2.0		109	65	10.0	2.0	7.0	12.0	1.0	1.0		1.0	8.0	37.0		2.0		13.0
60	hsa-miR-1224-5p		1.0	2.0	7.0		1.0		17.0	6.0	3.0		3.0	1.0	96	39	9.0		9.0	10.0					1.0	22.0			2.0	23.0
61	hsa-miR-1225-3p			7.0	5.0				5.0	2.0		1.0	2.0	2.0	96	48	6.0		4.0			2.0	1.0		4.0	133.0	5.0		2.0	13.0
62	hsa-miR-1225-5p	1.0		7.0	3.0				4.0	6.0		4.0	1.0		45	25	4.0		8.0	1.0					6.0	15.0			1.0	22.0
63	hsa-miR-1226-3p		1.0	5.0	1.0				6.0	28.0	5.0		1.0	2.0	65	51	17.0		6.0	1.0				2.0	2.0	127.0				16.0
64	hsa-miR-1226-5p		2.0	5.0		1.0	1.0		16.0	2.0			1.0		89	47	7.0		7.0	4.0			4.0		3.0	19.0		1.0		19.0
65	hsa-miR-1227	2.0	3.0	4.0	6.0				6.0	11.0			3.0	7.0	60	42	4.0		2.0	1.0		1.0		7.0		45.0		1.0	1.0	17.0
66	hsa-miR-1228-3p		1.0	1.0				1.0	6.0	7.0	1.0		2.0	1.0	44	65	3.0		4.0	2.0			2.0	2.0	3.0	76.0		5.0	7.0	10.0
67	hsa-miR-1228-5p		2.0	4.0					11.0	6.0	1.0	2.0			68	19	4.0		4.0	4.0					3.0	29.0			8.0	31.0
68	hsa-miR-1229	2.0	2.0	7.0	3.0				4.0	11.0	4.0		5.0	1.0	48	72	15.0			1.0			1.0		3.0	40.0	1.0	4.0		19.0
69	hsa-miR-1231			5.0	4.0				5.0	10.0					77	53	5.0		2.0	1.0					1.0	49.0	2.0			21.0
70	hsa-miR-1233			7.0	5.0				4.0	6.0		1.0	2.0	2.0	68	32	5.0		3.0			2.0	1.0	4.0	1.0	129.0	5.0		3.0	10.0
71	hsa-miR-1234		1.0		2.0		3.0		1.0	8.0	3.0	1.0	1.0		71	14	6.0	1.0	4.0							79.0	1.0			14.0
72	hsa-miR-1236		2.0	12.0	7.0	2.0			7.0	15.0	4.0		10.0		70	57	9.0		1.0	6.0	1.0		1.0	2.0		16.0	4.0	1.0		32.0
73	hsa-miR-1237		9.0	36.0	4.0			2.0	25.0	7.0	2.0		2.0	1.0	58	68	1.0		3.0	5.0					1.0	26.0	4.0	2.0		31.0
74	hsa-miR-1238			5.0	3.0	3.0			5.0	6.0	3.0		6.0	1.0	69	65	8.0		1.0	21.0	1.0				1.0	13.0	4.0	3.0		36.0
75	hsa-miR-124-3p		2.0	6.0	2.0				12.0	4.0			1.0	2.0	65	50	11.0		10.0	5.0				1.0	2.0	27.0	4.0	4.0	1.0	21.0
76	hsa-miR-124-5p		2.0	5.0					4.0	5.0	1.0	1.0			46	29	2.0		5.0	1.0	3.0	1.0			3.0	16.0				19.0
77	hsa-miR-1243			5.0	2.0				4.0	6.0	1.0		4.0	6.0	69	37	6.0		1.0	3.0			1.0		2.0	40.0		3.0		18.0
78	hsa-miR-1244	2.0	2.0	4.0		18.0		1.0	22.0	4.0	5.0				34	49	4.0	2.0	3.0	1.0						44.0		4.0		7.0
79	hsa-miR-1245a		1.0	7.0	6.0	18.0	2.0	3.0	7.0	5.0			1.0	1.0	84	73	5.0		4.0		2.0			1.0		41.0		3.0		18.0
80	hsa-miR-1245b-3p		1.0	9.0	7.0			1.0	19.0	4.0	3.0	3.0	3.0	2.0	80	77	5.0		3.0	1.0			1.0		1.0	29.0		1.0	1.0	23.0
81	hsa-miR-1245b-5p		4.0	5.0	2.0				12.0	8.0	5.0		2.0	1.0	67	43				5.0			4.0		1.0	19.0				18.0
82	hsa-miR-1246	1.0	1.0	9.0					6.0	7.0	4.0	4.0	3.0		49	70	3.0	5.0	1.0	8.0		1.0	1.0	1.0	2.0	9.0			1.0	12.0
83	hsa-miR-1247-3p			14.0					4.0	2.0	7.0		7.0		37	25	5.0		4.0	4.0					6.0	48.0		1.0		10.0
84	hsa-miR-1247-5p			1.0						4.0			8.0		21	13										37.0				18.0
85	hsa-miR-1248		5.0	33.0	1.0			2.0	17.0	4.0	1.0	3.0	1.0	1.0	70	65	3.0		3.0	6.0					3.0	8.0		2.0		35.0
86	hsa-miR-1249		2.0	2.0	1.0					7.0					44	29			4.0	1.0				4.0		25.0		7.0	2.0	17.0
87	hsa-miR-1250		1.0	3.0					5.0	5.0	2.0		1.0		36	27	4.0		2.0	4.0	2.0	1.0				19.0				24.0
88	hsa-miR-1251	6.0		4.0	1.0				2.0	10.0	1.0				54	64	11.0		4.0							28.0				8.0
89	hsa-miR-1252		2.0	9.0	3.0	18.0	4.0	1.0	10.0	15.0	4.0	6.0	6.0		113	81	4.0		1.0	14.0		1.0	2.0	1.0	6.0	14.0	4.0	1.0		24.0
90	hsa-miR-1253		2.0	17.0	3.0	19.0			2.0	10.0	3.0	2.0	9.0	9.0	120	91	6.0		4.0	11.0	4.0		2.0		1.0	31.0		3.0		48.0
91	hsa-miR-1254		4.0	1.0	1.0	2.0	1.0	1.0	4.0	12.0	1.0		1.0	2.0	87	52	6.0		7.0	8.0					2.0	176.0				27.0
92	hsa-miR-1255a			6.0	4.0				12.0	6.0		1.0			59	39	3.0		3.0	4.0	1.0	1.0	1.0	8.0		56.0			3.0	18.0
93	hsa-miR-1255b-2-3p			5.0	2.0	1.0			5.0	3.0	1.0		1.0	7.0	46	64	2.0		11.0	2.0					1.0	38.0			1.0	20.0
94	hsa-miR-1255b-5p			7.0	7.0				12.0	3.0		1.0			50	27	1.0		3.0	4.0		1.0	1.0	2.0		38.0			1.0	14.0
95	hsa-miR-1256		1.0	5.0	1.0		1.0		15.0	5.0	2.0		2.0	11.0	44	75	4.0		5.0		3.0					109.0				34.0
96	hsa-miR-1257		2.0	11.0	2.0	6.0		2.0	13.0	15.0	2.0		2.0	1.0	75	51	3.0		7.0	2.0	2.0	1.0			1.0	24.0		3.0		41.0
97	hsa-miR-1258			3.0				1.0	11.0	9.0				2.0	40	40	4.0			5.0	1.0			1.0		22.0		8.0		4.0
98	hsa-miR-125a-3p		3.0	12.0	4.0	1.0		2.0	6.0	16.0	18.0				74	62	3.0	3.0	2.0	8.0		3.0			12.0	96.0	5.0			23.0
99	hsa-miR-125a-5p	4.0	5.0	8.0		6.0	2.0		3.0	17.0	4.0		1.0		89	68	12.0		3.0	5.0	1.0			2.0	1.0	48.0				18.0
100	hsa-miR-125b-1-3p		2.0	1.0	1.0				1.0	6.0	3.0		1.0	1.0	37	36	3.0			2.0				1.0	4.0	36.0		4.0	1.0	16.0
101	hsa-miR-125b-2-3p	2.0	2.0	13.0	2.0			3.0	21.0	10.0	3.0	1.0	2.0		66	91	13.0		3.0	1.0		1.0		2.0	5.0	25.0	5.0			7.0
102	hsa-miR-125b-5p	4.0	5.0	8.0		6.0	2.0		3.0	17.0	4.0		1.0		89	68	12.0		3.0	5.0	1.0			2.0	1.0	48.0				18.0
103	hsa-miR-126-3p		1.0	2.0						4.0	4.0			1.0	6	9									1.0	5.0				15.0
104	hsa-miR-126-5p		1.0	4.0	15.0				17.0	35.0	2.0	10.0	4.0		101	170	2.0		15.0	7.0	2.0		2.0		1.0	21.0	4.0	1.0	1.0	41.0
105	hsa-miR-1260a		2.0	11.0		1.0		2.0	9.0	10.0	5.0		8.0		95	78	5.0		5.0	17.0	1.0				11.0	315.0		1.0		14.0
106	hsa-miR-1260b		2.0	11.0		1.0		2.0	9.0	10.0	5.0		8.0		95	78	5.0		5.0	17.0	1.0				11.0	315.0		1.0		14.0
107	hsa-miR-1261	2.0	1.0	7.0	1.0				5.0	4.0	2.0	4.0	4.0		35	54	3.0	2.0	1.0	5.0					1.0	16.0	4.0		2.0	16.0
108	hsa-miR-1262	1.0	1.0	11.0	5.0				6.0	6.0	1.0		2.0		51	60	12.0		4.0	1.0	1.0				2.0	60.0	2.0			53.0
109	hsa-miR-1263			3.0	2.0				2.0	13.0	4.0		1.0		31	31			1.0	4.0					2.0	12.0			1.0	8.0
110	hsa-miR-1264		3.0	2.0	1.0				8.0	13.0	1.0	1.0	2.0	1.0	56	32	2.0			2.0						26.0	4.0	1.0		15.0
111	hsa-miR-1265		2.0	2.0			1.0		1.0	14.0	1.0				74	40	3.0		4.0	4.0	1.0	2.0	1.0	6.0	1.0	34.0		4.0	3.0	29.0
112	hsa-miR-1266		6.0	10.0	3.0		8.0		2.0		1.0		2.0		94	64		1.0	11.0	3.0					3.0	153.0		1.0		13.0
113	hsa-miR-1267		1.0	2.0			2.0		12.0	9.0	5.0	1.0			51	31	5.0		2.0			1.0		1.0		37.0	2.0		2.0	16.0
114	hsa-miR-1268a		5.0		1.0	1.0			8.0	1.0	1.0			1.0	39	2			2.0	1.0					4.0	105.0				10.0
115	hsa-miR-1268b		5.0		1.0	1.0			8.0	1.0	1.0			1.0	39	2			2.0	1.0					4.0	105.0				10.0
116	hsa-miR-1269a		5.0	2.0	2.0				14.0	11.0	1.0		4.0		73	42	2.0		2.0	6.0					4.0	15.0		6.0		11.0
117	hsa-miR-1269b		5.0	2.0	2.0				14.0	11.0	1.0		4.0		73	42	2.0		2.0	6.0					4.0	15.0		6.0		11.0
118	hsa-miR-127-3p		1.0	3.0	3.0					3.0	5.0		2.0	2.0	30	24				2.0					1.0	32.0				15.0
119	hsa-miR-127-5p		3.0	9.0	4.0	1.0		1.0	12.0	7.0	1.0		3.0	1.0	58	57	2.0		1.0	3.0					4.0	41.0	4.0	7.0		21.0
120	hsa-miR-1270		3.0	3.0	1.0			1.0	6.0	12.0		2.0	9.0	9.0	82	53	7.0		2.0	3.0	2.0				1.0	117.0				31.0
121	hsa-miR-1271-3p	6.0	1.0	2.0	6.0	2.0			8.0	3.0	2.0	1.0	3.0		62	58	3.0		3.0							112.0	1.0			14.0
122	hsa-miR-1271-5p			8.0	3.0	2.0			10.0	8.0	1.0		3.0	1.0	68	56	3.0		2.0	3.0			1.0		1.0	59.0		10.0		30.0
123	hsa-miR-1272		1.0	4.0	10.0			1.0	7.0	2.0	6.0	2.0	2.0	1.0	49	45	2.0				1.0	2.0			5.0	34.0	12.0			24.0
124	hsa-miR-1273a									1.0					34	8	2.0			2.0				1.0		17.0				10.0
125	hsa-miR-1273c	1.0								2.0	1.0		3.0		28	10	2.0			2.0				1.0		14.0				8.0
126	hsa-miR-1273d			2.0	1.0			1.0	9.0	5.0	1.0		1.0	1.0	61	39			2.0	2.0					1.0	36.0		1.0	2.0	15.0
127	hsa-miR-1273e		3.0	2.0	2.0	3.0			7.0	8.0	5.0				65	46	2.0		2.0	2.0					4.0	37.0	1.0			20.0
128	hsa-miR-1273f		4.0	2.0	4.0			1.0	13.0	10.0	1.0	4.0	6.0		81	64	6.0		6.0	5.0				13.0		55.0		2.0	1.0	25.0
129	hsa-miR-1273g-3p	1.0	2.0	11.0	2.0	1.0	2.0	1.0	8.0	19.0	2.0		5.0	9.0	81	43	6.0		3.0					1.0	1.0	107.0	4.0	3.0		18.0
130	hsa-miR-1273g-5p				3.0				7.0	6.0	2.0		1.0	9.0	35	51	8.0	1.0	1.0	1.0		2.0		1.0	2.0	39.0		1.0		27.0
131	hsa-miR-1275	1.0	1.0	10.0	1.0				19.0	18.0		2.0	6.0	1.0	146	57	23.0	4.0	3.0	11.0	3.0	4.0		14.0	7.0	21.0				24.0
132	hsa-miR-1276		4.0	11.0					16.0	5.0	3.0	5.0	4.0		82	86	8.0		5.0	11.0	3.0	2.0			2.0	41.0				33.0
133	hsa-miR-1277-3p		5.0	3.0						12.0	2.0	4.0			30	26	1.0		1.0					1.0	1.0	2.0				16.0
134	hsa-miR-1277-5p	3.0		16.0	3.0				18.0	50.0	1.0	1.0	4.0	10.0	181	218	2.0		21.0		3.0	1.0		2.0	5.0	22.0	4.0	1.0		34.0
135	hsa-miR-1278		3.0	1.0	2.0				16.0	3.0	1.0				33	43	5.0			4.0						74.0				15.0
136	hsa-miR-1279	1.0		4.0	1.0				19.0	15.0	2.0	1.0	4.0	2.0	61	93	2.0		3.0	1.0		1.0	1.0	1.0		16.0	3.0			14.0
137	hsa-miR-128		3.0	10.0	2.0		1.0	1.0	16.0	11.0	8.0	2.0	4.0	7.0	107	76	8.0		6.0	8.0		1.0	1.0	1.0	5.0	73.0	4.0	3.0	4.0	32.0
138	hsa-miR-1280		2.0	7.0				2.0	5.0	13.0	4.0		5.0		103	67	5.0		4.0	10.0	1.0				8.0	59.0		1.0		18.0
139	hsa-miR-1281		1.0			1.0				6.0				12.0	55	34	5.0		3.0	5.0		1.0				210.0				25.0
140	hsa-miR-1282			5.0					1.0	2.0	10.0		2.0	1.0	41	34	2.0		10.0				1.0		1.0	10.0	1.0			27.0
141	hsa-miR-1283	2.0	2.0	6.0					31.0	11.0	4.0	1.0	3.0	2.0	113	93	8.0	1.0	13.0	3.0						91.0	4.0		1.0	21.0
142	hsa-miR-1284	4.0		7.0	1.0				6.0	14.0	6.0	1.0	3.0	1.0	85	96	6.0		4.0		1.0			1.0	1.0	12.0				8.0
143	hsa-miR-1285-3p	1.0	2.0	4.0	2.0				9.0	22.0		1.0	7.0	1.0	139	66	7.0		15.0	11.0					6.0	119.0	1.0			41.0
144	hsa-miR-1285-5p	2.0	2.0	7.0	16.0	1.0			8.0	31.0	6.0		2.0	1.0	28	61	4.0		1.0	3.0		1.0			6.0	99.0	1.0			22.0
145	hsa-miR-1286		5.0	9.0	3.0				5.0	22.0	6.0		4.0	1.0	119	97	10.0		7.0	5.0		1.0	1.0	6.0	3.0	111.0	1.0			30.0
146	hsa-miR-1287		1.0	5.0	1.0				10.0	6.0	1.0		8.0		97	35	8.0		7.0	11.0			1.0		5.0	489.0	1.0	2.0		37.0
147	hsa-miR-1288	1.0	2.0	2.0	2.0				5.0	12.0	1.0		4.0		62	40	2.0			3.0					3.0	4.0		6.0		12.0
148	hsa-miR-1289			2.0	2.0		1.0			1.0	1.0		2.0	2.0	46	44	8.0			9.0	1.0		1.0			95.0				20.0
149	hsa-miR-129-1-3p		2.0	1.0	1.0				1.0	8.0	1.0	1.0	1.0		60	30			4.0	1.0				4.0		14.0		7.0	2.0	14.0
150	hsa-miR-129-2-3p		2.0	1.0	1.0				1.0	8.0	1.0	1.0	1.0		60	30			4.0	1.0				4.0		14.0		7.0	2.0	14.0
151	hsa-miR-129-5p		4.0	15.0	3.0	2.0		7.0	10.0	51.0	2.0	9.0	6.0	11.0	139	106	17.0	1.0	10.0	19.0		1.0	3.0		9.0	107.0	13.0	6.0		30.0
152	hsa-miR-1290	1.0	1.0	12.0	1.0				5.0	17.0	1.0	8.0	2.0	1.0	47	72	5.0	5.0	7.0	12.0			1.0	13.0	2.0	24.0			2.0	26.0
153	hsa-miR-1291			5.0	1.0				7.0	3.0	1.0		1.0		89	31	3.0		3.0						1.0	28.0	2.0			12.0
154	hsa-miR-1292	1.0	1.0	4.0	1.0				5.0	9.0	1.0	1.0	8.0		104	38	6.0		4.0	11.0	2.0			4.0		22.0		1.0	1.0	12.0
155	hsa-miR-1293			10.0	1.0				11.0	8.0	3.0	4.0			71	67	12.0	1.0	6.0	1.0	1.0	2.0		1.0	8.0	62.0	2.0			51.0
156	hsa-miR-1294		4.0	7.0	1.0		2.0		18.0	6.0	1.0				68	48	8.0		7.0	4.0	1.0				5.0	86.0				35.0
157	hsa-miR-1295a		1.0	7.0	7.0				13.0	3.0	4.0				29	28	1.0		2.0	3.0			2.0		2.0	47.0		6.0	1.0	12.0
158	hsa-miR-1295b-3p			3.0					16.0		4.0	3.0	3.0	1.0	21	39				1.0	2.0		2.0	1.0		64.0				9.0
159	hsa-miR-1295b-5p		1.0	22.0		1.0		1.0	13.0	9.0	2.0	2.0	2.0	10.0	72	56	6.0		4.0	7.0					1.0	154.0		1.0		19.0
160	hsa-miR-1296			5.0	4.0		4.0		3.0	3.0	1.0		2.0		47	16	7.0			1.0	1.0		1.0		1.0	13.0	1.0			21.0
161	hsa-miR-1297	1.0	1.0	3.0	15.0	1.0	2.0	4.0	22.0	4.0	4.0		1.0		37	58	7.0		4.0		1.0	1.0		3.0		63.0	5.0	4.0		16.0
162	hsa-miR-1298		3.0	16.0	2.0		2.0		14.0	16.0	3.0	1.0	4.0	7.0	52	52	5.0		10.0	1.0					4.0	9.0	10.0			41.0
163	hsa-miR-1299		3.0	9.0					8.0	5.0			6.0		77	52	16.0		3.0	9.0				2.0	3.0	101.0		4.0		29.0
164	hsa-miR-1301			6.0					1.0	5.0	2.0		3.0	9.0	63	40	13.0		1.0	6.0			1.0		1.0	59.0		6.0		30.0
165	hsa-miR-1302			10.0	5.0		1.0		13.0	9.0	3.0		14.0		104	46	8.0		6.0	3.0		1.0	1.0	2.0	1.0	296.0			1.0	27.0
166	hsa-miR-1303		1.0	3.0	2.0				5.0	11.0	1.0				52	81	7.0		1.0	1.0				1.0	1.0	66.0	4.0			12.0
167	hsa-miR-1304-3p	3.0	4.0	6.0	1.0				10.0	15.0	2.0	2.0	2.0		37	64	6.0								4.0	54.0	5.0	1.0		20.0
